candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,search_query
KL01::marie,KL01,KL KL01,Marie,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Marie"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::guillaume noël,KL01,KL KL01,Guillaume Noël,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Guillaume Noël"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::jean-luc,KL01,KL KL01,Jean-Luc,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Jean-Luc"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::gaël,KL01,KL KL01,Gaël,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Gaël"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::harry,KL01,KL KL01,Harry,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Harry"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::sandra,KL01,KL KL01,Sandra,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Sandra"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::david,KL01,KL KL01,David,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""David"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::stéphane,KL01,KL KL01,Stéphane,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Stéphane"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::géraldine drouhet,KL01,KL KL01,Géraldine Drouhet,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Géraldine Drouhet"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::michèle,KL01,KL KL01,Michèle,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Michèle"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
