candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,allowed_departure_causes,classification_rule
KL01::marie,KL01,KL KL01,Marie,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 3.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::guillaume noël,KL01,KL KL01,Guillaume Noël,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 7.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::jean-luc,KL01,KL KL01,Jean-Luc,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 10.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::gaël,KL01,KL KL01,Gaël,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 13.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::harry,KL01,KL KL01,Harry,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 16.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::sandra,KL01,KL KL01,Sandra,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 19.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::david,KL01,KL KL01,David,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 22.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::stéphane,KL01,KL KL01,Stéphane,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 25.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::géraldine drouhet,KL01,KL KL01,Géraldine Drouhet,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 30.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::michèle,KL01,KL KL01,Michèle,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 33.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::william,KL01,KL KL01,William,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 36.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::françoise,KL01,KL KL01,Françoise,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 40.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL01::romain,KL01,KL KL01,Romain,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison précise qu'il termine dernier de l'épreuve du quiz et est éliminé directement.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination directe après une épreuve à enjeu éliminatoire.
KL01::patricia,KL01,KL KL01,Patricia,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination directe lors de l'épreuve de l'idole en finale.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination directe après une épreuve à enjeu éliminatoire.
KL02::xavier,KL02,KL KL02,Xavier,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,MEDICAL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,La saison indique une évacuation médicale après une chute et une fracture cervicale.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Sortie imposée par le médecin ou évacuation sanitaire.
KL02::caroline mercier,KL02,KL KL02,Caroline Mercier,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::céline genty,KL02,KL KL02,Céline Genty,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil au jour 9.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::nelly,KL02,KL KL02,Nelly,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil au jour 12.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::pierre,KL02,KL KL02,Pierre,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le résumé de saison décrit son élimination par quatre voix au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::jacky,KL02,KL KL02,Jacky,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,La fiche de saison et la fiche candidat indiquent une élimination au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::adonis,KL02,KL KL02,Adonis,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le résumé de saison décrit son élimination à l'unanimité au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::jimmy,KL02,KL KL02,Jimmy,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le résumé de saison indique qu'il est éliminé par cinq voix contre quatre au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::béatrice,KL02,KL KL02,Béatrice,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,La fiche candidat et le résumé de saison indiquent une élimination au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::françois-xavier,KL02,KL KL02,François-Xavier,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le résumé de saison indique une élimination par quatre voix au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::isabelle,KL02,KL KL02,Isabelle,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::maud,KL02,KL KL02,Maud,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique une élimination au conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
KL02::marianne,KL02,KL KL02,Marianne,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,ELIMINATION_CHALLENGE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,La fiche candidate précise une élimination lors de l'épreuve du quiz.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination directe après une épreuve à enjeu éliminatoire.
KL02::bernard,KL02,KL KL02,Bernard,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya,Le tableau de saison indique qu'il est éliminé aux poteaux.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination pendant l'épreuve finale des poteaux.
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,MEDICAL,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,La saison indique une évacuation médicale liée à une blessure au doigt.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Sortie imposée par le médecin ou évacuation sanitaire.
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Le tableau de saison indique une élimination au conseil au jour 10.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau de saison et, lorsque nécessaire, du résumé détaillé ou de la fiche individuelle du candidat.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,Élimination décidée par vote au Conseil.
