candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,15.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Antoine est éliminé lors de l'épreuve finale d'orientation au jour 38.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,16.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,Moussa tombe le premier lors de l'épreuve des poteaux et n'est pas choisi pour le jury final.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale des poteaux.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::ali,KL07,KL KL07,Ali,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOLUNTARY,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,"Ali décide volontairement de quitter l'aventure, ne supportant plus le manque de sa famille.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Départ choisi volontairement par le candidat.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::pascale,KL07,KL KL07,Pascale,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,"Pascale est d'abord éliminée au Conseil, puis revient après l'abandon d'Ali ; seule sa première sortie est retenue.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Première sortie uniquement : élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::marie-laure,KL07,KL KL07,Marie-Laure,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Marie-Laure est éliminée au Conseil au jour 10.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::mélanie,KL07,KL KL07,Mélanie,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Mélanie est éliminée au Conseil au jour 13.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::véronique barriol,KL07,KL KL07,Véronique Barriol,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Véronique est éliminée au Conseil au jour 16.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::chloé,KL07,KL KL07,Chloé,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Chloé est éliminée au Conseil au jour 19.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::érick,KL07,KL KL07,Érick,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Érick reçoit un vote issu de la décision des ambassadeurs puis est éliminé au Conseil ; la sortie effective est classée comme vote au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.","Élimination décidée par vote au Conseil, malgré un handicap préalable lié aux ambassadeurs.",VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::filomène,KL07,KL KL07,Filomène,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Filomène est éliminée au Conseil au jour 25.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::adrien,KL07,KL KL07,Adrien,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,VOLUNTARY,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan,Adrien choisit de quitter l'aventure afin de permettre à Grégoire de revenir dans le jeu.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Départ volontaire permettant le retour d'un candidat.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
