candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,15.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,16.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::ali,KL07,KL KL07,Ali,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::pascale,KL07,KL KL07,Pascale,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::marie-laure,KL07,KL KL07,Marie-Laure,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::mélanie,KL07,KL KL07,Mélanie,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::véronique barriol,KL07,KL KL07,Véronique Barriol,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::chloé,KL07,KL KL07,Chloé,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::érick,KL07,KL KL07,Érick,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::filomène,KL07,KL KL07,Filomène,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::adrien,KL07,KL KL07,Adrien,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::grégoire,KL07,KL KL07,Grégoire,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::laurent,KL07,KL KL07,Laurent,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::patrick,KL07,KL KL07,Patrick,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::simon,KL07,KL KL07,Simon,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL07::maryline,KL07,KL KL07,Maryline,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::valérie,KL08,KL KL08,Valérie,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::céga,KL08,KL KL08,Céga,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
