candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL15::namadia [ n 4 ],KL15,Koh-Lanta : Malaisie,Namadia [ N 4 ],9.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Namadia est éliminé au Conseil au jour 25.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::marylou,KL15,Koh-Lanta : Malaisie,Marylou,10.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Marylou est éliminée au Conseil au jour 28.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::catherine,KL15,Koh-Lanta : Malaisie,Catherine,11.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Catherine reçoit les voix décisives au Conseil après l'utilisation d'un collier.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::camille,KL15,Koh-Lanta : Malaisie,Camille,12.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,DESTINS_LIES,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,"Camille est éliminée parce qu'elle est en binôme avec Catherine, éliminée au Conseil.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Sortie entraînée par l'élimination du partenaire de binôme.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::thierry,KL15,Koh-Lanta : Malaisie,Thierry,14.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Thierry est éliminé au Conseil au jour 37.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::myriam,KL15,Koh-Lanta : Malaisie,Myriam,15.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Myriam est éliminée au Conseil au jour 39.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::bernard,KL15,Koh-Lanta : Malaisie,Bernard,16.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Bernard est éliminé lors de l'épreuve finale d'orientation.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::philippe [ n 5 ],KL15,Koh-Lanta : Malaisie,Philippe [ N 5 ],17.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Philippe est éliminé lors de l'épreuve finale d'orientation.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::vanessa,KL15,Koh-Lanta : Malaisie,Vanessa,18.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Malaisie,Vanessa est éliminée lors de l'épreuve finale des poteaux.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale des poteaux.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL17::manon allender,KL17,Koh-Lanta : Johor,Manon Allender,4.0,Left Competition Day 12,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOLUNTARY,https://kohlanta.fandom.com/fr/wiki/Manon_Allender,Manon décide de quitter volontairement l'aventure au jour 12 en raison du stress et de son état de santé.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Départ choisi volontairement par la candidate.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL18::charlie vincent-mussard,KL18,Koh-Lanta : Thaïlande,Charlie Vincent-Mussard,1.0,Left Competition Day 3,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOLUNTARY,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Tha%C3%AFlande,"Charlie quitte volontairement le jeu au jour 3 après une crise de migraine, bien qu'elle ait été déclarée apte à continuer.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Départ choisi volontairement par la candidate.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL18::marius torterat,KL18,Koh-Lanta : Thaïlande,Marius Torterat,3.0,Left Competition Day 6,INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOLUNTARY,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Tha%C3%AFlande,"Marius décide de quitter volontairement l'aventure au jour 6, se sentant oppressé par les caméras et l'aspect télé-réalité.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Départ choisi volontairement par le candidat.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::émilie,KL22,Koh-Lanta : La Guerre des Chefs,Émilie,3.0,"Éliminée [ 8 ] , [ 9 ] [source secondaire souhaitée] , [ 10 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Émilie est éliminée au Conseil par sa tribu.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::victor,KL22,Koh-Lanta : La Guerre des Chefs,Victor,4.0,"Éliminé [ 11 ] , [ 12 ] [source secondaire souhaitée] , [ 13 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Victor est éliminé au premier Conseil des rouges.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::chloé,KL22,Koh-Lanta : La Guerre des Chefs,Chloé,5.0,"Éliminée [ 14 ] , [ 15 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Chloé est éliminée au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL22::xavier,KL22,Koh-Lanta : La Guerre des Chefs,Xavier,6.0,Éliminé [ 16 ] [source secondaire souhaitée],INDETERMINE,INDETERMINE,INDETERMINE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs,Xavier est éliminé au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
