candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL15::namadia [ n 4 ],KL15,Koh-Lanta : Malaisie,Namadia [ N 4 ],9.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::marylou,KL15,Koh-Lanta : Malaisie,Marylou,10.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::catherine,KL15,Koh-Lanta : Malaisie,Catherine,11.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::camille,KL15,Koh-Lanta : Malaisie,Camille,12.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::thierry,KL15,Koh-Lanta : Malaisie,Thierry,14.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::myriam,KL15,Koh-Lanta : Malaisie,Myriam,15.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::bernard,KL15,Koh-Lanta : Malaisie,Bernard,16.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::philippe [ n 5 ],KL15,Koh-Lanta : Malaisie,Philippe [ N 5 ],17.0,Éliminé,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL15::vanessa,KL15,Koh-Lanta : Malaisie,Vanessa,18.0,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL17::manon allender,KL17,Koh-Lanta : Johor,Manon Allender,4.0,Left Competition Day 12,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL18::charlie vincent-mussard,KL18,Koh-Lanta : Thaïlande,Charlie Vincent-Mussard,1.0,Left Competition Day 3,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
