candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL26::anne-sophie,KL26,Koh-Lanta : Le Feu Sacré,Anne-Sophie,10.0,Éliminée [ 20 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,Anne-Sophie est éliminée au Conseil après la réunification.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::helena,KL26,Koh-Lanta : Le Feu Sacré,Helena,11.0,Éliminée [ 21 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,Helena est éliminée au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::gilles,KL26,Koh-Lanta : Le Feu Sacré,Gilles,12.0,Éliminé [ 22 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,Gilles est éliminé au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::clémence,KL26,Koh-Lanta : Le Feu Sacré,Clémence,13.0,Éliminée [ 23 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,DESTINS_LIES,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,"Clémence est éliminée à la suite de l'élimination d'Esteban, son partenaire de binôme.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Sortie entraînée par l'élimination du partenaire de binôme.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::esteban,KL26,Koh-Lanta : Le Feu Sacré,Esteban,14.0,Éliminé [ 24 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,Esteban est éliminé au Conseil lors de l'épisode des destins liés.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::laura,KL26,Koh-Lanta : Le Feu Sacré,Laura,15.0,Éliminée [ 25 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,VOTE_CONSEIL,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,Laura est éliminée au Conseil.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination décidée par vote au Conseil.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::quentin,KL26,Koh-Lanta : Le Feu Sacré,Quentin,16.0,Éliminé [ 26 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,AMBASSADEURS,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,"Quentin est éliminé par tirage au sort lors de la réunion des ambassadeurs ; il reste ensuite dans le jeu après l'abandon de Grâce, mais seule cette première élimination est retenue.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Première élimination retenue : sortie décidée lors de la réunion des ambassadeurs.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::julie,KL26,Koh-Lanta : Le Feu Sacré,Julie,17.0,Éliminée [ 27 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,Julie est éliminée à l'issue de l'épreuve d'orientation.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination pendant l'épreuve finale d'orientation.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::nicolas,KL26,Koh-Lanta : Le Feu Sacré,Nicolas,18.0,Éliminé [ 28 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Feu_Sacr%C3%A9,"Nicolas n'est pas choisi par Frédéric, vainqueur des poteaux, pour accéder au jury final.",,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination liée à l'épreuve finale des poteaux et au choix du vainqueur.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL27::ricky poyet,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Ricky Poyet,9.0,Eliminated Day 22,INDETERMINE,INDETERMINE,AUTRE_SORTIE,AMBASSADEURS,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9,Ricky est éliminé lors de la réunion des ambassadeurs.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe lors de la réunion des ambassadeurs.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL27::océane montenegro,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Océane Montenegro,11.0,Eliminated 2nd Jury Member Day 26,INDETERMINE,INDETERMINE,AUTRE_SORTIE,ELIMINATION_CHALLENGE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9,Océane est éliminée à l'issue d'une épreuve éliminatoire.,,,SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,"Cause déterminée à partir du tableau et du résumé de saison. Lorsqu'un candidat revient après une première sortie, seule la première sortie est retenue.",Élimination directe après une épreuve à enjeu éliminatoire.,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
