candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL26::anne-sophie,KL26,Koh-Lanta : Le Feu Sacré,Anne-Sophie,10.0,Éliminée [ 20 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::helena,KL26,Koh-Lanta : Le Feu Sacré,Helena,11.0,Éliminée [ 21 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::gilles,KL26,Koh-Lanta : Le Feu Sacré,Gilles,12.0,Éliminé [ 22 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::clémence,KL26,Koh-Lanta : Le Feu Sacré,Clémence,13.0,Éliminée [ 23 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::esteban,KL26,Koh-Lanta : Le Feu Sacré,Esteban,14.0,Éliminé [ 24 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::laura,KL26,Koh-Lanta : Le Feu Sacré,Laura,15.0,Éliminée [ 25 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::quentin,KL26,Koh-Lanta : Le Feu Sacré,Quentin,16.0,Éliminé [ 26 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::julie,KL26,Koh-Lanta : Le Feu Sacré,Julie,17.0,Éliminée [ 27 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL26::nicolas,KL26,Koh-Lanta : Le Feu Sacré,Nicolas,18.0,Éliminé [ 28 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL27::ricky poyet,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Ricky Poyet,9.0,Eliminated Day 22,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL27::océane montenegro,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Océane Montenegro,11.0,Eliminated 2nd Jury Member Day 26,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL27::aurélien dulau,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Aurélien Dulau,14.0,Eliminated 4th Jury Member Day 29,INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::cynthiana,KL29,Koh-Lanta : La Revanche des 4 Terres,Cynthiana,1.0,"Éliminée [ 6 ] , [ 7 ] , [ 8 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::christian,KL29,Koh-Lanta : La Revanche des 4 Terres,Christian,3.0,"Éliminé [ 12 ] , [ 13 ] , [ 14 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::romane,KL29,Koh-Lanta : La Revanche des 4 Terres,Romane,4.0,"Éliminée [ 15 ] , [ 16 ] , [ 17 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::benoît,KL29,Koh-Lanta : La Revanche des 4 Terres,Benoît,6.0,"Éliminé [ 21 ] , [ 22 ] , [ 23 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::mohamed,KL29,Koh-Lanta : La Revanche des 4 Terres,Mohamed,7.0,"Éliminé [ 24 ] , [ 25 ] , [ 26 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::pauline,KL29,Koh-Lanta : La Revanche des 4 Terres,Pauline,8.0,"Éliminée [ 27 ] , [ 28 ] , [ 29 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::andréa,KL29,Koh-Lanta : La Revanche des 4 Terres,Andréa,9.0,"Éliminée [ 30 ] , [ 31 ] , [ 32 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
