candidate_season_key,season_id,season_name,candidate_name,proposed_gender,gender_source_url,gender_source_excerpt,gender_source_quality,gender_confidence,research_status,manual_reviewer_decision,researcher_notes
KL08::céga,KL08,KL KL08,Céga,MALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Céga au masculin (par exemple « éliminé », « gagnant » ou une profession masculinisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::irya,KL08,KL KL08,Irya,FEMALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Irya au féminin (par exemple « éliminée », « finaliste » ou une profession féminisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::morgane,KL08,KL KL08,Morgane,FEMALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Morgane au féminin (par exemple « éliminée », « finaliste » ou une profession féminisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::jessica,KL08,KL KL08,Jessica,FEMALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Jessica au féminin (par exemple « éliminée », « finaliste » ou une profession féminisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::alain,KL08,KL KL08,Alain,MALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Alain au masculin (par exemple « éliminé », « gagnant » ou une profession masculinisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::jean-bernard,KL08,KL KL08,Jean-Bernard,MALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Jean-Bernard au masculin (par exemple « éliminé », « gagnant » ou une profession masculinisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::christopher,KL08,KL KL08,Christopher,MALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Christopher au masculin (par exemple « éliminé », « gagnant » ou une profession masculinisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::charlène,KL08,KL KL08,Charlène,FEMALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Charlène au féminin (par exemple « éliminée », « finaliste » ou une profession féminisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::hakim,KL08,KL KL08,Hakim,MALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Hakim au masculin (par exemple « éliminé », « gagnant » ou une profession masculinisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
KL08::régis,KL08,KL KL08,Régis,MALE,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan,"Le tableau des candidats de la saison présente Régis au masculin (par exemple « éliminé », « gagnant » ou une profession masculinisée).",SECONDARY_DATABASE,HIGH,COMPLETE,ACCEPT_PROPOSAL,Genre déterminé à partir du tableau de casting de la saison et de ses marqueurs grammaticaux explicites. Aucune inférence fondée uniquement sur le prénom n’a été utilisée.
