candidate_season_key,season_id,season_name,candidate_name,proposed_gender,gender_source_url,gender_source_excerpt,gender_source_quality,gender_confidence,research_status,manual_reviewer_decision,researcher_notes
KL08::céga,KL08,KL KL08,Céga,,,,,,NOT_STARTED,,
KL08::irya,KL08,KL KL08,Irya,,,,,,NOT_STARTED,,
KL08::morgane,KL08,KL KL08,Morgane,,,,,,NOT_STARTED,,
KL08::jessica,KL08,KL KL08,Jessica,,,,,,NOT_STARTED,,
KL08::alain,KL08,KL KL08,Alain,,,,,,NOT_STARTED,,
KL08::jean-bernard,KL08,KL KL08,Jean-Bernard,,,,,,NOT_STARTED,,
KL08::christopher,KL08,KL KL08,Christopher,,,,,,NOT_STARTED,,
KL08::charlène,KL08,KL KL08,Charlène,,,,,,NOT_STARTED,,
KL08::hakim,KL08,KL KL08,Hakim,,,,,,NOT_STARTED,,
KL08::régis,KL08,KL KL08,Régis,,,,,,NOT_STARTED,,
KL08::carole,KL08,KL KL08,Carole,,,,,,NOT_STARTED,,
KL08::nathalie,KL08,KL KL08,Nathalie,,,,,,NOT_STARTED,,
KL08::bertrand,KL08,KL KL08,Bertrand,,,,,,NOT_STARTED,,
KL08::frédéric favier,KL08,KL KL08,Frédéric Favier,,,,,,NOT_STARTED,,
KL08::christelle gauzet,KL08,KL KL08,Christelle Gauzet,,,,,,NOT_STARTED,,
KL02::caroline mercier,KL02,KL KL02,Caroline Mercier,,,,,,NOT_STARTED,,
KL02::céline genty,KL02,KL KL02,Céline Genty,,,,,,NOT_STARTED,,
KL02::nelly,KL02,KL KL02,Nelly,,,,,,NOT_STARTED,,
KL02::pierre,KL02,KL KL02,Pierre,,,,,,NOT_STARTED,,
KL02::jacky,KL02,KL KL02,Jacky,,,,,,NOT_STARTED,,
KL02::adonis,KL02,KL KL02,Adonis,,,,,,NOT_STARTED,,
KL02::jimmy,KL02,KL KL02,Jimmy,,,,,,NOT_STARTED,,
KL02::béatrice,KL02,KL KL02,Béatrice,,,,,,NOT_STARTED,,
KL02::françois-xavier,KL02,KL KL02,François-Xavier,,,,,,NOT_STARTED,,
KL02::isabelle,KL02,KL KL02,Isabelle,,,,,,NOT_STARTED,,
KL02::maud,KL02,KL KL02,Maud,,,,,,NOT_STARTED,,
KL02::marianne,KL02,KL KL02,Marianne,,,,,,NOT_STARTED,,
KL02::bernard,KL02,KL KL02,Bernard,,,,,,NOT_STARTED,,
KL02::nicolas roy,KL02,KL KL02,Nicolas Roy,,,,,,NOT_STARTED,,
KL02::amel fatnassi,KL02,KL KL02,Amel Fatnassi,,,,,,NOT_STARTED,,
KL07::pascale,KL07,KL KL07,Pascale,,,,,,NOT_STARTED,,
KL07::marie-laure,KL07,KL KL07,Marie-Laure,,,,,,NOT_STARTED,,
KL07::mélanie,KL07,KL KL07,Mélanie,,,,,,NOT_STARTED,,
KL07::véronique barriol,KL07,KL KL07,Véronique Barriol,,,,,,NOT_STARTED,,
KL07::chloé,KL07,KL KL07,Chloé,,,,,,NOT_STARTED,,
KL07::érick,KL07,KL KL07,Érick,,,,,,NOT_STARTED,,
KL07::filomène,KL07,KL KL07,Filomène,,,,,,NOT_STARTED,,
KL07::adrien,KL07,KL KL07,Adrien,,,,,,NOT_STARTED,,
KL07::laurent,KL07,KL KL07,Laurent,,,,,,NOT_STARTED,,
KL07::patrick,KL07,KL KL07,Patrick,,,,,,NOT_STARTED,,
KL07::simon,KL07,KL KL07,Simon,,,,,,NOT_STARTED,,
KL07::maryline,KL07,KL KL07,Maryline,,,,,,NOT_STARTED,,
KL07::kévin cuoco,KL07,KL KL07,Kévin Cuoco,,,,,,NOT_STARTED,,
KL07::jade handi,KL07,KL KL07,Jade Handi,,,,,,NOT_STARTED,,
KL01::marie,KL01,KL KL01,Marie,,,,,,NOT_STARTED,,
KL01::guillaume noël,KL01,KL KL01,Guillaume Noël,,,,,,NOT_STARTED,,
KL01::jean-luc,KL01,KL KL01,Jean-Luc,,,,,,NOT_STARTED,,
KL01::gaël,KL01,KL KL01,Gaël,,,,,,NOT_STARTED,,
KL01::harry,KL01,KL KL01,Harry,,,,,,NOT_STARTED,,
KL01::sandra,KL01,KL KL01,Sandra,,,,,,NOT_STARTED,,
KL01::david,KL01,KL KL01,David,,,,,,NOT_STARTED,,
KL01::stéphane,KL01,KL KL01,Stéphane,,,,,,NOT_STARTED,,
KL01::géraldine drouhet,KL01,KL KL01,Géraldine Drouhet,,,,,,NOT_STARTED,,
KL01::michèle,KL01,KL KL01,Michèle,,,,,,NOT_STARTED,,
KL01::william,KL01,KL KL01,William,,,,,,NOT_STARTED,,
KL01::françoise,KL01,KL KL01,Françoise,,,,,,NOT_STARTED,,
KL01::romain,KL01,KL KL01,Romain,,,,,,NOT_STARTED,,
KL01::patricia,KL01,KL KL01,Patricia,,,,,,NOT_STARTED,,
KL01::guénaëlle biras,KL01,KL KL01,Guénaëlle Biras,,,,,,NOT_STARTED,,
KL01::gilles nicolet,KL01,KL KL01,Gilles Nicolet,,,,,,NOT_STARTED,,
