"batch_id","batch_number","season_id","season_name","season_year","candidate_season_key","candidate_name","research_task_type","research_priority_score","external_research_priority","fields_to_complete","external_research_request","search_query_1","search_query_2","search_query_3","research_status","review_status"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::steve lemercier","Steve Lemercier","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Steve Lemercier (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Steve Lemercier (Koh-Lanta : Raja Ampat, 2011)","""Steve Lemercier"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Steve Lemercier"" Koh-Lanta  portrait métier sport","""Steve Lemercier"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::gérard ""gégé"" icardi","Gérard ""Gégé"" Icardi","MULTI_FIELD_RESEARCH","7","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Gérard ""Gégé"" Icardi (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Gérard ""Gégé"" Icardi (Koh-Lanta : Raja Ampat, 2011)","""Gérard ""Gégé"" Icardi"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Gérard ""Gégé"" Icardi"" Koh-Lanta  portrait métier sport","""Gérard ""Gégé"" Icardi"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::nawal ""naouel"" hadjaf","Nawal ""Naouel"" Hadjaf","MULTI_FIELD_RESEARCH","7","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nawal ""Naouel"" Hadjaf (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nawal ""Naouel"" Hadjaf (Koh-Lanta : Raja Ampat, 2011)","""Nawal ""Naouel"" Hadjaf"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Nawal ""Naouel"" Hadjaf"" Koh-Lanta  portrait métier sport","""Nawal ""Naouel"" Hadjaf"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::benoît mahieux","Benoît Mahieux","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benoît Mahieux (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benoît Mahieux (Koh-Lanta : Raja Ampat, 2011)","""Benoît Mahieux"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Benoît Mahieux"" Koh-Lanta  portrait métier sport","""Benoît Mahieux"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::délisia fettache","Délisia Fettache","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Délisia Fettache (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Délisia Fettache (Koh-Lanta : Raja Ampat, 2011)","""Délisia Fettache"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Délisia Fettache"" Koh-Lanta  portrait métier sport","""Délisia Fettache"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::caroline matteucci","Caroline Matteucci","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Caroline Matteucci (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Caroline Matteucci (Koh-Lanta : Raja Ampat, 2011)","""Caroline Matteucci"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Caroline Matteucci"" Koh-Lanta  portrait métier sport","""Caroline Matteucci"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::maxime boulet","Maxime Boulet","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maxime Boulet (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maxime Boulet (Koh-Lanta : Raja Ampat, 2011)","""Maxime Boulet"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Maxime Boulet"" Koh-Lanta  portrait métier sport","""Maxime Boulet"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::anthony amar","Anthony Amar","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Anthony Amar (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Anthony Amar (Koh-Lanta : Raja Ampat, 2011)","""Anthony Amar"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Anthony Amar"" Koh-Lanta  portrait métier sport","""Anthony Amar"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::olivier moenaert","Olivier Moenaert","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Olivier Moenaert (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Olivier Moenaert (Koh-Lanta : Raja Ampat, 2011)","""Olivier Moenaert"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Olivier Moenaert"" Koh-Lanta  portrait métier sport","""Olivier Moenaert"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::florence delbarre reuter","Florence Delbarre Reuter","MULTI_FIELD_RESEARCH","7","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Florence Delbarre Reuter (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Florence Delbarre Reuter (Koh-Lanta : Raja Ampat, 2011)","""Florence Delbarre Reuter"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Florence Delbarre Reuter"" Koh-Lanta  portrait métier sport","""Florence Delbarre Reuter"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::virginie jarry","Virginie Jarry","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Virginie Jarry (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Virginie Jarry (Koh-Lanta : Raja Ampat, 2011)","""Virginie Jarry"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Virginie Jarry"" Koh-Lanta  portrait métier sport","""Virginie Jarry"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::patricia morel","Patricia Morel","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Patricia Morel (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Patricia Morel (Koh-Lanta : Raja Ampat, 2011)","""Patricia Morel"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Patricia Morel"" Koh-Lanta  portrait métier sport","""Patricia Morel"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::alexandra pouillon","Alexandra Pouillon","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Pouillon (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Pouillon (Koh-Lanta : Raja Ampat, 2011)","""Alexandra Pouillon"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Alexandra Pouillon"" Koh-Lanta  portrait métier sport","""Alexandra Pouillon"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::martin bazin","Martin Bazin","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Martin Bazin (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Martin Bazin (Koh-Lanta : Raja Ampat, 2011)","""Martin Bazin"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Martin Bazin"" Koh-Lanta  portrait métier sport","""Martin Bazin"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
"EXT_BATCH_002","2","KL13","Koh-Lanta : Raja Ampat","","KL13::ella gbezan","Ella Gbezan","MULTI_FIELD_RESEARCH","8","HIGH","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Ella Gbezan (Koh-Lanta : Raja Ampat, 2011)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Ella Gbezan (Koh-Lanta : Raja Ampat, 2011)","""Ella Gbezan"" ""Koh-Lanta"" Koh-Lanta : Raja Ampat","""Ella Gbezan"" Koh-Lanta  portrait métier sport","""Ella Gbezan"" Koh-Lanta candidat candidature interview","NOT_STARTED","A_REVOIR"
