candidate_season_key,season_id,season_name,candidate_name,age_found,age_value,age_source_url,age_source_excerpt,age_source_quality,age_confidence,gender_found,gender_normalized,gender_source_url,gender_source_excerpt,gender_source_quality,gender_confidence,profession_found,profession_raw,profession_normalized,profession_source_url,profession_source_excerpt,profession_source_quality,profession_confidence,sport_evidence_found,explicit_sport_activity,sport_name,sport_frequency,sport_intensity,competition_level,years_of_practice,muscularity_evidence_found,documented_muscular_build,muscularity_evidence_text,physical_source_url_1,physical_source_excerpt_1,physical_source_quality_1,physical_source_url_2,physical_source_excerpt_2,physical_source_quality_2,proposed_physical_score,physical_positive_reason,physical_zero_reason,physical_score_justification,physical_score_confidence,research_status,researcher_notes,manual_reviewer_decision
KL15::sara [ n 1 ],KL15,Koh-Lanta : Malaisie,Sara [ N 1 ],True,42,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Sara [ N 1 ] — 42 ans.,SECONDARY_DATABASE,HIGH,True,FEMALE,https://survivor.fandom.com/wiki/Sara_Tallon,Le profil de Sara [ N 1 ] emploie une présentation correspondant au genre FEMALE.,SECONDARY_DATABASE,HIGH,True,Gérante d’un club de fitness,Gérante d’un club de fitness,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Sara [ N 1 ] — profession : Gérante d’un club de fitness.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/Sara_Tallon,Gérante d’un club de fitness : activité professionnelle directement liée à l’entraînement physique.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 42 ans, profession Gérante d’un club de fitness.",SECONDARY_DATABASE,1,DIRECT_PHYSICAL_PROFESSION,,Gérante d’un club de fitness : activité professionnelle directement liée à l’entraînement physique. Cet élément satisfait le critère binaire positif.,HIGH,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::nadine,KL15,Koh-Lanta : Malaisie,Nadine,True,57,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Nadine — 57 ans.,SECONDARY_DATABASE,HIGH,True,FEMALE,https://survivor.fandom.com/wiki/Nadine,Le profil de Nadine emploie une présentation correspondant au genre FEMALE.,SECONDARY_DATABASE,HIGH,True,Coordinatrice de transplantation d’organes,Coordinatrice de transplantation d’organes,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Nadine — profession : Coordinatrice de transplantation d’organes.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/Nadine,Le profil disponible documente une profession médicale de coordination sans pratique sportive intensive ni musculature signalée.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 57 ans, profession Coordinatrice de transplantation d’organes.",SECONDARY_DATABASE,0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Le profil disponible documente une profession médicale de coordination sans pratique sportive intensive ni musculature signalée. Le score proposé est donc 0.,MEDIUM,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::élodie,KL15,Koh-Lanta : Malaisie,Élodie,True,36,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Élodie — 36 ans.,SECONDARY_DATABASE,HIGH,True,FEMALE,https://survivor.fandom.com/wiki/%C3%89lodie,Le profil de Élodie emploie une présentation correspondant au genre FEMALE.,SECONDARY_DATABASE,HIGH,True,Mère au foyer,Mère au foyer,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Élodie — profession : Mère au foyer.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/%C3%89lodie,Le portrait la présente comme mère au foyer et ne documente aucune pratique sportive intensive ou profession physique directe.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 36 ans, profession Mère au foyer.",SECONDARY_DATABASE,0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Le portrait la présente comme mère au foyer et ne documente aucune pratique sportive intensive ou profession physique directe. Le score proposé est donc 0.,MEDIUM,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::marie [ n 2 ],KL15,Koh-Lanta : Malaisie,Marie [ N 2 ],True,23,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Marie [ N 2 ] — 23 ans.,SECONDARY_DATABASE,HIGH,True,FEMALE,https://survivor.fandom.com/wiki/Marie_Parmentier,Le profil de Marie [ N 2 ] emploie une présentation correspondant au genre FEMALE.,SECONDARY_DATABASE,HIGH,True,Gérante de restaurant,Gérante de restaurant,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Marie [ N 2 ] — profession : Gérante de restaurant.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/Marie_Parmentier,Le profil documente son activité de gérante de restaurant sans indicateur sportif ou musculaire qualifiant.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 23 ans, profession Gérante de restaurant.",SECONDARY_DATABASE,0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Le profil documente son activité de gérante de restaurant sans indicateur sportif ou musculaire qualifiant. Le score proposé est donc 0.,MEDIUM,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::anthony,KL15,Koh-Lanta : Malaisie,Anthony,True,24,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Anthony — 24 ans.,SECONDARY_DATABASE,HIGH,True,MALE,https://survivor.fandom.com/wiki/Anthony,Le profil de Anthony emploie une présentation correspondant au genre MALE.,SECONDARY_DATABASE,HIGH,True,Plombier,Plombier,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Anthony — profession : Plombier.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/Anthony,Plombier : métier manuel directement physique selon la règle méthodologique retenue.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 24 ans, profession Plombier.",SECONDARY_DATABASE,1,DIRECT_PHYSICAL_PROFESSION,,Plombier : métier manuel directement physique selon la règle méthodologique retenue. Cet élément satisfait le critère binaire positif.,MEDIUM,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::javier [ n 3 ],KL15,Koh-Lanta : Malaisie,Javier [ N 3 ],True,39,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Javier [ N 3 ] — 39 ans.,SECONDARY_DATABASE,HIGH,True,MALE,https://survivor.fandom.com/wiki/Javier_Rodriguez,Le profil de Javier [ N 3 ] emploie une présentation correspondant au genre MALE.,SECONDARY_DATABASE,HIGH,True,Peintre en bâtiment,Peintre en bâtiment,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Javier [ N 3 ] — profession : Peintre en bâtiment.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/Javier_Rodriguez,Peintre en bâtiment : métier manuel directement physique selon la règle méthodologique retenue.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 39 ans, profession Peintre en bâtiment.",SECONDARY_DATABASE,1,DIRECT_PHYSICAL_PROFESSION,,Peintre en bâtiment : métier manuel directement physique selon la règle méthodologique retenue. Cet élément satisfait le critère binaire positif.,MEDIUM,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::namadia [ n 4 ],KL15,Koh-Lanta : Malaisie,Namadia [ N 4 ],True,28,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Namadia [ N 4 ] — 28 ans.,SECONDARY_DATABASE,HIGH,True,MALE,https://survivor.fandom.com/wiki/Namadia_Tha%C3%AF_Tha%C3%AF,Le profil de Namadia [ N 4 ] emploie une présentation correspondant au genre MALE.,SECONDARY_DATABASE,HIGH,True,Chauffeur-livreur,Chauffeur-livreur,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Namadia [ N 4 ] — profession : Chauffeur-livreur.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/Namadia_Tha%C3%AF_Tha%C3%AF,"Le portrait le décrit comme compétiteur, mais sans sport régulier, intensité ou musculature documentés.",SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 28 ans, profession Chauffeur-livreur.",SECONDARY_DATABASE,0,,NO_QUALIFYING_PHYSICAL_INDICATOR,"Le portrait le décrit comme compétiteur, mais sans sport régulier, intensité ou musculature documentés. Le score proposé est donc 0.",MEDIUM,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::marylou,KL15,Koh-Lanta : Malaisie,Marylou,True,22,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Marylou — 22 ans.,SECONDARY_DATABASE,HIGH,True,FEMALE,https://survivor.fandom.com/wiki/Marylou,Le profil de Marylou emploie une présentation correspondant au genre FEMALE.,SECONDARY_DATABASE,HIGH,True,Hôtesse de l’air,Hôtesse de l’air,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Marylou — profession : Hôtesse de l’air.,SECONDARY_DATABASE,HIGH,True,Ancienne membre de l’équipe de France de taekwondo jusqu’à 19 ans.,Taekwondo,,Élevée,International / équipe de France,,False,False,,https://survivor.fandom.com/wiki/Marylou,Ancienne membre de l’équipe de France de taekwondo jusqu’à 19 ans.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 22 ans, profession Hôtesse de l’air.",SECONDARY_DATABASE,1,COMPETITIVE_SPORT_BACKGROUND,,Ancienne membre de l’équipe de France de taekwondo jusqu’à 19 ans. Cet élément satisfait le critère binaire positif.,HIGH,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::catherine,KL15,Koh-Lanta : Malaisie,Catherine,True,41,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Catherine — 41 ans.,SECONDARY_DATABASE,HIGH,True,FEMALE,https://survivor.fandom.com/wiki/Catherine,Le profil de Catherine emploie une présentation correspondant au genre FEMALE.,SECONDARY_DATABASE,HIGH,True,Commerciale en fer à béton,Commerciale en fer à béton,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Catherine — profession : Commerciale en fer à béton.,SECONDARY_DATABASE,HIGH,False,,,,,,,False,False,,https://survivor.fandom.com/wiki/Catherine,"Le profil disponible ne documente ni pratique sportive intensive, ni musculature, ni profession directement physique.",SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 41 ans, profession Commerciale en fer à béton.",SECONDARY_DATABASE,0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Le profil disponible ne documente ni pratique sportive intensive, ni musculature, ni profession directement physique. Le score proposé est donc 0.",MEDIUM,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
KL15::camille,KL15,Koh-Lanta : Malaisie,Camille,True,18,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Camille — 18 ans.,SECONDARY_DATABASE,HIGH,True,FEMALE,https://survivor.fandom.com/wiki/Camille,Le profil de Camille emploie une présentation correspondant au genre FEMALE.,SECONDARY_DATABASE,HIGH,True,Étudiante en STAPS,Étudiante en STAPS,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,Camille — profession : Étudiante en STAPS.,SECONDARY_DATABASE,HIGH,True,Étudiante en STAPS : formation supérieure directement consacrée aux activités physiques et sportives.,,,,,,False,False,,https://survivor.fandom.com/wiki/Camille,Étudiante en STAPS : formation supérieure directement consacrée aux activités physiques et sportives.,SECONDARY_DATABASE,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie,"Tableau de saison : 18 ans, profession Étudiante en STAPS.",SECONDARY_DATABASE,1,SPORT_EDUCATION,,Étudiante en STAPS : formation supérieure directement consacrée aux activités physiques et sportives. Cet élément satisfait le critère binaire positif.,HIGH,COMPLETE,Recherche fondée sur le tableau structuré de la saison et les portraits de candidats reproduisant les anciennes fiches TF1. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,ACCEPT_PROPOSAL
