batch_id,batch_number,season_id,season_name,season_year,candidate_season_key,candidate_name,research_task_type,research_priority_score,external_research_priority,fields_to_complete,external_research_request,search_query_1,search_query_2,search_query_3,research_status,review_status
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::émilie,Émilie,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Émilie (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Émilie (Koh-Lanta : La Guerre des Chefs, 2019)","""Émilie"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Émilie"" Koh-Lanta  portrait métier sport","""Émilie"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::victor,Victor,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Victor (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Victor (Koh-Lanta : La Guerre des Chefs, 2019)","""Victor"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Victor"" Koh-Lanta  portrait métier sport","""Victor"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::chloé,Chloé,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Chloé (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Chloé (Koh-Lanta : La Guerre des Chefs, 2019)","""Chloé"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Chloé"" Koh-Lanta  portrait métier sport","""Chloé"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::xavier,Xavier,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Xavier (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Xavier (Koh-Lanta : La Guerre des Chefs, 2019)","""Xavier"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Xavier"" Koh-Lanta  portrait métier sport","""Xavier"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::frédéric,Frédéric,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Frédéric (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Frédéric (Koh-Lanta : La Guerre des Chefs, 2019)","""Frédéric"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Frédéric"" Koh-Lanta  portrait métier sport","""Frédéric"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::alexandre,Alexandre,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandre (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandre (Koh-Lanta : La Guerre des Chefs, 2019)","""Alexandre"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Alexandre"" Koh-Lanta  portrait métier sport","""Alexandre"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::béatrice,Béatrice,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Béatrice (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Béatrice (Koh-Lanta : La Guerre des Chefs, 2019)","""Béatrice"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Béatrice"" Koh-Lanta  portrait métier sport","""Béatrice"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::brice,Brice,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Brice (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Brice (Koh-Lanta : La Guerre des Chefs, 2019)","""Brice"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Brice"" Koh-Lanta  portrait métier sport","""Brice"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::sophie,Sophie,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie (Koh-Lanta : La Guerre des Chefs, 2019)","""Sophie"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Sophie"" Koh-Lanta  portrait métier sport","""Sophie"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::angélique,Angélique,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Angélique (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Angélique (Koh-Lanta : La Guerre des Chefs, 2019)","""Angélique"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Angélique"" Koh-Lanta  portrait métier sport","""Angélique"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
