"candidate_season_key","season_id","season_name","candidate_name","age_found","age_value","age_source_url","age_source_excerpt","age_source_quality","age_confidence","gender_found","gender_normalized","gender_source_url","gender_source_excerpt","gender_source_quality","gender_confidence","profession_found","profession_raw","profession_normalized","profession_source_url","profession_source_excerpt","profession_source_quality","profession_confidence","sport_evidence_found","explicit_sport_activity","sport_name","sport_frequency","sport_intensity","competition_level","years_of_practice","muscularity_evidence_found","documented_muscular_build","muscularity_evidence_text","physical_source_url_1","physical_source_excerpt_1","physical_source_quality_1","physical_source_url_2","physical_source_excerpt_2","physical_source_quality_2","proposed_physical_score","physical_positive_reason","physical_zero_reason","physical_score_justification","physical_score_confidence","research_status","researcher_notes","manual_reviewer_decision"
"KL22::émilie","KL22","Koh-Lanta : La Guerre des Chefs","Émilie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::victor","KL22","Koh-Lanta : La Guerre des Chefs","Victor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::chloé","KL22","Koh-Lanta : La Guerre des Chefs","Chloé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::xavier","KL22","Koh-Lanta : La Guerre des Chefs","Xavier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::frédéric","KL22","Koh-Lanta : La Guerre des Chefs","Frédéric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::alexandre","KL22","Koh-Lanta : La Guerre des Chefs","Alexandre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::béatrice","KL22","Koh-Lanta : La Guerre des Chefs","Béatrice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::brice","KL22","Koh-Lanta : La Guerre des Chefs","Brice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::sophie","KL22","Koh-Lanta : La Guerre des Chefs","Sophie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::angélique","KL22","Koh-Lanta : La Guerre des Chefs","Angélique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::mohamed","KL22","Koh-Lanta : La Guerre des Chefs","Mohamed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::nicolas","KL22","Koh-Lanta : La Guerre des Chefs","Nicolas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::maxime","KL22","Koh-Lanta : La Guerre des Chefs","Maxime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::cyril","KL22","Koh-Lanta : La Guerre des Chefs","Cyril","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::clo","KL22","Koh-Lanta : La Guerre des Chefs","Clo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::aurélien","KL22","Koh-Lanta : La Guerre des Chefs","Aurélien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::steeve","KL22","Koh-Lanta : La Guerre des Chefs","Steeve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::cindy","KL22","Koh-Lanta : La Guerre des Chefs","Cindy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL22::maud","KL22","Koh-Lanta : La Guerre des Chefs","Maud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::céline ""lili"" gasnier","KL25","Koh-Lanta : Le Totem Maudit","Céline ""Lili"" Gasnier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::céline dufrenoy","KL25","Koh-Lanta : Le Totem Maudit","Céline Dufrenoy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::franck macia","KL25","Koh-Lanta : Le Totem Maudit","Franck Macia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::mattéo real","KL25","Koh-Lanta : Le Totem Maudit","Mattéo Real","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::samira aït-brahim","KL25","Koh-Lanta : Le Totem Maudit","Samira Aït-Brahim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::benjamin breerette","KL25","Koh-Lanta : Le Totem Maudit","Benjamin Breerette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::stéphanie tribot","KL25","Koh-Lanta : Le Totem Maudit","Stéphanie Tribot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::jean-philippe masy","KL25","Koh-Lanta : Le Totem Maudit","Jean-Philippe Masy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::alexandra élizé","KL25","Koh-Lanta : Le Totem Maudit","Alexandra Élizé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::setha el hajjami","KL25","Koh-Lanta : Le Totem Maudit","Setha El Hajjami","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::colin mottas","KL25","Koh-Lanta : Le Totem Maudit","Colin Mottas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::pauline pourchaire","KL25","Koh-Lanta : Le Totem Maudit","Pauline Pourchaire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::yannick zachée","KL25","Koh-Lanta : Le Totem Maudit","Yannick Zachée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::anne-sophie mounier","KL25","Koh-Lanta : Le Totem Maudit","Anne-Sophie Mounier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::maxime tournoux","KL25","Koh-Lanta : Le Totem Maudit","Maxime Tournoux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL25::louana roy","KL25","Koh-Lanta : Le Totem Maudit","Louana Roy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
