season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at,candidate_name_normalized,candidate_season_key,had_temporary_elimination,first_exit_type,first_exit_model_category,first_exit_description,final_exit_type,final_exit_model_category,final_exit_description,model_exit_order,model_exit_type,model_exit_category,physical_score,physical_score_justification,physical_score_sources,local_enrichment_performed,external_research_performed,age,age_source_type,age_review_status,gender_normalized,gender_local_evidence,gender_confidence,gender_review_status,profession_normalized,profession_local_evidence,profession_confidence,profession_review_status,profile_documentation_sufficient,local_evidence_fields_reviewed,physical_score_confidence,physical_score_reviewer_status,external_research_required,enrichment_status,enrichment_notes,physical_zero_reason,age_confidence,physical_positive_reason,physical_score_based_on_profession_only
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Alexandra Denikine,,,,CO_VAINQUEUR,1,0.0,,CO_VAINQUEUR,CO_VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Données vérifiées manuellement (source secondaire),False,True,False,1,,False,,False,False,1.0,STANDARD,0,True,1,2026-07-21T01:58:33.811195,alexandra denikine,KL03::alexandra denikine,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,27.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le profil présente Alexandra Denikine comme candidate / elle de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Négociante en vin,Alexandra Denikine — profession : Négociante en vin.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Candice Cohen,,,,CO_VAINQUEUR,2,0.058824,,CO_VAINQUEUR,CO_VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Données vérifiées manuellement (source secondaire),False,True,False,2,,False,,False,False,2.0,STANDARD,0,True,2,2026-07-21T01:58:33.811195,candice cohen,KL03::candice cohen,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,23.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le profil présente Candice Cohen comme candidate / elle de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Étudiante en communication,Candice Cohen — profession : Étudiante en communication.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Sophie Guilloix,,,,INDETERMINE,4,0.176471,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,4,,False,,False,False,4.0,STANDARD,1,False,4,2026-07-21T01:58:33.811195,sophie guilloix,KL03::sophie guilloix,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,40.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le profil présente Sophie Guilloix comme candidate / elle de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Disc-jockey,Sophie Guilloix — profession : Disc-jockey.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Julie Bourdon,,,,INDETERMINE,5,0.235294,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,5,,False,,False,False,5.0,STANDARD,1,False,5,2026-07-21T01:58:33.811195,julie bourdon,KL03::julie bourdon,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,22.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le profil présente Julie Bourdon comme candidate / elle de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Serveuse,Julie Bourdon — profession : Intérimaire en restauration / serveuse.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Linda Delamarre,,,,INDETERMINE,6,0.294118,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,6,,False,,False,False,6.0,STANDARD,1,False,6,2026-07-21T01:58:33.811195,linda delamarre,KL03::linda delamarre,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,25.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le profil présente Linda Delamarre comme candidate / elle de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Coiffeuse,Linda Delamarre — profession : Coiffeuse.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Philippe Huquet,,,,INDETERMINE,7,0.352941,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,7,,False,,False,False,7.0,STANDARD,1,False,7,2026-07-21T01:58:33.811195,philippe huquet,KL03::philippe huquet,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,43.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le profil présente Philippe Huquet comme candidat / il de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Ancien chef d’entreprise,Philippe Huquet — profession : Ex-chef d’entreprise.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Alexandre Bérard,,,,INDETERMINE,8,0.411765,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,8,,False,,False,False,8.0,STANDARD,1,False,8,2026-07-21T01:58:33.811195,alexandre bérard,KL03::alexandre bérard,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,22.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le profil présente Alexandre Bérard comme candidat / il de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Étudiant en école de commerce,Alexandre Bérard — profession : Étudiant en école de commerce.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Sylvie Rivoal,,,,INDETERMINE,10,0.529412,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,10,,False,,False,False,10.0,STANDARD,1,False,10,2026-07-21T01:58:33.811195,sylvie rivoal,KL03::sylvie rivoal,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,26.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le profil présente Sylvie Rivoal comme candidate / elle de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Secrétaire,Sylvie Rivoal — profession : Secrétaire.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Sébastien Loew,,,,INDETERMINE,11,0.588235,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,11,,False,,False,False,11.0,STANDARD,1,False,11,2026-07-21T01:58:33.811195,sébastien loew,KL03::sébastien loew,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,29.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le profil présente Sébastien Loew comme candidat / il de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Libraire,Sébastien Loew — profession : Libraire.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Antoine Sanchez,,,,INDETERMINE,15,0.823529,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,15,,False,,False,False,15.0,STANDARD,1,False,15,2026-07-21T01:58:33.811195,antoine sanchez,KL03::antoine sanchez,,,,,,,,,,,,Données locales insuffisantes pour le score physique,,True,True,58.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le profil présente Antoine Sanchez comme candidat / il de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Gendarme retraité,Antoine Sanchez — profession : Gendarme retraité.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",UNKNOWN,INSUFFICIENT_EVIDENCE_EXTERNAL,True,EXTERNAL_RESEARCH_PARTIAL,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,,
