candidate_season_key,season_id,season_name,season_year,candidate_name,age_missing,gender_missing,profession_missing,physical_score_missing,current_age,current_gender,current_profession,current_physical_score,search_query_identity,search_query_gender,search_query_profession,search_query_physical_1,external_research_priority,external_research_request,research_status,review_status
KL03::alexandra denikine,KL03,Koh-Lanta : Bocas del Toro,2003,Alexandra Denikine,False,True,False,True,,UNKNOWN,,,"""""""Alexandra Denikine"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Alexandra Denikine"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Alexandra Denikine"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Alexandra Denikine"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Denikine (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,2003,Candice Cohen,False,True,False,True,,UNKNOWN,,,"""""""Candice Cohen"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Candice Cohen"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Candice Cohen"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Candice Cohen"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Candice Cohen (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,2003,Michel Jeandel,False,True,False,True,,UNKNOWN,,,"""""""Michel Jeandel"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Michel Jeandel"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Michel Jeandel"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Michel Jeandel"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Michel Jeandel (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,2003,Sophie Guilloix,False,True,False,True,,UNKNOWN,,,"""""""Sophie Guilloix"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Sophie Guilloix"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Sophie Guilloix"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Sophie Guilloix"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie Guilloix (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,2003,Julie Bourdon,False,True,False,True,,UNKNOWN,,,"""""""Julie Bourdon"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Julie Bourdon"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Julie Bourdon"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Julie Bourdon"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Julie Bourdon (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,2003,Linda Delamarre,False,True,False,True,,UNKNOWN,,,"""""""Linda Delamarre"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Linda Delamarre"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Linda Delamarre"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Linda Delamarre"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Linda Delamarre (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,2003,Philippe Huquet,False,True,False,True,,UNKNOWN,,,"""""""Philippe Huquet"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Philippe Huquet"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Philippe Huquet"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Philippe Huquet"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Philippe Huquet (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,2003,Alexandre Bérard,False,True,False,True,,UNKNOWN,,,"""""""Alexandre Bérard"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Alexandre Bérard"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Alexandre Bérard"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Alexandre Bérard"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandre Bérard (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,2003,Richard Lecourt,False,True,False,True,,UNKNOWN,,,"""""""Richard Lecourt"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Richard Lecourt"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Richard Lecourt"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Richard Lecourt"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Richard Lecourt (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,2003,Sylvie Rivoal,False,True,False,True,,UNKNOWN,,,"""""""Sylvie Rivoal"""" """"Koh-Lanta"""" Koh-Lanta : Bocas del Toro 2003","""""""Sylvie Rivoal"""" """"Koh-Lanta"""" candidat candidate homme femme","""""""Sylvie Rivoal"""" """"Koh-Lanta"""" 2003 portrait métier profession","""""""Sylvie Rivoal"""" """"Koh-Lanta"""" sport entrainement musclé athlétique",HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sylvie Rivoal (Koh-Lanta : Bocas del Toro, 2003)",NOT_STARTED,A_REVOIR
