season_name,candidate_name,interval_start_day,interval_end_day,presence_status,active_in_main_game,interval_reason,source_url,review_status
Koh-Lanta : Le Feu Sacré,Célia,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Emin,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Alexandre,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Élodie,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Benjamin,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Martin,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Christine,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Rudy,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Grâce,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Anne-Sophie,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Helena,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Gilles,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Clémence,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Esteban,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Laura,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Quentin,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Julie,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Nicolas,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Tania,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Feu Sacré,Frédéric,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les Chasseurs d'Immunité,Steve Grenier,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les Chasseurs d'Immunité,Alicia Bouly,1,,STANDARD,True,Présence standard,,VALIDATED
