candidate_name,season_id,age,age_status,gender,gender_status,profession,physical_score,physical_reason,profile_doc_sufficient,external_research,manual_research
Sylviane,KL33,44.0,VALIDATED,FEMALE,VALIDATED,Maître-nageur,1.0,DIRECT_PHYSICAL_PROFESSION,True,False,False
Marie,KL33,25.0,VALIDATED,FEMALE,VALIDATED,Étudiante en événementiel,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Élodie,KL33,35.0,VALIDATED,FEMALE,VALIDATED,Coach sportive,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Célia,KL26,49.0,VALIDATED,FEMALE,VALIDATED,Assistante familiale,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Emin,KL26,56.0,VALIDATED,MALE,VALIDATED,Directeur général,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Alexandre,KL26,34.0,VALIDATED,MALE,VALIDATED,Responsable logistique,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Cynthiana,KL29,39.0,VALIDATED,FEMALE,VALIDATED,Agent immobilier,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Allan,KL29,25.0,VALIDATED,MALE,VALIDATED,Docker,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Christian,KL29,63.0,VALIDATED,MALE,VALIDATED,Brocanteur,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Mélanie,KL15,30.0,VALIDATED,UNKNOWN,NOT_FOUND,nan,,,False,False,True
Mickaël,KL15,57.0,VALIDATED,UNKNOWN,NOT_FOUND,nan,,,False,False,True
Isabelle Seguin,KL03,,NOT_FOUND,UNKNOWN,NOT_FOUND,nan,,,False,False,True
Delphine Bano,KL03,,NOT_FOUND,UNKNOWN,NOT_FOUND,nan,,,False,False,True
Marie,KL01,22.0,VALIDATED,UNKNOWN,NOT_FOUND,Saint-Marcellin,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Guillaume Noël,KL01,24.0,VALIDATED,UNKNOWN,NOT_FOUND,Saint-Brieuc,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Romane,KL29,20.0,VALIDATED,FEMALE,VALIDATED,Coach sportive,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Mehdi,KL29,27.0,VALIDATED,MALE,VALIDATED,Chauffeur poids lourds,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Benoît,KL29,24.0,VALIDATED,MALE,VALIDATED,Athlète en saut à la perche,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Mohamed,KL29,30.0,VALIDATED,MALE,VALIDATED,Éducateur sportif,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
Pauline,KL29,39.0,VALIDATED,FEMALE,VALIDATED,Maître-nageuse,0.0,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,True,False,False
