season_name,candidate_name,current_physical_score,profession_raw,explicit_sport_activity,profile_documentation_sufficient,physical_zero_reason,physical_score_justification,manual_research_required,recommended_score,audit_status,audit_warning
Koh-Lanta : Les Armes secrètes,Marie,0,Étudiante en événementiel,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Étudiante en événementiel,False,0,PASS,
Koh-Lanta : Les Armes secrètes,Élodie,0,Coach sportive,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Coach sportive,False,0,PASS,
Koh-Lanta : Le Feu Sacré,Célia,0,Assistante familiale,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Assistante familiale,False,0,PASS,
Koh-Lanta : Le Feu Sacré,Emin,0,Directeur général,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Directeur général,False,0,PASS,
Koh-Lanta : Le Feu Sacré,Alexandre,0,Responsable logistique,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Responsable logistique,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Cynthiana,0,Agent immobilier,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Agent immobilier,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Allan,0,Docker,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Docker,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Christian,0,Brocanteur,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Brocanteur,False,0,PASS,
KL KL01,Marie,0,Saint-Marcellin,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Saint-Marcellin,False,0,PASS,
KL KL01,Guillaume Noël,0,Saint-Brieuc,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Saint-Brieuc,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Romane,0,Coach sportive,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Coach sportive,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Mehdi,0,Chauffeur poids lourds,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Chauffeur poids lourds,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Benoît,0,Athlète en saut à la perche,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Athlète en saut à la perche,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Mohamed,0,Éducateur sportif,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Éducateur sportif,False,0,PASS,
Koh-Lanta : La Revanche des 4 Terres,Pauline,0,Maître-nageuse,False,True,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,Profil documenté sans indicateur physique qualifiant: Maître-nageuse,False,0,PASS,
