batch_id,batch_number,season_id,season_name,season_year,candidate_season_key,candidate_name,research_task_type,research_priority_score,external_research_priority,fields_to_complete,external_research_request,search_query_1,search_query_2,search_query_3,research_status,review_status
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::alexandra denikine,Alexandra Denikine,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Denikine (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Denikine (Koh-Lanta : Bocas del Toro, 2003)","""Alexandra Denikine"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Alexandra Denikine"" Koh-Lanta  portrait métier sport","""Alexandra Denikine"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::candice cohen,Candice Cohen,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Candice Cohen (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Candice Cohen (Koh-Lanta : Bocas del Toro, 2003)","""Candice Cohen"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Candice Cohen"" Koh-Lanta  portrait métier sport","""Candice Cohen"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::michel jeandel,Michel Jeandel,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Michel Jeandel (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Michel Jeandel (Koh-Lanta : Bocas del Toro, 2003)","""Michel Jeandel"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Michel Jeandel"" Koh-Lanta  portrait métier sport","""Michel Jeandel"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::sophie guilloix,Sophie Guilloix,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie Guilloix (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie Guilloix (Koh-Lanta : Bocas del Toro, 2003)","""Sophie Guilloix"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Sophie Guilloix"" Koh-Lanta  portrait métier sport","""Sophie Guilloix"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::julie bourdon,Julie Bourdon,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Julie Bourdon (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Julie Bourdon (Koh-Lanta : Bocas del Toro, 2003)","""Julie Bourdon"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Julie Bourdon"" Koh-Lanta  portrait métier sport","""Julie Bourdon"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::linda delamarre,Linda Delamarre,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Linda Delamarre (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Linda Delamarre (Koh-Lanta : Bocas del Toro, 2003)","""Linda Delamarre"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Linda Delamarre"" Koh-Lanta  portrait métier sport","""Linda Delamarre"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::philippe huquet,Philippe Huquet,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Philippe Huquet (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Philippe Huquet (Koh-Lanta : Bocas del Toro, 2003)","""Philippe Huquet"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Philippe Huquet"" Koh-Lanta  portrait métier sport","""Philippe Huquet"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::alexandre bérard,Alexandre Bérard,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandre Bérard (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandre Bérard (Koh-Lanta : Bocas del Toro, 2003)","""Alexandre Bérard"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Alexandre Bérard"" Koh-Lanta  portrait métier sport","""Alexandre Bérard"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::richard lecourt,Richard Lecourt,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Richard Lecourt (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Richard Lecourt (Koh-Lanta : Bocas del Toro, 2003)","""Richard Lecourt"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Richard Lecourt"" Koh-Lanta  portrait métier sport","""Richard Lecourt"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_001,1,KL03,Koh-Lanta : Bocas del Toro,,KL03::sylvie rivoal,Sylvie Rivoal,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sylvie Rivoal (Koh-Lanta : Bocas del Toro, 2003)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sylvie Rivoal (Koh-Lanta : Bocas del Toro, 2003)","""Sylvie Rivoal"" ""Koh-Lanta"" Koh-Lanta : Bocas del Toro","""Sylvie Rivoal"" Koh-Lanta  portrait métier sport","""Sylvie Rivoal"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
