candidate_season_key,season_id,season_name,candidate_name,age_missing,gender_missing,profession_missing,physical_score_missing,physical_score_current,profile_documentation_sufficient,research_task_type,research_priority_score,external_research_priority,external_research_request,queue_reason_valid,query_quality_valid,duplicate_status,audit_status,audit_warning
KL03::alexandra denikine,KL03,Koh-Lanta : Bocas del Toro,Alexandra Denikine,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Denikine (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,Candice Cohen,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Candice Cohen (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,False,True,False,True,1.0,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Michel Jeandel (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sophie Guilloix (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Julie Bourdon (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Linda Delamarre (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Philippe Huquet (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandre Bérard (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,False,True,False,True,0.0,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Richard Lecourt (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sylvie Rivoal (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Sébastien Loew (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,False,True,False,True,0.0,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Valérie Dot (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,False,True,False,True,0.0,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Hélène Patry (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,False,True,False,True,1.0,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Moundir Zoughari (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Antoine Sanchez (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,False,True,False,True,1.0,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Moussa Niangane (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,False,True,False,True,,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Delphine Bano (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL03::isabelle seguin,KL03,Koh-Lanta : Bocas del Toro,Isabelle Seguin,False,True,False,True,0.0,False,MULTI_FIELD_RESEARCH,9,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Isabelle Seguin (Koh-Lanta : Bocas del Toro, 2003)",True,True,UNIQUE,PASS,
KL17::babeth delettre,KL17,Koh-Lanta : Johor,Babeth Delettre,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Babeth Delettre (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::marie-anne queniart,KL17,Koh-Lanta : Johor,Marie-Anne Queniart,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Marie-Anne Queniart (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::benoît jorion-fahy,KL17,Koh-Lanta : Johor,Benoît Jorion-Fahy,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benoît Jorion-Fahy (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::manon allender,KL17,Koh-Lanta : Johor,Manon Allender,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Manon Allender (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
KL17::loïc crespin,KL17,Koh-Lanta : Johor,Loïc Crespin,False,True,False,True,,False,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Loïc Crespin (Koh-Lanta : Johor, 2015)",True,True,UNIQUE,PASS,
