season_name,candidate_name,profession_normalized,profile_documentation_sufficient,physical_score,physical_positive_reason,physical_zero_reason,physical_score_justification,external_research_required,audit_status,audit_warning
Koh-Lanta : Bocas del Toro,Isabelle Seguin,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Delphine Bano,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Moundir Zoughari,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Pascal Salviani,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Valérie,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Jean-Marc,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Cindy,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Marie-Laure,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Raphaël,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Patricia,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Richard,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Sylvie,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Odile,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Jean-Pierre,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Christine,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Philippe,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Nicolas,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Bocas del Toro,Ludovic,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
KL KL08,Valérie,Mingao,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Céga,Paris,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Irya,La Courneuve,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Morgane,Créteil,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Jessica,Landivisiau,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Alain,Bouzigues,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Jean-Bernard,Grenoble,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Christopher,Marseille,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Christophe,Day 21,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Charlène,Nogent-sur-Marne,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Hakim,Neuville-en-Avesnois,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Régis,Strasbourg,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Carole,Nantes,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Nathalie,Pézenas,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Bertrand,La Limouzinière,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Frédéric Favier,Montfermeil,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
KL KL08,Christelle Gauzet,Perpignan,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
