season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at,candidate_name_normalized,candidate_season_key,had_temporary_elimination,first_exit_type,first_exit_model_category,first_exit_description,final_exit_type,final_exit_model_category,final_exit_description,model_exit_order,model_exit_type,model_exit_category,physical_score_previous,physical_score_justification,physical_score_sources,local_enrichment_performed,external_research_performed,age,age_source_type,age_review_status,gender_normalized,gender_local_evidence,gender_confidence,gender_review_status,profession_normalized,profession_local_evidence,profession_confidence,profession_review_status,profile_documentation_sufficient,local_evidence_fields_reviewed,physical_score_confidence,physical_score_reviewer_status,external_research_required,enrichment_status,enrichment_notes,physical_zero_reason,age_confidence,physical_positive_reason,physical_score_based_on_profession_only,manual_physical_score,physical_score,physical_score_source
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Alexandra Denikine,,,,ABANDON_MEDICAL,1,0.0,,CO_VAINQUEUR,CO_VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Données vérifiées manuellement (source secondaire),False,True,False,1,,False,,False,False,1.0,FIRST_DEFINITIVE_EXIT,1,False,1,2026-07-21T01:58:33.811195,alexandra denikine,KL03::alexandra denikine,,,,,,,,,,,0.0,"Profession commerciale documentée, sans pratique sportive intensive, musculature ou métier directement physique. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Profession commerciale documentée, sans pratique sportive intensive, musculature ou métier directement physique.",True,True,27.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le tableau de saison présente Alexandra Denikine dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Négociante en vin,Alexandra Denikine — profession : Négociante en vin.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Candice Cohen,,,,ABANDON_VOLONTAIRE,2,0.058824,,CO_VAINQUEUR,CO_VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Données vérifiées manuellement (source secondaire),False,True,False,2,,False,,False,False,2.0,FIRST_DEFINITIVE_EXIT,1,False,2,2026-07-21T01:58:33.811195,candice cohen,KL03::candice cohen,,,,,,,,,,,0.0,"Profil étudiant documenté, sans indicateur sportif ou musculaire qualifiant. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Profil étudiant documenté, sans indicateur sportif ou musculaire qualifiant.",True,True,23.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le tableau de saison présente Candice Cohen dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Étudiante en communication,Candice Cohen — profession : Étudiante en communication.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Michel Jeandel,,,,INDETERMINE,3,0.117647,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,3,,False,,False,False,3.0,STANDARD,1,False,3,2026-07-21T01:58:33.811195,michel jeandel,KL03::michel jeandel,,,,,,,,,,,1.0,"La pratique déclarée de la boxe, complétée par le VTT, constitue un indicateur d’un profil physiquement entraîné au-dessus d’un profil ordinaire.","https://survivor.fandom.com/wiki/Michel_Jeandel | Passion : VTT, boxe et nature.",True,True,41.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le profil présente Michel Jeandel comme candidat / il de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Artisan couvreur,Michel Jeandel — profession : Artisan couvreur-zingueur.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",,HIGH,STRENGTH_OR_COMBAT_SPORT,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Sophie Guilloix,,,,INDETERMINE,4,0.176471,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,4,,False,,False,False,4.0,STANDARD,1,False,4,2026-07-21T01:58:33.811195,sophie guilloix,KL03::sophie guilloix,,,,,,,,,,,0.0,"Profession documentée, sans pratique sportive intensive ni musculature explicitement signalée. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Profession documentée, sans pratique sportive intensive ni musculature explicitement signalée.",True,True,40.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le tableau de saison présente Sophie Guilloix dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Disc-jockey,Sophie Guilloix — profession : Disc-jockey.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Julie Bourdon,,,,INDETERMINE,5,0.235294,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,5,,False,,False,False,5.0,STANDARD,1,False,5,2026-07-21T01:58:33.811195,julie bourdon,KL03::julie bourdon,,,,,,,,,,,0.0,"Le métier implique de l’activité, mais aucun indicateur suffisamment fort d’un profil physique supérieur n’est documenté. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Le métier implique de l’activité, mais aucun indicateur suffisamment fort d’un profil physique supérieur n’est documenté.",True,True,22.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le tableau de saison présente Julie Bourdon dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Serveuse,Julie Bourdon — profession : Serveuse.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,NO_QUALIFYING_PHYSICAL_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Linda Delamarre,,,,INDETERMINE,6,0.294118,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,6,,False,,False,False,6.0,STANDARD,1,False,6,2026-07-21T01:58:33.811195,linda delamarre,KL03::linda delamarre,,,,,,,,,,,0.0,"Profession documentée, sans sport intensif, musculature ou profession directement physique selon les critères retenus. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Profession documentée, sans sport intensif, musculature ou profession directement physique selon les critères retenus.",True,True,25.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le tableau de saison présente Linda Delamarre dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Coiffeuse,Linda Delamarre — profession : Coiffeuse.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Philippe Huquet,,,,INDETERMINE,7,0.352941,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,7,,False,,False,False,7.0,STANDARD,1,False,7,2026-07-21T01:58:33.811195,philippe huquet,KL03::philippe huquet,,,,,,,,,,,0.0,"Profil professionnel documenté, sans indicateur physique ou sportif qualifiant. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Profil professionnel documenté, sans indicateur physique ou sportif qualifiant.",True,True,43.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le tableau de saison présente Philippe Huquet dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Ancien chef d’entreprise,Philippe Huquet — profession : Ancien chef d’entreprise.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Alexandre Bérard,,,,INDETERMINE,8,0.411765,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,8,,False,,False,False,8.0,STANDARD,1,False,8,2026-07-21T01:58:33.811195,alexandre bérard,KL03::alexandre bérard,,,,,,,,,,,0.0,"Profil étudiant documenté, sans activité sportive intensive ou musculature qualifiante. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Profil étudiant documenté, sans activité sportive intensive ou musculature qualifiante.",True,True,22.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le tableau de saison présente Alexandre Bérard dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Étudiant en école de commerce,Alexandre Bérard — profession : Étudiant en école de commerce.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Richard Lecourt,,,,INDETERMINE,9,0.470588,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,9,,False,,False,False,9.0,FIRST_EXIT_ONLY_RETURN_IGNORED,1,False,9,2026-07-21T01:58:33.811195,richard lecourt,KL03::richard lecourt,,,,,,,,,,,0.0,"Le profil documente son métier et ses centres d’intérêt sans sport intensif, compétition, musculature ni profession directement qualifiante.","https://survivor.fandom.com/wiki/Richard_Lecourt | Passion : moments entre amis, bricolage.",True,True,32.0,https://survivor.fandom.com/wiki/Koh-Lanta%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,MALE,Le profil présente Richard Lecourt comme candidat / il de la saison.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Agriculteur,Richard Lecourt — profession : Agriculteur.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,"Recherche documentaire effectuée sur des tableaux de saison structurés et des profils de candidats reproduisant, lorsqu’indiqué, les anciens portraits TF1. Les performances pendant Koh-Lanta n’ont pas servi au score.",COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
KL03,Koh-Lanta : Bocas del Toro,2003,https://en.wikipedia.org/wiki/Koh-Lanta:_Bocas_del_Toro,Sylvie Rivoal,,,,INDETERMINE,10,0.529412,,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,Données vérifiées manuellement (source secondaire),True,True,False,10,,False,,False,False,10.0,STANDARD,1,False,10,2026-07-21T01:58:33.811195,sylvie rivoal,KL03::sylvie rivoal,,,,,,,,,,,0.0,"Profession administrative documentée, sans indicateur physique ou sportif qualifiant. Le score proposé est donc 0.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro | Profession administrative documentée, sans indicateur physique ou sportif qualifiant.",True,True,26.0,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Bocas_del_Toro,EXTERNAL_RESEARCH_VALIDATED,FEMALE,Le tableau de saison présente Sylvie Rivoal dans la distribution des candidats.,HIGH,EXTERNAL_RESEARCH_VALIDATED,Secrétaire,Sylvie Rivoal — profession : Secrétaire.,HIGH,EXTERNAL_RESEARCH_VALIDATED,False,"age_raw, gender_raw, profession_raw",MANUAL_FINAL,USER_VALIDATED,True,EXTERNAL_RESEARCH_COMPLETE,Batch final de rattrapage. Les âges et professions déjà validés localement ont été conservés ; les entrées corrompues KL02/KL07/KL08 ont été remplacées par les valeurs des tableaux de saison. Les performances réalisées pendant l’émission ne sont pas utilisées comme preuve physique.,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,HIGH,,,0,0,MANUAL_USER_VALIDATION
