season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,same_day_exit_group,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,had_temporary_elimination,returned_to_game,first_exit_order,first_exit_type,first_exit_model_category,first_exit_description,final_exit_type,final_exit_model_category,final_exit_description,model_exit_order,model_exit_type,model_exit_category,physical_score,physical_score_justification,physical_score_sources,source_row_number,scraped_at,gender_normalized,gender_source_url,gender_source_excerpt,gender_confidence,profession_normalized,profession_category,profession_source_url,profession_source_excerpt,profession_confidence,departure_source_url,departure_source_excerpt,departure_confidence,enrichment_status,enrichment_notes,enriched_at
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Charlie Vincent-Mussard,aventurière / jeune femme,28,Restauratrice de meubles,Left Competition Day 3,1,0.0,Day 3,Day 3,Left Competition Day 3,ABANDON_VOLONTAIRE,SANTE_ABANDON,AUTRE_SORTIE,Left Competition est ambigu : recherche complémentaire nécessaire (abandon volontaire ou médical non précisé),False,True,False,False,1,ABANDON_VOLONTAIRE,AUTRE_SORTIE,Left Competition Day 3,ABANDON_VOLONTAIRE,AUTRE_SORTIE,Left Competition Day 3,1,ABANDON_VOLONTAIRE,AUTRE_SORTIE,,,,1,2026-07-19T16:27:48.672159+00:00,FEMALE,https://kohlanta.fandom.com/fr/wiki/Charlie_Vincent-Mussard,Charlie Vincent-Mussard est une aventurière de Koh Lanta : Thaïlande. [...] la jeune femme s'épanouit aujourd'hui dans son métier.,MEDIUM,Restauratrice de meubles,MANUEL_TECHNIQUE,https://survivor.fandom.com/wiki/Charlie_Vincent-Mussard,Métier : Restauratrice de meubles.,MEDIUM,https://kohlanta.fandom.com/fr/wiki/Charlie_Vincent-Mussard,La jeune femme n'avait donc tout simplement pas le choix : elle a quitté le jeu bien que les médecins la déclaraient apte à continuer.,MEDIUM,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1) | Sortie volontaire dans un contexte lié à un traitement médical confisqué ; ne pas assimiler à une évacuation décidée par le médecin.,2026-07-19T20:24:32.295281+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Laurence Corbellotti,aventurière,37,Animatrice et danseuse,1st Voted Out Day 3,2,0.05,Day 3,Day 3,1st Voted Out Day 3,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,2,CONSEIL,DECISION_AVENTURIERS,1st Voted Out Day 3,CONSEIL,DECISION_AVENTURIERS,1st Voted Out Day 3,2,CONSEIL,DECISION_AVENTURIERS,,,,2,2026-07-19T16:27:48.672159+00:00,FEMALE,https://kohlanta.fandom.com/fr/wiki/Laurence_Corbellotti,Laurence Corbellotti est une aventurière de Koh Lanta : Thaïlande.,MEDIUM,Animatrice et danseuse,ART_MEDIA_COMMUNICATION,https://www.tf1.fr/fr-lu/tf1/koh-lanta/news/koh-lanta-thailande-decouvrez-portrait-de-laurence-5638890.html,"Agée de 37 ans, Laurence vient des Bouches-du-Rhône où elle travaille comme animatrice et danseuse.",HIGH,,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Conflit résolu grâce au portrait officiel TF1 publié avant la diffusion de la saison. La profession retenue pour 2016 est animatrice et danseuse. Les valeurs secondaires 'nounou pour chien' et 'organizer' ne sont pas retenues dans le dataset principal.,2026-07-19T20:24:32.295722+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Marius Torterat,jeune homme,21,Étudiant en design automobile,Left Competition Day 6,3,0.1,Day 6,Day 6,Left Competition Day 6,ABANDON_VOLONTAIRE,SANTE_ABANDON,AUTRE_SORTIE,Left Competition est ambigu : recherche complémentaire nécessaire (abandon volontaire ou médical non précisé),False,True,False,False,3,ABANDON_VOLONTAIRE,AUTRE_SORTIE,Left Competition Day 6,ABANDON_VOLONTAIRE,AUTRE_SORTIE,Left Competition Day 6,3,ABANDON_VOLONTAIRE,AUTRE_SORTIE,,,,3,2026-07-19T16:27:48.672159+00:00,MALE,https://www.estrepublicain.fr/culture-loisirs/2020/06/04/koh-lanta-ils-sont-de-lorraine-vous-les-avez-vus-a-la-tele,"Né en 1994, le jeune homme a passé un bac scientifique à Épinal.",HIGH,Étudiant en design automobile,ETUDIANT,https://www.estrepublicain.fr/culture-loisirs/2020/06/04/koh-lanta-ils-sont-de-lorraine-vous-les-avez-vus-a-la-tele,Il étudie le design automobile à Lille.,HIGH,https://www.estrepublicain.fr/culture-loisirs/2020/06/04/koh-lanta-ils-sont-de-lorraine-vous-les-avez-vus-a-la-tele,"Après quelques jours d'aventure, il abandonne [...] il déclare que l'aventure ne lui procurait aucun plaisir et, plus tard, se dira oppressé par les caméras.",HIGH,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1),2026-07-19T20:24:32.296008+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Céline Parat-Yeghiayan,Femme,44,Formatrice,2nd Voted Out Day 6,4,0.15,Day 6,Day 6,2nd Voted Out Day 6,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,4,CONSEIL,DECISION_AVENTURIERS,2nd Voted Out Day 6,CONSEIL,DECISION_AVENTURIERS,2nd Voted Out Day 6,4,CONSEIL,DECISION_AVENTURIERS,,,,4,2026-07-19T16:27:48.672159+00:00,FEMALE,https://survivor.fandom.com/wiki/C%C3%A9line_Parat-Yeghiayan,"Femme de caractère et exigeante, Céline sait ce qu'elle veut.",MEDIUM,Formatrice,EDUCATION_RECHERCHE,https://survivor.fandom.com/wiki/C%C3%A9line_Parat-Yeghiayan,Métier : Formatrice.,MEDIUM,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Ancien portrait indiqué comme provenant de TF1, mais actuellement hébergé sur une base secondaire.",2026-07-19T20:24:32.296291+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Huw Francis,jeune homme / Gallois,38,Entrepreneur dans l'événement sportif,3rd Voted Out Day 9,5,0.2,Day 9,,3rd Voted Out Day 9,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,5,CONSEIL,DECISION_AVENTURIERS,3rd Voted Out Day 9,CONSEIL,DECISION_AVENTURIERS,3rd Voted Out Day 9,5,CONSEIL,DECISION_AVENTURIERS,,,,5,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1.fr/fr-sn/tf1/koh-lanta/news/koh-lanta-thailande-focus-5-moments-forts-d-hier-soir-8795762.html,Un départ que le jeune homme n'a pas vu venir. [...] ce Gallois d'origine.,HIGH,Entrepreneur dans l'événementiel sportif,COMMERCE_GESTION,https://www.tf1.fr/fr-sn/tf1/koh-lanta/news/koh-lanta-thailande-focus-5-moments-forts-d-hier-soir-8795762.html,Cet entrepreneur dans événement sportif n'a toujours pas digéré cette trahison.,HIGH,,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession confirmée par une source officielle TF1 et cohérente avec son parcours professionnel antérieur.,2026-07-19T20:24:32.296612+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Carole Poncelet,candidate / elle,51,Agente territoriale et maître-nageuse ; présentée comme escrimeuse,4th Voted Out Day 12,6,0.25,Day 12,,4th Voted Out Day 12,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,6,CONSEIL,DECISION_AVENTURIERS,4th Voted Out Day 12,CONSEIL,DECISION_AVENTURIERS,4th Voted Out Day 12,6,CONSEIL,DECISION_AVENTURIERS,,,,6,2026-07-19T16:27:48.672159+00:00,FEMALE,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,"Carole, candidate de Koh-Lanta : Thaïlande.",HIGH,Maître-nageuse et agente territoriale,SPORT_SECURITE,https://www.rtl.fr/culture/medias-people/koh-lanta-une-fonctionnaire-revoquee-pour-y-avoir-participe-en-plein-arret-maladie-7799363467,Carole Poncelet était agent territorial titulaire et maître-nageur à Clermont-Ferrand.,HIGH,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Le portrait promotionnel TF1 la présentait comme escrimeuse. Des sources journalistiques fiables précisent que son emploi était agente territoriale et maître-nageuse. Conserver la mention d'escrimeuse comme activité sportive, pas comme unique profession.",2026-07-19T20:24:32.296944+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,"Laurence ""Lolo"" Facione",elle / Laurence,45,Maître-nageur,5th Voted Out Day 15,7,0.3,Day 15,,5th Voted Out Day 15,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,7,CONSEIL,DECISION_AVENTURIERS,5th Voted Out Day 15,CONSEIL,DECISION_AVENTURIERS,5th Voted Out Day 15,7,CONSEIL,DECISION_AVENTURIERS,,,,7,2026-07-19T16:27:48.672159+00:00,FEMALE,https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Lolo, 45 ans, est la première à rejoindre l'île. Elle est maître-nageur.",HIGH,Maître-nageuse,SPORT_SECURITE,https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Lolo, 45 ans [...] est maître-nageur.",HIGH,,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession indiquée par une source TF1 contemporaine de la diffusion.,2026-07-19T20:24:32.297223+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Amir Doukhan,candidat / il,46,Directeur commercial,6th Voted Out Day 17,8,0.35,Day 17,,6th Voted Out Day 17,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,8,CONSEIL,DECISION_AVENTURIERS,6th Voted Out Day 17,CONSEIL,DECISION_AVENTURIERS,6th Voted Out Day 17,8,CONSEIL,DECISION_AVENTURIERS,,,,8,2026-07-19T16:27:48.672159+00:00,MALE,https://kohlanta.fandom.com/fr/wiki/Amir_Doukhan,Amir Doukhan est un candidat de Koh-Lanta : Thaïlande.,MEDIUM,Directeur commercial,COMMERCE_GESTION,https://kohlanta.fandom.com/fr/wiki/Amir_Doukhan,Profession : Directeur commercial.,MEDIUM,,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Informations issues d'une base secondaire spécialisée. Confiance moyenne en attendant éventuellement un portrait TF1 archivé.,2026-07-19T20:24:32.297511+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Cassandre Girard,aventurière / elle,22,Diplômée en tourisme,Lost Duel 1st jury member Day 19,9,0.4,Day 19,,Lost Duel 1st jury member Day 19,AMBASSADEURS_TIRAGE_AU_SORT,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Lost Duel explicitement indiqué dans la source,False,True,False,False,9,AMBASSADEURS_TIRAGE_AU_SORT,DECISION_AVENTURIERS,Lost Duel 1st jury member Day 19,AMBASSADEURS_TIRAGE_AU_SORT,DECISION_AVENTURIERS,Lost Duel 1st jury member Day 19,9,AMBASSADEURS_TIRAGE_AU_SORT,DECISION_AVENTURIERS,,,,9,2026-07-19T16:27:48.672159+00:00,FEMALE,https://kohlanta.fandom.com/fr/wiki/Cassandre_Girard,Cassandre Girard est une aventurière de Koh-Lanta : Thaïlande.,MEDIUM,Diplômée en tourisme,AUTRE,https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Cassandre, diplômée en tourisme, mannequin à ses heures perdues.",HIGH,https://www.tf1info.fr/culture/koh-lanta-15-episode-7-cassandre-et-romain-sont-elimines-1507825.html,Les deux ambassadeurs doivent désigner un aventurier ou tirer au sort et risquer leur propre place. Cassandre tire ensuite la boule noire et est éliminée.,HIGH,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1) | La source officielle indique une qualification plutôt qu'un emploi précis. Ne pas inventer de métier. Conserver 'diplômée en tourisme' comme formulation brute et normalisée. | Sortie auditée et corrigée : élimination aux ambassadeurs par tirage de la boule noire. Il ne s'agit pas d'un duel ni d'une élimination liée à une épreuve.,2026-07-19T20:24:32.297786+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Romain Palazzetti,jeune homme / candidat,28,Entrepreneur en domotique,7th Voted Out 2nd jury member Day 20,10,0.45,Day 20,,7th Voted Out 2nd jury member Day 20,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,10,CONSEIL,DECISION_AVENTURIERS,7th Voted Out 2nd jury member Day 20,CONSEIL,DECISION_AVENTURIERS,7th Voted Out 2nd jury member Day 20,10,CONSEIL,DECISION_AVENTURIERS,,,,10,2026-07-19T16:27:48.672159+00:00,MALE,https://www.tf1info.fr/culture/koh-lanta-thailande-romain-elimine-regrette-davoir-neglige-les-relations-humaines-1507905.html,Le jeune homme quitte l'aventure après le premier conseil de la tribu réunifiée.,HIGH,Entrepreneur en domotique,COMMERCE_GESTION,https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Romain, judoka et entrepreneur en domotique.",HIGH,,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession indiquée par une source TF1 contemporaine de la saison. La mention de judoka doit être conservée pour la future recherche sportive, mais ne pas calculer le score physique maintenant.",2026-07-19T20:24:32.298053+00:00
