candidate_name,season_name,age_raw,gender_normalized,profession_raw,profession_normalized,physical_score,physical_score_confidence,physical_score_reviewer_status,physical_score_based_on_profession_only,physical_positive_reason,physical_zero_reason,physical_evidence_strength,physical_evidence_count,documented_muscular_build,muscularity_evidence_text,muscularity_source_url,muscularity_source_quality,muscularity_evidence_period,muscularity_reviewer_status,manual_evidence_source_url,manual_evidence_source_title,manual_evidence_exact_excerpt,manual_evidence_added_by,manual_source_complete,physical_freeze_ready,physical_score_definition_version,physical_score_source_status
Charlie Vincent-Mussard,Koh-Lanta : Thaïlande,28,FEMALE,Restauratrice de meubles,Restauratrice de meubles,0,MEDIUM,VALIDATED,False,,NO_QUALIFYING_PHYSICAL_INDICATOR,INSUFFICIENT,0,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Laurence Corbellotti,Koh-Lanta : Thaïlande,37,FEMALE,Animatrice et danseuse,Animatrice et danseuse,0,MEDIUM,VALIDATED,False,,NO_QUALIFYING_PHYSICAL_INDICATOR,INSUFFICIENT,1,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Marius Torterat,Koh-Lanta : Thaïlande,21,MALE,Étudiant en design automobile,Étudiant en design automobile,0,MEDIUM,VALIDATED,False,,NO_QUALIFYING_PHYSICAL_INDICATOR,INSUFFICIENT,0,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Céline Parat-Yeghiayan,Koh-Lanta : Thaïlande,44,FEMALE,Formatrice,Formatrice,1,HIGH,VALIDATED,False,ENDURANCE_TRAINING,,STRONG,3,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Huw Francis,Koh-Lanta : Thaïlande,38,MALE,Entrepreneur dans l'événement sportif,Entrepreneur dans l'événementiel sportif,1,HIGH,VALIDATED,True,MULTIPLE_QUALIFYING_INDICATORS,,STRONG,3,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Carole Poncelet,Koh-Lanta : Thaïlande,51,FEMALE,Agente territoriale et maître-nageuse ; présentée comme escrimeuse,Maître-nageuse et agente territoriale,1,HIGH,VALIDATED,True,HIGH_PHYSICAL_TRAINING,,STRONG,3,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
"Laurence ""Lolo"" Facione",Koh-Lanta : Thaïlande,45,FEMALE,Maître-nageur,Maître-nageuse,1,HIGH,VALIDATED,True,DIRECT_PHYSICAL_PROFESSION,,STRONG,1,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Amir Doukhan,Koh-Lanta : Thaïlande,46,MALE,Directeur commercial,Directeur commercial,0,MEDIUM,VALIDATED,False,,NO_QUALIFYING_PHYSICAL_INDICATOR,INSUFFICIENT,0,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Cassandre Girard,Koh-Lanta : Thaïlande,22,FEMALE,Diplômée en tourisme,Diplômée en tourisme,0,MEDIUM,VALIDATED,False,,NO_QUALIFYING_PHYSICAL_INDICATOR,INSUFFICIENT,0,False,,,,,,,,,,True,True,MUSCULAR_ATHLETIC_BINARY_V2,
Romain Palazzetti,Koh-Lanta : Thaïlande,28,MALE,Entrepreneur en domotique,Entrepreneur en domotique,1,MEDIUM,VALIDATED,False,MUSCULAR_BUILD,,STRONG,2,True,Évaluation manuelle validée par l'utilisateur : gabarit musclé.,https://kohlanta.fandom.com/fr/wiki/Romain_Palazzetti,USER_MANUAL_RESEARCH,CONTEMPORARY_TO_SEASON,VALIDATED,https://kohlanta.fandom.com/fr/wiki/Romain_Palazzetti,Romain Palazzetti | Wiki Koh Lanta | Fandom,Classification manuelle de l'utilisateur : Romain présente un gabarit musclé.,USER,True,True,MUSCULAR_ATHLETIC_BINARY_V2,USER_VALIDATED_MANUAL_CLASSIFICATION
