candidate_name,season_name,age,gender,physical_score,departure_type_normalized,departure_category,departure_model_category,departure_description_raw,departure_classification_reason,all_cause_exit_event,censored_at_end,analysis_exit_order,analysis_exit_order_normalized,physical_score_confidence,physical_score_reviewer_status,physical_positive_reason,physical_zero_reason,documented_muscular_build,final_exit_order,departure_day_raw
Charlie Vincent-Mussard,Koh-Lanta : Thaïlande,28,FEMALE,0,ABANDON_VOLONTAIRE,SANTE_ABANDON,AUTRE_SORTIE,Left Competition Day 3,Left Competition est ambigu : recherche complémentaire nécessaire (abandon volontaire ou médical non précisé),1,False,1,0.0,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,1,Day 3
Laurence Corbellotti,Koh-Lanta : Thaïlande,37,FEMALE,0,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,1st Voted Out Day 3,Voted Out explicitement indiqué dans la source,1,False,2,0.05,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,2,Day 3
Marius Torterat,Koh-Lanta : Thaïlande,21,MALE,0,ABANDON_VOLONTAIRE,SANTE_ABANDON,AUTRE_SORTIE,Left Competition Day 6,Left Competition est ambigu : recherche complémentaire nécessaire (abandon volontaire ou médical non précisé),1,False,3,0.1,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,3,Day 6
Céline Parat-Yeghiayan,Koh-Lanta : Thaïlande,44,FEMALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,2nd Voted Out Day 6,Voted Out explicitement indiqué dans la source,1,False,4,0.15,HIGH,VALIDATED,ENDURANCE_TRAINING,,False,4,Day 6
Huw Francis,Koh-Lanta : Thaïlande,38,MALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,3rd Voted Out Day 9,Voted Out explicitement indiqué dans la source,1,False,5,0.2,HIGH,VALIDATED,MULTIPLE_QUALIFYING_INDICATORS,,False,5,Day 9
Carole Poncelet,Koh-Lanta : Thaïlande,51,FEMALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,4th Voted Out Day 12,Voted Out explicitement indiqué dans la source,1,False,6,0.25,HIGH,VALIDATED,HIGH_PHYSICAL_TRAINING,,False,6,Day 12
"Laurence ""Lolo"" Facione",Koh-Lanta : Thaïlande,45,FEMALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,5th Voted Out Day 15,Voted Out explicitement indiqué dans la source,1,False,7,0.3,HIGH,VALIDATED,DIRECT_PHYSICAL_PROFESSION,,False,7,Day 15
Amir Doukhan,Koh-Lanta : Thaïlande,46,MALE,0,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,6th Voted Out Day 17,Voted Out explicitement indiqué dans la source,1,False,8,0.35,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,8,Day 17
Cassandre Girard,Koh-Lanta : Thaïlande,22,FEMALE,0,AMBASSADEURS_TIRAGE_AU_SORT,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Lost Duel 1st jury member Day 19,Lost Duel explicitement indiqué dans la source,1,False,9,0.4,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,9,Day 19
Romain Palazzetti,Koh-Lanta : Thaïlande,28,MALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,7th Voted Out 2nd jury member Day 20,Voted Out explicitement indiqué dans la source,1,False,10,0.45,MEDIUM,VALIDATED,MUSCULAR_BUILD,,True,10,Day 20
Julien Castro,Koh-Lanta : Thaïlande,29,MALE,0,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,8th Voted Out 3rd jury member Day 23,Voted Out explicitement indiqué dans la source,1,False,11,0.5,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,11,Day 23
Laureen Hugel,Koh-Lanta : Thaïlande,26,FEMALE,0,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,9th Voted Out 4th jury member Day 26,Voted Out explicitement indiqué dans la source,1,False,12,0.55,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,12,Day 26
Steve Best,Koh-Lanta : Thaïlande,33,MALE,0,DESTINS_LIES_SUITE_CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,10th Voted Out 5th jury member Day 26,Voted Out explicitement indiqué dans la source,1,False,13,0.6,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,13,Day 26
Carine Cazals,Koh-Lanta : Thaïlande,34,FEMALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,11th Voted Out 6th jury member Day 29,Voted Out explicitement indiqué dans la source,1,False,14,0.65,HIGH,VALIDATED,HIGH_PHYSICAL_TRAINING,,False,14,Day 29
Karima Neggaz,Koh-Lanta : Thaïlande,26,FEMALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,12th Voted Out 7th jury member Day 32,Voted Out explicitement indiqué dans la source,1,False,15,0.7,MEDIUM,VALIDATED,DIRECT_PHYSICAL_PROFESSION,,False,15,Day 32
Nicolas Rouyé,Koh-Lanta : Thaïlande,32,MALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,13th Voted Out 8th jury member Day 34,Voted Out explicitement indiqué dans la source,1,False,16,0.75,HIGH,VALIDATED,MUSCULAR_BUILD,,True,16,Day 34
Alain Chrisostome,Koh-Lanta : Thaïlande,56,MALE,1,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,14th Voted Out 9th jury member Day 37,Voted Out explicitement indiqué dans la source,1,False,17,0.8,MEDIUM,VALIDATED,STRENGTH_OR_COMBAT_SPORT,,False,17,Day 37
Cécilia Siharaj,Koh-Lanta : Thaïlande,28,FEMALE,1,COURSE_ORIENTATION,EPREUVE,EPREUVE,Lost Challenge 10th jury member Day 38,Lost Challenge explicitement indiqué dans la source,1,False,18,0.85,MEDIUM,A_REVOIR,MULTIPLE_QUALIFYING_INDICATORS,,False,18,Day 38
Gabriel Gubbels,Koh-Lanta : Thaïlande,40,MALE,1,POTEAUX,EPREUVE,EPREUVE,15th Voted Out 11th jury member Day 39,Voted Out explicitement indiqué dans la source,1,False,19,0.9,HIGH,VALIDATED,DIRECT_PHYSICAL_PROFESSION,,False,19,Day 39
Pascal Salviani,Koh-Lanta : Thaïlande,48,MALE,0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 40,Runner-up explicitement indiqué dans la source,1,False,20,0.95,MEDIUM,VALIDATED,,NO_QUALIFYING_PHYSICAL_INDICATOR,False,20,Day 40
Wendy Gervois,Koh-Lanta : Thaïlande,26,FEMALE,1,VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Sole Survivor Day 40,Sole Survivor explicitement indiqué dans la source,0,True,21,1.0,HIGH,VALIDATED,STRENGTH_OR_COMBAT_SPORT,,False,21,Day 40
