season_name,candidate_name,final_exit_order,departure_description_raw,departure_type_normalized,departure_model_category,all_cause_exit_event,censored_at_end,returned_after_medical_replacement,needs_departure_enrichment,audit_status,audit_warning
Koh-Lanta : L'Île au trésor,Myriam Zenasni,1,1st Voted Out Day 3,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Amandine Schmitt,2,2nd Voted Out Day 6,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Sophie Le Nestic Sabattier,3,3rd Voted Out Day 9,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Sandrine Bouzekri,4,4th Voted Out Day 12,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Laurent Mischkind,5,5th Voted Out Day 15,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Jean-Luc Duboscq,6,6th Voted Out Day 18,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Jérôme Merlier,7,Lost Duel Day 20,EPREUVE_ELIMINATOIRE,EPREUVE,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,"Laurent ""Lau"" Émilien",8,7th Voted Out 1st jury member Day 21,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Béryl Libault de la Chevasnerie,9,8th Voted Out 2nd jury member Day 24,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Alexandra Pharisien,10,9th Voted Out 3rd jury member Day 27,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Yannick Delalleau,11,10th Voted Out Evacuated from jury Day 30 [ a ],CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Julie Navarro-Camilleri,12,Lost Challenge 4th jury member Day 32,EPREUVE_ELIMINATOIRE,EPREUVE,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Jérémy Raffin,13,11th Voted Out 5th jury member Day 33,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Stéphane Cipolla,14,12th Voted Out 6th jury member Day 36,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Ludivine Wiart,15,13th Voted Out 7th jury member Day 39,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Candice Boisson,16,Lost Challenge 8th jury member Day 40,EPREUVE_ELIMINATOIRE,EPREUVE,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity (same-day exit)
Koh-Lanta : L'Île au trésor,Bruno Troester,17,Lost Challenge 9th jury member Day 40,EPREUVE_ELIMINATOIRE,EPREUVE,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity (same-day exit)
Koh-Lanta : L'Île au trésor,Freddy Bolzer,18,14th Voted Out 10th jury member Day 41,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : L'Île au trésor,Jesta Hillmann,19,Runner-up Day 42,FINALISTE,AUTRE_SORTIE,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity (same-day exit)
Koh-Lanta : L'Île au trésor,Benoît Assadi,20,Sole Survivor Day 42,VAINQUEUR,AUTRE_SORTIE,0,True,False,False,PASS_WITH_WARNING,Exit order ambiguity (same-day exit)
Koh-Lanta : Les Armes secrètes,Sylviane,1,"Éliminée [ 17 ] , [ 18 ] , [ 19 ] , [ 20 ]",INDETERMINE,AUTRE_SORTIE,1,False,False,True,PASS_WITH_WARNING,INDETERMINE departure mechanism
Koh-Lanta : Les Armes secrètes,Marie,2,"Éliminée [ 21 ] , [ 22 ] , [ 23 ] , [ 24 ] , [ 25 ]",INDETERMINE,AUTRE_SORTIE,1,False,False,True,PASS_WITH_WARNING,INDETERMINE departure mechanism
