season_name,candidate_name,interval_start_day,interval_end_day,presence_status,active_in_main_game,interval_reason,source_url,review_status
Koh-Lanta : Les Armes secrètes,Sylviane,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Marie,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Élodie,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Candice,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Gabin,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Aurélien,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Frédéric,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Hervé,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Mathieu,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Shanice,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Myriam,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Vincent,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Laëtitia,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Thomas,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Flavio,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Magali,1,13.0,PRESENT,True,Active depuis le début,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Magali,14,15.0,ABSENT,False,"Éliminée au conseil surprise (jour 13), rappelée après évacuation médicale de Gabin (jour 15)",https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Magali,16,33.0,PRESENT,True,Réintégrée après abandon médical de Gabin,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Magali,34,,ELIMINATED,False,"Éliminée au conseil (seconde élimination, jour 33)",https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Arnaud,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Laure,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Jonathan,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Lucie,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
Koh-Lanta : Les Armes secrètes,Maxine,1,,STANDARD,True,Présence standard sans interruption,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secrètes,VALIDATED
