season_id,candidate_name,final_exit_order,first_exit_order,analysis_exit_order,analysis_exit_rule,departure_type_normalized,departure_model_category,departure_mechanism_known,needs_departure_enrichment,returned_to_game,all_cause_exit_event,censored_at_end,departure_review_status,departure_source_url
KL31,Myriam Zenasni,1,1,1,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Amandine Schmitt,2,2,2,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Sophie Le Nestic Sabattier,3,3,3,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Sandrine Bouzekri,4,4,4,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Laurent Mischkind,5,5,5,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Jean-Luc Duboscq,6,6,6,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Jérôme Merlier,7,7,7,STANDARD,EPREUVE_ELIMINATOIRE,EPREUVE,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,"Laurent ""Lau"" Émilien",8,8,8,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Béryl Libault de la Chevasnerie,9,9,9,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Alexandra Pharisien,10,10,10,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Yannick Delalleau,11,11,11,STANDARD,CONSEIL,DECISION_AVENTURIERS,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
KL31,Julie Navarro-Camilleri,12,12,12,STANDARD,EPREUVE_ELIMINATOIRE,EPREUVE,True,False,False,1,False,VALIDATED,https://en.wikipedia.org/wiki/Koh-Lanta:_L%27%C3%8Ele_au_Tr%C3%A9sor
