group_value,final_departure_cause,events,variable
0,AMBASSADEURS,2,gender_male
0,DESTINS_LIES,6,gender_male
0,ELIMINATION_CHALLENGE,9,gender_male
0,FINALE_ORIENTATION,10,gender_male
0,FINALE_POTEAUX,4,gender_male
0,JURY_FINAL_DECISION,7,gender_male
0,MEDICAL,8,gender_male
0,VOLUNTARY,6,gender_male
0,VOTE_CONSEIL,108,gender_male
1,AMBASSADEURS,9,gender_male
1,DESTINS_LIES,1,gender_male
1,ELIMINATION_CHALLENGE,7,gender_male
1,FINALE_ORIENTATION,11,gender_male
1,FINALE_POTEAUX,12,gender_male
1,JURY_FINAL_DECISION,8,gender_male
1,MEDICAL,15,gender_male
1,VOLUNTARY,7,gender_male
1,VOTE_CONSEIL,90,gender_male
0.0,AMBASSADEURS,10,physical_score
0.0,DESTINS_LIES,5,physical_score
0.0,ELIMINATION_CHALLENGE,14,physical_score
0.0,FINALE_ORIENTATION,14,physical_score
0.0,FINALE_POTEAUX,11,physical_score
0.0,JURY_FINAL_DECISION,13,physical_score
0.0,MEDICAL,20,physical_score
0.0,VOLUNTARY,11,physical_score
0.0,VOTE_CONSEIL,166,physical_score
1.0,AMBASSADEURS,1,physical_score
1.0,DESTINS_LIES,2,physical_score
1.0,ELIMINATION_CHALLENGE,2,physical_score
1.0,FINALE_ORIENTATION,7,physical_score
1.0,FINALE_POTEAUX,5,physical_score
1.0,JURY_FINAL_DECISION,2,physical_score
1.0,MEDICAL,3,physical_score
1.0,VOLUNTARY,2,physical_score
1.0,VOTE_CONSEIL,32,physical_score
18-24,AMBASSADEURS,4,age_band
18-24,DESTINS_LIES,1,age_band
18-24,ELIMINATION_CHALLENGE,2,age_band
18-24,FINALE_ORIENTATION,2,age_band
18-24,FINALE_POTEAUX,2,age_band
18-24,JURY_FINAL_DECISION,3,age_band
18-24,MEDICAL,5,age_band
18-24,VOLUNTARY,5,age_band
18-24,VOTE_CONSEIL,37,age_band
25-34,AMBASSADEURS,3,age_band
25-34,DESTINS_LIES,4,age_band
25-34,ELIMINATION_CHALLENGE,7,age_band
25-34,FINALE_ORIENTATION,9,age_band
25-34,FINALE_POTEAUX,5,age_band
25-34,JURY_FINAL_DECISION,7,age_band
25-34,MEDICAL,7,age_band
25-34,VOLUNTARY,3,age_band
25-34,VOTE_CONSEIL,77,age_band
35-44,AMBASSADEURS,2,age_band
35-44,DESTINS_LIES,2,age_band
35-44,ELIMINATION_CHALLENGE,5,age_band
35-44,FINALE_ORIENTATION,4,age_band
35-44,FINALE_POTEAUX,8,age_band
35-44,JURY_FINAL_DECISION,1,age_band
35-44,MEDICAL,7,age_band
35-44,VOLUNTARY,4,age_band
35-44,VOTE_CONSEIL,54,age_band
45-54,AMBASSADEURS,2,age_band
45-54,DESTINS_LIES,0,age_band
45-54,ELIMINATION_CHALLENGE,1,age_band
45-54,FINALE_ORIENTATION,2,age_band
45-54,FINALE_POTEAUX,1,age_band
45-54,JURY_FINAL_DECISION,4,age_band
45-54,MEDICAL,3,age_band
45-54,VOLUNTARY,1,age_band
45-54,VOTE_CONSEIL,21,age_band
55+,AMBASSADEURS,0,age_band
55+,DESTINS_LIES,0,age_band
55+,ELIMINATION_CHALLENGE,1,age_band
55+,FINALE_ORIENTATION,4,age_band
55+,FINALE_POTEAUX,0,age_band
55+,JURY_FINAL_DECISION,0,age_band
55+,MEDICAL,1,age_band
55+,VOLUNTARY,0,age_band
55+,VOTE_CONSEIL,9,age_band
