season_id,season_name,AMBASSADEURS,DESTINS_LIES,ELIMINATION_CHALLENGE,FINALE_ORIENTATION,FINALE_POTEAUX,JURY_FINAL_DECISION,MEDICAL,VOLUNTARY,VOTE_CONSEIL
KL01,KL KL01,0,0,2,0,0,1,0,0,12
KL02,KL KL02,0,0,1,0,1,1,1,0,11
KL03,Koh-Lanta : Bocas del Toro,0,0,0,1,1,0,4,1,9
KL07,KL KL07,0,0,0,1,1,0,0,2,10
KL08,KL KL08,0,0,0,1,1,1,2,1,10
KL13,Koh-Lanta : Raja Ampat,1,0,0,1,1,1,1,2,12
KL15,Koh-Lanta : Malaisie,1,1,0,2,1,1,2,0,11
KL17,Koh-Lanta : Johor,1,0,0,1,1,1,3,1,11
KL18,Koh-Lanta : Thaïlande,1,0,0,1,1,1,0,2,14
KL22,Koh-Lanta : La Guerre des Chefs,1,1,1,2,1,1,2,0,11
KL25,Koh-Lanta : Le Totem Maudit,1,1,2,1,1,1,1,1,13
KL26,Koh-Lanta : Le Feu Sacré,1,1,1,1,1,1,1,2,10
KL27,Koh-Lanta : Les Chasseurs d'Immunité,1,1,2,2,1,1,1,0,12
KL29,Koh-Lanta : La Revanche des 4 Terres,1,0,1,2,1,1,2,1,14
KL31,Koh-Lanta : L'Île au trésor,1,0,2,1,1,1,0,0,13
KL32,Koh-Lanta : Les 4 Terres,0,1,2,2,1,1,2,0,14
KL33,Koh-Lanta : Les Armes secrètes,1,1,2,2,1,1,1,0,11
