mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Sexe,Femme,1159,114,0.09836065573770492,0.08251935894242865,0.11685568921546322
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Sexe,Homme,1277,91,0.07126076742364917,0.05839910384245061,0.0866942472791869
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Profil physique,Profil non physique,1967,171,0.08693441789527198,0.0752747818315922,0.1002043637273406
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Profil physique,Profil physique,469,34,0.07249466950959488,0.05233854309807827,0.09959732718067894
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Âge,18–25 ans,486,50,0.102880658436214,0.0789112101954662,0.13307895152211763
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Âge,26–33 ans,859,59,0.06868451688009314,0.05361998582720314,0.08758971013553207
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Âge,34–41 ans,677,59,0.08714918759231906,0.06816422763863378,0.11079310986835755
VOTE_CONSEIL,Conseil,RISK_SET_ROBUST,Âge,42 ans et plus,414,37,0.0893719806763285,0.06553392826023086,0.12076059100257111
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Sexe,Femme,170,8,0.047058823529411764,0.02403524037275199,0.09010084673183055
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Sexe,Homme,190,15,0.07894736842105263,0.048424060448929086,0.12615972342408888
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Profil physique,Profil non physique,296,20,0.06756756756756757,0.04416167512400158,0.10205419352130982
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Profil physique,Profil physique,64,3,0.046875,0.016068725432185196,0.12899860788542522
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Âge,18–25 ans,76,6,0.07894736842105263,0.03668350552145426,0.1617293519363121
MEDICAL,Blessure / médical,RISK_SET_ROBUST,Âge,26–33 ans,133,6,0.045112781954887216,0.02083692467409632,0.09492904123100854
