candidate_season_key,season_id,season_name,candidate_name,normalized_rank,normalized_exit_rank,at_risk,exits_at_rank,exit_cause_at_rank,gender_male,gender_label,physical_score,physical_label,age_band,age_label
KL03::alexandra denikine,KL03,Koh-Lanta : Bocas del Toro,Alexandra Denikine,1,1,1,1,MEDICAL,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,Candice Cohen,1,2,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,Candice Cohen,2,2,1,1,VOLUNTARY,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,1,3,1,0,,1,Homme,1.0,Profil physique,34-41,34–41 ans
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,2,3,1,0,,1,Homme,1.0,Profil physique,34-41,34–41 ans
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,3,3,1,1,MEDICAL,1,Homme,1.0,Profil physique,34-41,34–41 ans
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,1,4,1,0,,0,Femme,0.0,Profil non physique,34-41,34–41 ans
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,2,4,1,0,,0,Femme,0.0,Profil non physique,34-41,34–41 ans
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,3,4,1,0,,0,Femme,0.0,Profil non physique,34-41,34–41 ans
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,4,4,1,1,VOTE_CONSEIL,0,Femme,0.0,Profil non physique,34-41,34–41 ans
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,1,5,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,2,5,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,3,5,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,4,5,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,5,5,1,1,MEDICAL,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,1,7,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,2,7,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,3,7,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,4,7,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,5,7,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,6,7,1,0,,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,7,7,1,1,VOTE_CONSEIL,0,Femme,0.0,Profil non physique,18-25,18–25 ans
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,1,8,1,0,,1,Homme,0.0,Profil non physique,42+,42 ans et plus
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,2,8,1,0,,1,Homme,0.0,Profil non physique,42+,42 ans et plus
