candidate_season_key,season_id,season_name,candidate_name,gender_male,gender_label,physical_score,physical_label,age_band,age_label,final_departure_cause,reached_orientation,eliminated_orientation,passed_orientation,reached_poteaux,eliminated_poteaux,reached_jury_final,won_jury_final,lost_jury_final
KL03::alexandra denikine,KL03,Koh-Lanta : Bocas del Toro,Alexandra Denikine,0,Femme,0.0,Profil non physique,26-33,26–33 ans,MEDICAL,0,0,0,0,0,0,0,0
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,Candice Cohen,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOLUNTARY,0,0,0,0,0,0,0,0
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,1,Homme,1.0,Profil physique,34-41,34–41 ans,MEDICAL,0,0,0,0,0,0,0,0
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,0,Femme,0.0,Profil non physique,18-25,18–25 ans,MEDICAL,0,0,0,0,0,0,0,0
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,1,Homme,0.0,Profil non physique,42+,42 ans et plus,MEDICAL,0,0,0,0,0,0,0,0
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,1,Homme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,1,Homme,1.0,Profil physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,1,Homme,1.0,Profil physique,42+,42 ans et plus,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,1,Homme,1.0,Profil physique,18-25,18–25 ans,FINALE_POTEAUX,1,0,1,1,1,0,0,0
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,0,Femme,0.0,Profil non physique,26-33,26–33 ans,CENSORED_WINNER,1,0,1,1,0,1,1,0
KL03::isabelle seguin,KL03,Koh-Lanta : Bocas del Toro,Isabelle Seguin,0,Femme,0.0,Profil non physique,34-41,34–41 ans,CENSORED_WINNER,1,0,1,1,0,1,1,0
KL08::valérie,KL08,KL KL08,Valérie,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOLUNTARY,0,0,0,0,0,0,0,0
KL08::céga,KL08,KL KL08,Céga,1,Homme,0.0,Profil non physique,42+,42 ans et plus,MEDICAL,0,0,0,0,0,0,0,0
KL08::irya,KL08,KL KL08,Irya,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::morgane,KL08,KL KL08,Morgane,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::jessica,KL08,KL KL08,Jessica,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::alain,KL08,KL KL08,Alain,1,Homme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::jean-bernard,KL08,KL KL08,Jean-Bernard,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::christopher,KL08,KL KL08,Christopher,1,Homme,0.0,Profil non physique,34-41,34–41 ans,MEDICAL,0,0,0,0,0,0,0,0
KL08::christophe,KL08,KL KL08,Christophe,1,Homme,1.0,Profil physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::charlène,KL08,KL KL08,Charlène,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::hakim,KL08,KL KL08,Hakim,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::régis,KL08,KL KL08,Régis,1,Homme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::carole,KL08,KL KL08,Carole,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL08::nathalie,KL08,KL KL08,Nathalie,0,Femme,0.0,Profil non physique,42+,42 ans et plus,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL08::bertrand,KL08,KL KL08,Bertrand,1,Homme,0.0,Profil non physique,34-41,34–41 ans,FINALE_POTEAUX,1,0,1,1,1,0,0,0
KL08::frédéric favier,KL08,KL KL08,Frédéric Favier,1,Homme,0.0,Profil non physique,26-33,26–33 ans,JURY_FINAL_DECISION,1,0,1,1,0,1,0,1
KL08::christelle gauzet,KL08,KL KL08,Christelle Gauzet,0,Femme,0.0,Profil non physique,26-33,26–33 ans,CENSORED_WINNER,1,0,1,1,0,1,1,0
KL17::babeth delettre,KL17,Koh-Lanta : Johor,Babeth Delettre,0,Femme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::marie-anne queniart,KL17,Koh-Lanta : Johor,Marie-Anne Queniart,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::benoît jorion-fahy,KL17,Koh-Lanta : Johor,Benoît Jorion-Fahy,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::manon allender,KL17,Koh-Lanta : Johor,Manon Allender,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOLUNTARY,0,0,0,0,0,0,0,0
KL17::loïc crespin,KL17,Koh-Lanta : Johor,Loïc Crespin,1,Homme,0.0,Profil non physique,18-25,18–25 ans,MEDICAL,0,0,0,0,0,0,0,0
KL17::isabelle haouzi,KL17,Koh-Lanta : Johor,Isabelle Haouzi,0,Femme,1.0,Profil physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::margot perrot houwaer,KL17,Koh-Lanta : Johor,Margot Perrot Houwaer,0,Femme,0.0,Profil non physique,18-25,18–25 ans,MEDICAL,0,0,0,0,0,0,0,0
KL17::alban pellegrin,KL17,Koh-Lanta : Johor,Alban Pellegrin,1,Homme,0.0,Profil non physique,26-33,26–33 ans,AMBASSADEURS,0,0,0,0,0,0,0,0
KL17::corinne bargoin samuelian,KL17,Koh-Lanta : Johor,Corinne Bargoin Samuelian,0,Femme,0.0,Profil non physique,42+,42 ans et plus,MEDICAL,0,0,0,0,0,0,0,0
KL17::cédric giosserand-lucas,KL17,Koh-Lanta : Johor,Cédric Giosserand-Lucas,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::charlaine cuny,KL17,Koh-Lanta : Johor,Charlaine Cuny,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::nessim kouachi,KL17,Koh-Lanta : Johor,Nessim Kouachi,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::jeff santiago,KL17,Koh-Lanta : Johor,Jeff Santiago,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::christophe pendon,KL17,Koh-Lanta : Johor,Christophe Pendon,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::jessica potel,KL17,Koh-Lanta : Johor,Jessica Potel,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::sébastien ballesteros,KL17,Koh-Lanta : Johor,Sébastien Ballesteros,1,Homme,1.0,Profil physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL17::bruno peisey,KL17,Koh-Lanta : Johor,Bruno Peisey,1,Homme,0.0,Profil non physique,42+,42 ans et plus,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL17::mélissa bastin,KL17,Koh-Lanta : Johor,Mélissa Bastin,0,Femme,1.0,Profil physique,26-33,26–33 ans,FINALE_POTEAUX,1,0,1,1,1,0,0,0
KL17::chantel ménard,KL17,Koh-Lanta : Johor,Chantel Ménard,0,Femme,1.0,Profil physique,42+,42 ans et plus,JURY_FINAL_DECISION,1,0,1,1,0,1,0,1
KL17::marc rambaud,KL17,Koh-Lanta : Johor,Marc Rambaud,1,Homme,0.0,Profil non physique,42+,42 ans et plus,CENSORED_WINNER,1,0,1,1,0,1,1,0
KL31::myriam zenasni,KL31,Koh-Lanta : L'Île au trésor,Myriam Zenasni,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::amandine schmitt,KL31,Koh-Lanta : L'Île au trésor,Amandine Schmitt,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::sophie le nestic sabattier,KL31,Koh-Lanta : L'Île au trésor,Sophie Le Nestic Sabattier,0,Femme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::sandrine bouzekri,KL31,Koh-Lanta : L'Île au trésor,Sandrine Bouzekri,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::laurent mischkind,KL31,Koh-Lanta : L'Île au trésor,Laurent Mischkind,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::jean-luc duboscq,KL31,Koh-Lanta : L'Île au trésor,Jean-Luc Duboscq,1,Homme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::jérôme merlier,KL31,Koh-Lanta : L'Île au trésor,Jérôme Merlier,1,Homme,0.0,Profil non physique,42+,42 ans et plus,AMBASSADEURS,0,0,0,0,0,0,0,0
"KL31::laurent ""lau"" émilien",KL31,Koh-Lanta : L'Île au trésor,"Laurent ""Lau"" Émilien",1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::béryl libault de la chevasnerie,KL31,Koh-Lanta : L'Île au trésor,Béryl Libault de la Chevasnerie,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::alexandra pharisien,KL31,Koh-Lanta : L'Île au trésor,Alexandra Pharisien,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::yannick delalleau,KL31,Koh-Lanta : L'Île au trésor,Yannick Delalleau,1,Homme,1.0,Profil physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::julie navarro-camilleri,KL31,Koh-Lanta : L'Île au trésor,Julie Navarro-Camilleri,0,Femme,0.0,Profil non physique,34-41,34–41 ans,ELIMINATION_CHALLENGE,0,0,0,0,0,0,0,0
KL31::jérémy raffin,KL31,Koh-Lanta : L'Île au trésor,Jérémy Raffin,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::stéphane cipolla,KL31,Koh-Lanta : L'Île au trésor,Stéphane Cipolla,1,Homme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::ludivine wiart,KL31,Koh-Lanta : L'Île au trésor,Ludivine Wiart,0,Femme,1.0,Profil physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL31::candice boisson,KL31,Koh-Lanta : L'Île au trésor,Candice Boisson,0,Femme,1.0,Profil physique,18-25,18–25 ans,ELIMINATION_CHALLENGE,0,0,0,0,0,0,0,0
KL31::bruno troester,KL31,Koh-Lanta : L'Île au trésor,Bruno Troester,1,Homme,0.0,Profil non physique,42+,42 ans et plus,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL31::freddy bolzer,KL31,Koh-Lanta : L'Île au trésor,Freddy Bolzer,1,Homme,0.0,Profil non physique,26-33,26–33 ans,FINALE_POTEAUX,1,0,1,1,1,0,0,0
KL31::jesta hillmann,KL31,Koh-Lanta : L'Île au trésor,Jesta Hillmann,0,Femme,0.0,Profil non physique,18-25,18–25 ans,JURY_FINAL_DECISION,1,0,1,1,0,1,0,1
KL31::benoît assadi,KL31,Koh-Lanta : L'Île au trésor,Benoît Assadi,1,Homme,1.0,Profil physique,18-25,18–25 ans,CENSORED_WINNER,1,0,1,1,0,1,1,0
KL22::aliséa,KL22,Koh-Lanta : La Guerre des Chefs,Aliséa,0,Femme,1.0,Profil physique,18-25,18–25 ans,MEDICAL,0,0,0,0,0,0,0,0
KL22::carinne,KL22,Koh-Lanta : La Guerre des Chefs,Carinne,0,Femme,0.0,Profil non physique,42+,42 ans et plus,MEDICAL,0,0,0,0,0,0,0,0
KL22::émilie,KL22,Koh-Lanta : La Guerre des Chefs,Émilie,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::victor,KL22,Koh-Lanta : La Guerre des Chefs,Victor,1,Homme,1.0,Profil physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::chloé,KL22,Koh-Lanta : La Guerre des Chefs,Chloé,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::xavier,KL22,Koh-Lanta : La Guerre des Chefs,Xavier,1,Homme,1.0,Profil physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::frédéric,KL22,Koh-Lanta : La Guerre des Chefs,Frédéric,1,Homme,0.0,Profil non physique,42+,42 ans et plus,AMBASSADEURS,0,0,0,0,0,0,0,0
KL22::alexandre,KL22,Koh-Lanta : La Guerre des Chefs,Alexandre,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::béatrice,KL22,Koh-Lanta : La Guerre des Chefs,Béatrice,0,Femme,1.0,Profil physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::brice,KL22,Koh-Lanta : La Guerre des Chefs,Brice,1,Homme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::sophie,KL22,Koh-Lanta : La Guerre des Chefs,Sophie,0,Femme,1.0,Profil physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::angélique,KL22,Koh-Lanta : La Guerre des Chefs,Angélique,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::mohamed,KL22,Koh-Lanta : La Guerre des Chefs,Mohamed,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::nicolas,KL22,Koh-Lanta : La Guerre des Chefs,Nicolas,1,Homme,0.0,Profil non physique,34-41,34–41 ans,ELIMINATION_CHALLENGE,0,0,0,0,0,0,0,0
KL22::maxime,KL22,Koh-Lanta : La Guerre des Chefs,Maxime,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::cyril,KL22,Koh-Lanta : La Guerre des Chefs,Cyril,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL22::clo,KL22,Koh-Lanta : La Guerre des Chefs,Clo,0,Femme,1.0,Profil physique,26-33,26–33 ans,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL22::aurélien,KL22,Koh-Lanta : La Guerre des Chefs,Aurélien,1,Homme,1.0,Profil physique,18-25,18–25 ans,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL22::steeve,KL22,Koh-Lanta : La Guerre des Chefs,Steeve,1,Homme,0.0,Profil non physique,42+,42 ans et plus,FINALE_POTEAUX,1,0,1,1,1,0,0,0
KL22::cindy,KL22,Koh-Lanta : La Guerre des Chefs,Cindy,0,Femme,0.0,Profil non physique,26-33,26–33 ans,JURY_FINAL_DECISION,1,0,1,1,0,1,0,1
KL22::maud,KL22,Koh-Lanta : La Guerre des Chefs,Maud,0,Femme,0.0,Profil non physique,42+,42 ans et plus,CENSORED_WINNER,1,0,1,1,0,1,1,0
KL29::cynthiana,KL29,Koh-Lanta : La Revanche des 4 Terres,Cynthiana,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::allan,KL29,Koh-Lanta : La Revanche des 4 Terres,Allan,1,Homme,0.0,Profil non physique,18-25,18–25 ans,MEDICAL,0,0,0,0,0,0,0,0
KL29::christian,KL29,Koh-Lanta : La Revanche des 4 Terres,Christian,1,Homme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::romane,KL29,Koh-Lanta : La Revanche des 4 Terres,Romane,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::mehdi,KL29,Koh-Lanta : La Revanche des 4 Terres,Mehdi,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOLUNTARY,0,0,0,0,0,0,0,0
KL29::benoît,KL29,Koh-Lanta : La Revanche des 4 Terres,Benoît,1,Homme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::mohamed,KL29,Koh-Lanta : La Revanche des 4 Terres,Mohamed,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::pauline,KL29,Koh-Lanta : La Revanche des 4 Terres,Pauline,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::andréa,KL29,Koh-Lanta : La Revanche des 4 Terres,Andréa,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::adrien,KL29,Koh-Lanta : La Revanche des 4 Terres,Adrien,1,Homme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::frédéric,KL29,Koh-Lanta : La Revanche des 4 Terres,Frédéric,1,Homme,0.0,Profil non physique,42+,42 ans et plus,MEDICAL,0,0,0,0,0,0,0,0
KL29::jessica,KL29,Koh-Lanta : La Revanche des 4 Terres,Jessica,0,Femme,0.0,Profil non physique,34-41,34–41 ans,ELIMINATION_CHALLENGE,0,0,0,0,0,0,0,0
KL29::louise,KL29,Koh-Lanta : La Revanche des 4 Terres,Louise,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::joana,KL29,Koh-Lanta : La Revanche des 4 Terres,Joana,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::naïs,KL29,Koh-Lanta : La Revanche des 4 Terres,Naïs,0,Femme,0.0,Profil non physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::pierre-marie,KL29,Koh-Lanta : La Revanche des 4 Terres,Pierre-Marie,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::maxime,KL29,Koh-Lanta : La Revanche des 4 Terres,Maxime,1,Homme,0.0,Profil non physique,26-33,26–33 ans,AMBASSADEURS,0,0,0,0,0,0,0,0
KL29::noémie,KL29,Koh-Lanta : La Revanche des 4 Terres,Noémie,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::céline,KL29,Koh-Lanta : La Revanche des 4 Terres,Céline,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL29::jérôme#row20,KL29,Koh-Lanta : La Revanche des 4 Terres,Jérôme,1,Homme,0.0,Profil non physique,42+,42 ans et plus,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL29::claire,KL29,Koh-Lanta : La Revanche des 4 Terres,Claire,0,Femme,0.0,Profil non physique,34-41,34–41 ans,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL29::jérôme#row22,KL29,Koh-Lanta : La Revanche des 4 Terres,Jérôme,1,Homme,0.0,Profil non physique,42+,42 ans et plus,FINALE_POTEAUX,1,0,1,1,1,0,0,0
KL29::maël,KL29,Koh-Lanta : La Revanche des 4 Terres,Maël,1,Homme,0.0,Profil non physique,26-33,26–33 ans,JURY_FINAL_DECISION,1,0,1,1,0,1,0,1
KL29::gaëlle,KL29,Koh-Lanta : La Revanche des 4 Terres,Gaëlle,0,Femme,0.0,Profil non physique,34-41,34–41 ans,CENSORED_WINNER,1,0,1,1,0,1,1,0
KL26::célia,KL26,Koh-Lanta : Le Feu Sacré,Célia,0,Femme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::emin,KL26,Koh-Lanta : Le Feu Sacré,Emin,1,Homme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::alexandre,KL26,Koh-Lanta : Le Feu Sacré,Alexandre,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::élodie,KL26,Koh-Lanta : Le Feu Sacré,Élodie,0,Femme,0.0,Profil non physique,34-41,34–41 ans,ELIMINATION_CHALLENGE,0,0,0,0,0,0,0,0
KL26::benjamin,KL26,Koh-Lanta : Le Feu Sacré,Benjamin,1,Homme,0.0,Profil non physique,18-25,18–25 ans,VOLUNTARY,0,0,0,0,0,0,0,0
KL26::martin,KL26,Koh-Lanta : Le Feu Sacré,Martin,1,Homme,0.0,Profil non physique,26-33,26–33 ans,MEDICAL,0,0,0,0,0,0,0,0
KL26::christine,KL26,Koh-Lanta : Le Feu Sacré,Christine,0,Femme,0.0,Profil non physique,42+,42 ans et plus,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::rudy,KL26,Koh-Lanta : Le Feu Sacré,Rudy,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::grâce,KL26,Koh-Lanta : Le Feu Sacré,Grâce,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOLUNTARY,0,0,0,0,0,0,0,0
KL26::anne-sophie,KL26,Koh-Lanta : Le Feu Sacré,Anne-Sophie,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::helena,KL26,Koh-Lanta : Le Feu Sacré,Helena,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
