profile_combo,candidates,winners,top5,top10,raw_win_probability,raw_top5_probability,raw_top10_probability,mean_normalized_progress,median_finish_rank,smoothed_win_probability,smoothed_top5_probability,smoothed_top10_probability,go_far_score,eligible_minimum_10
Femme | Profil physique | 26–33 ans,10,1,5,8,0.1,0.5,0.8,0.743452380952381,5.5,0.07941176470588236,0.375,0.65,0.5810241596638656,True
Homme | Profil non physique | 26–33 ans,44,4,12,31,0.09090909090909091,0.2727272727272727,0.7045454545454546,0.6209447300000369,8.5,0.0849673202614379,0.26851851851851855,0.6666666666666666,0.49756238340197734,True
Femme | Profil non physique | 26–33 ans,39,4,9,26,0.10256410256410256,0.23076923076923078,0.6666666666666666,0.5925775772962474,8.0,0.09363745498199279,0.23469387755102042,0.6326530612244898,0.4682805580426151,True
Homme | Profil non physique | 34–41 ans,33,2,9,21,0.06060606060606061,0.2727272727272727,0.6363636363636364,0.5785067979761075,8.0,0.06019151846785226,0.26744186046511625,0.6046511627906976,0.4645004257103154,True
Homme | Profil non physique | 42 ans et plus,34,1,10,16,0.029411764705882353,0.29411764705882354,0.47058823529411764,0.5220120486387224,11.5,0.036096256684491984,0.2840909090909091,0.4772727272727273,0.4173920529034679,True
Femme | Profil non physique | 34–41 ans,46,4,11,18,0.08695652173913043,0.2391304347826087,0.391304347826087,0.4851330245393684,12.0,0.0819327731092437,0.24107142857142858,0.4107142857142857,0.37687078541246366,True
Femme | Profil non physique | 18–25 ans,40,1,7,14,0.025,0.175,0.35,0.43574189095928223,13.0,0.031764705882352945,0.19,0.38,0.3306720862257947,True
Homme | Profil non physique | 18–25 ans,27,0,3,9,0.0,0.1111111111111111,0.3333333333333333,0.41550041648436076,12.0,0.01589825119236884,0.14864864864864866,0.3783783783783784,0.3080403702478511,True
Femme | Profil non physique | 42 ans et plus,18,1,3,5,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.3859431453740917,16.0,0.05672268907563026,0.19642857142857142,0.35714285714285715,0.3068676927292657,True
Homme | Profil physique | 18–25 ans,9,1,5,5,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.6299823633156966,5.0,0.08359133126934985,0.39473684210526316,0.5263157894736842,0.5113558405818467,False
Homme | Profil physique | 26–33 ans,9,0,4,5,0.0,0.4444444444444444,0.5555555555555556,0.6337742504409172,6.0,0.030959752321981424,0.34210526315789475,0.5263157894736842,0.49464113715661706,False
Femme | Profil physique | 34–41 ans,6,0,1,3,0.0,0.16666666666666666,0.5,0.621031746031746,9.5,0.03676470588235294,0.21875,0.5,0.4469275210084034,False
Homme | Profil physique | 42 ans et plus,6,0,3,3,0.0,0.5,0.5,0.5089285714285715,10.5,0.03676470588235294,0.34375,0.5,0.4339810924369748,False
Homme | Profil physique | 34–41 ans,7,1,1,4,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.537852967273866,10.0,0.09342560553633218,0.20588235294117646,0.5294117647058824,0.41435217437358574,False
Femme | Profil physique | 18–25 ans,4,0,1,1,0.0,0.25,0.25,0.39940476190476193,13.5,0.04201680672268908,0.25,0.42857142857142855,0.34254726890756304,False
Femme | Profil physique | 42 ans et plus,8,0,1,1,0.0,0.125,0.125,0.29464285714285715,17.0,0.032679738562091505,0.19444444444444445,0.3333333333333333,0.25922327264239026,False
