variable,option,cause,group_probability,overall_probability,lift_vs_overall,difference_points
Sexe,Femme,VOTE_CONSEIL,0.6666666666666666,0.6029411764705882,1.1056910569105691,0.06372549019607843
Sexe,Femme,MEDICAL,0.04678362573099415,0.06764705882352941,0.6915840325451309,-0.020863433092535258
Sexe,Femme,FINALE_ORIENTATION,0.05847953216374269,0.061764705882352944,0.9468114731272625,-0.003285173718610257
Sexe,Femme,FINALE_POTEAUX,0.023391812865497075,0.047058823529411764,0.49707602339181284,-0.02366701066391469
Sexe,Femme,ELIMINATION_CHALLENGE,0.05263157894736842,0.047058823529411764,1.118421052631579,0.005572755417956654
Sexe,Femme,JURY_FINAL_DECISION,0.04093567251461988,0.04411764705882353,0.9278752436647172,-0.0031819745442036515
Sexe,Femme,VOLUNTARY,0.03508771929824561,0.03823529411764706,0.9176788124156544,-0.0031475748194014497
Sexe,Femme,AMBASSADEURS,0.011695906432748537,0.03235294117647059,0.36150983519404567,-0.020657034743722054
Sexe,Femme,CENSORED_WINNER,0.06432748538011696,0.058823529411764705,1.0935672514619883,0.00550395596835225
Sexe,Homme,VOTE_CONSEIL,0.5384615384615384,0.6029411764705882,0.8930581613508443,-0.06447963800904977
Sexe,Homme,MEDICAL,0.08875739644970414,0.06764705882352941,1.312065860560844,0.02111033762617473
Sexe,Homme,FINALE_ORIENTATION,0.0650887573964497,0.061764705882352944,1.0538179768948999,0.0033240515140967597
Sexe,Homme,FINALE_POTEAUX,0.07100591715976332,0.047058823529411764,1.5088757396449706,0.02394709363035155
Sexe,Homme,ELIMINATION_CHALLENGE,0.04142011834319527,0.047058823529411764,0.8801775147928995,-0.005638705186216494
Sexe,Homme,JURY_FINAL_DECISION,0.047337278106508875,0.04411764705882353,1.0729783037475344,0.0032196310476853424
Sexe,Homme,VOLUNTARY,0.04142011834319527,0.03823529411764706,1.08329540282203,0.003184824225548208
Sexe,Homme,AMBASSADEURS,0.05325443786982249,0.03235294117647059,1.6460462614308766,0.020901496693351895
Sexe,Homme,CENSORED_WINNER,0.05325443786982249,0.058823529411764705,0.9053254437869823,-0.0055690915419422185
Profil physique,Profil non physique,VOTE_CONSEIL,0.608540925266904,0.6029411764705882,1.0092873882475482,0.005599748796315751
Profil physique,Profil non physique,MEDICAL,0.0711743772241993,0.06764705882352941,1.0521429676620766,0.0035273184006698877
Profil physique,Profil non physique,FINALE_ORIENTATION,0.0498220640569395,0.061764705882352944,0.8066429418742586,-0.011942641825413443
Profil physique,Profil non physique,FINALE_POTEAUX,0.03914590747330961,0.047058823529411764,0.8318505338078291,-0.007912916056102157
Profil physique,Profil non physique,ELIMINATION_CHALLENGE,0.0498220640569395,0.047058823529411764,1.0587188612099645,0.002763240527527737
Profil physique,Profil non physique,JURY_FINAL_DECISION,0.046263345195729534,0.04411764705882353,1.0486358244365361,0.002145698136906002
Profil physique,Profil non physique,VOLUNTARY,0.03914590747330961,0.03823529411764706,1.0238160416096358,0.0009106133556625456
Profil physique,Profil non physique,AMBASSADEURS,0.03558718861209965,0.03235294117647059,1.0999676480103526,0.0032342474356290563
Profil physique,Profil non physique,CENSORED_WINNER,0.060498220640569395,0.058823529411764705,1.0284697508896796,0.0016746912288046895
Profil physique,Profil physique,VOTE_CONSEIL,0.576271186440678,0.6029411764705882,0.9557668458040514,-0.026669990029910218
Profil physique,Profil physique,MEDICAL,0.05084745762711865,0.06764705882352941,0.7516580692704496,-0.01679960119641076
Profil physique,Profil physique,FINALE_ORIENTATION,0.11864406779661017,0.061764705882352944,1.92090395480226,0.05687936191425723
Profil physique,Profil physique,FINALE_POTEAUX,0.0847457627118644,0.047058823529411764,1.8008474576271185,0.03768693918245264
Profil physique,Profil physique,ELIMINATION_CHALLENGE,0.03389830508474576,0.047058823529411764,0.7203389830508474,-0.013160518444666001
Profil physique,Profil physique,JURY_FINAL_DECISION,0.03389830508474576,0.04411764705882353,0.7683615819209039,-0.01021934197407777
Profil physique,Profil physique,VOLUNTARY,0.03389830508474576,0.03823529411764706,0.8865710560625815,-0.004336989032901299
Profil physique,Profil physique,AMBASSADEURS,0.01694915254237288,0.03235294117647059,0.5238828967642526,-0.01540378863409771
Profil physique,Profil physique,CENSORED_WINNER,0.05084745762711865,0.058823529411764705,0.864406779661017,-0.007976071784646058
Âge,18–25 ans,VOTE_CONSEIL,0.625,0.6029411764705882,1.0365853658536586,0.022058823529411797
Âge,18–25 ans,MEDICAL,0.075,0.06764705882352941,1.108695652173913,0.00735294117647059
Âge,18–25 ans,FINALE_ORIENTATION,0.0375,0.061764705882352944,0.6071428571428571,-0.024264705882352945
Âge,18–25 ans,FINALE_POTEAUX,0.025,0.047058823529411764,0.53125,-0.022058823529411763
Âge,18–25 ans,ELIMINATION_CHALLENGE,0.0375,0.047058823529411764,0.796875,-0.009558823529411765
Âge,18–25 ans,JURY_FINAL_DECISION,0.05,0.04411764705882353,1.1333333333333333,0.0058823529411764705
Âge,18–25 ans,VOLUNTARY,0.075,0.03823529411764706,1.9615384615384612,0.036764705882352935
Âge,18–25 ans,AMBASSADEURS,0.05,0.03235294117647059,1.5454545454545454,0.01764705882352941
Âge,18–25 ans,CENSORED_WINNER,0.025,0.058823529411764705,0.42500000000000004,-0.033823529411764704
Âge,26–33 ans,VOTE_CONSEIL,0.5784313725490197,0.6029411764705882,0.9593495934959351,-0.02450980392156854
Âge,26–33 ans,MEDICAL,0.058823529411764705,0.06764705882352941,0.8695652173913044,-0.008823529411764702
Âge,26–33 ans,FINALE_ORIENTATION,0.06862745098039216,0.061764705882352944,1.1111111111111112,0.006862745098039219
Âge,26–33 ans,FINALE_POTEAUX,0.0392156862745098,0.047058823529411764,0.8333333333333334,-0.00784313725490196
Âge,26–33 ans,ELIMINATION_CHALLENGE,0.058823529411764705,0.047058823529411764,1.25,0.011764705882352941
Âge,26–33 ans,JURY_FINAL_DECISION,0.058823529411764705,0.04411764705882353,1.3333333333333333,0.014705882352941173
Âge,26–33 ans,VOLUNTARY,0.0196078431372549,0.03823529411764706,0.5128205128205128,-0.01862745098039216
Âge,26–33 ans,AMBASSADEURS,0.029411764705882353,0.03235294117647059,0.909090909090909,-0.0029411764705882387
Âge,26–33 ans,CENSORED_WINNER,0.08823529411764706,0.058823529411764705,1.5000000000000002,0.02941176470588236
Âge,34–41 ans,VOTE_CONSEIL,0.6413043478260869,0.6029411764705882,1.063626723223754,0.038363171355498715
Âge,34–41 ans,MEDICAL,0.043478260869565216,0.06764705882352941,0.6427221172022685,-0.02416879795396419
Âge,34–41 ans,FINALE_ORIENTATION,0.043478260869565216,0.061764705882352944,0.7039337474120082,-0.018286445012787728
Âge,34–41 ans,FINALE_POTEAUX,0.07608695652173914,0.047058823529411764,1.6168478260869565,0.02902813299232737
Âge,34–41 ans,ELIMINATION_CHALLENGE,0.05434782608695652,0.047058823529411764,1.1548913043478262,0.007289002557544756
