profile_combo,candidates,winners,top5,top10,raw_win_probability,raw_top5_probability,raw_top10_probability,mean_normalized_progress,median_finish_rank,smoothed_win_probability,smoothed_top5_probability,smoothed_top10_probability,go_far_score,eligible_minimum_10
Femme | Profil physique | 26–33 ans,10,1,5,8,0.1,0.5,0.8,0.74,5.5,0.07941176470588236,0.375,0.65,0.5794705882352942,True
Homme | Profil non physique | 26–33 ans,44,4,12,31,0.09090909090909091,0.2727272727272727,0.7045454545454546,0.6215909090909091,8.5,0.0849673202614379,0.26851851851851855,0.6666666666666666,0.49785316399286983,True
Femme | Profil non physique | 26–33 ans,39,4,9,26,0.10256410256410256,0.23076923076923078,0.6666666666666666,0.591025641025641,8.0,0.09363745498199279,0.23469387755102042,0.6326530612244898,0.46758218672084223,True
Homme | Profil non physique | 34–41 ans,33,2,9,21,0.06060606060606061,0.2727272727272727,0.6363636363636364,0.5757575757575758,8.0,0.06019151846785226,0.26744186046511625,0.6046511627906976,0.4632632757119762,True
Homme | Profil non physique | 42 ans et plus,34,1,10,16,0.029411764705882353,0.29411764705882354,0.47058823529411764,0.525,11.5,0.036096256684491984,0.2840909090909091,0.4772727272727273,0.41873663101604286,True
Femme | Profil non physique | 34–41 ans,46,4,11,18,0.08695652173913043,0.2391304347826087,0.391304347826087,0.48695652173913045,12.0,0.0819327731092437,0.24107142857142858,0.4107142857142857,0.3776913591523566,True
Femme | Profil non physique | 18–25 ans,40,1,7,14,0.025,0.175,0.35,0.43624999999999997,13.0,0.031764705882352945,0.19,0.38,0.3309007352941177,True
Homme | Profil non physique | 18–25 ans,27,0,3,9,0.0,0.1111111111111111,0.3333333333333333,0.4148148148148148,12.0,0.01589825119236884,0.14864864864864866,0.3783783783783784,0.3077318494965554,True
Femme | Profil non physique | 42 ans et plus,18,1,3,5,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.38055555555555554,16.0,0.05672268907563026,0.19642857142857142,0.35714285714285715,0.30444327731092435,True
Homme | Profil physique | 18–25 ans,9,1,5,5,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.6277777777777778,5.0,0.08359133126934985,0.39473684210526316,0.5263157894736842,0.5103637770897833,False
Homme | Profil physique | 26–33 ans,9,0,4,5,0.0,0.4444444444444444,0.5555555555555556,0.6388888888888888,6.0,0.030959752321981424,0.34210526315789475,0.5263157894736842,0.4969427244582043,False
Femme | Profil physique | 34–41 ans,6,0,1,3,0.0,0.16666666666666666,0.5,0.625,9.5,0.03676470588235294,0.21875,0.5,0.44871323529411766,False
Homme | Profil physique | 42 ans et plus,6,0,3,3,0.0,0.5,0.5,0.525,10.5,0.03676470588235294,0.34375,0.5,0.4412132352941176,False
Homme | Profil physique | 34–41 ans,7,1,1,4,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5428571428571429,10.0,0.09342560553633218,0.20588235294117646,0.5294117647058824,0.4166040533860604,False
Femme | Profil physique | 18–25 ans,4,0,1,1,0.0,0.25,0.25,0.4,13.5,0.04201680672268908,0.25,0.42857142857142855,0.3428151260504202,False
Femme | Profil physique | 42 ans et plus,8,0,1,1,0.0,0.125,0.125,0.3,17.0,0.032679738562091505,0.19444444444444445,0.3333333333333333,0.2616339869281046,False
