variable,option,normalized_rank,at_risk,eliminated,conditional_elimination_probability,smoothed_probability
Sexe,Femme,1,171,13,0.07602339181286549,0.07598637945073655
Sexe,Femme,2,158,12,0.0759493670886076,0.06892242648313944
Sexe,Femme,3,146,8,0.0547945205479452,0.07015134418802967
Sexe,Femme,4,138,11,0.07971014492753623,0.06845693573592163
Sexe,Femme,5,127,9,0.07086614173228346,0.06996610685270827
Sexe,Femme,6,118,7,0.059322033898305086,0.06742008256755354
Sexe,Femme,7,111,8,0.07207207207207207,0.059979265096921835
Sexe,Femme,8,103,5,0.04854368932038835,0.06401477760701062
Sexe,Femme,9,98,7,0.07142857142857142,0.0692947828870159
Sexe,Femme,10,91,8,0.08791208791208792,0.10532238845491859
Sexe,Femme,11,83,13,0.1566265060240964,0.12437000750253763
Sexe,Femme,12,70,9,0.12857142857142856,0.1333173443187269
Sexe,Femme,13,61,7,0.11475409836065574,0.11197270650822562
Sexe,Femme,14,54,5,0.09259259259259259,0.1439454956238719
Sexe,Femme,15,49,11,0.22448979591836735,0.16709763827558313
Sexe,Femme,16,38,7,0.18421052631578946,0.22225494612106303
Sexe,Femme,17,31,8,0.25806451612903225,0.23438153588740432
Sexe,Femme,18,23,6,0.2608695652173913,0.29062508593900394
Sexe,Femme,19,17,6,0.35294117647058826,0.20460358056265984
Sexe,Femme,20,11,0,0.0,0.17647058823529413
Sexe,Homme,1,169,4,0.023668639053254437,0.02698583467814237
Sexe,Homme,2,165,5,0.030303030303030304,0.03674055645209492
Sexe,Homme,3,160,9,0.05625,0.042096043213592886
Sexe,Homme,4,151,6,0.039735099337748346,0.05038583771028393
Sexe,Homme,5,145,8,0.05517241379310345,0.05353364792926204
Sexe,Homme,6,137,9,0.06569343065693431,0.06372611481667924
Sexe,Homme,7,128,9,0.0703125,0.07894875559712937
Sexe,Homme,8,119,12,0.10084033613445378,0.08820359335322914
Sexe,Homme,9,107,10,0.09345794392523364,0.09225750228793704
Sexe,Homme,10,97,8,0.08247422680412371,0.08486128537420524
Sexe,Homme,11,89,7,0.07865168539325842,0.0862289626023794
Sexe,Homme,12,82,8,0.0975609756097561,0.10378259871271656
Sexe,Homme,13,74,10,0.13513513513513514,0.1400653702482971
Sexe,Homme,14,64,12,0.1875,0.1395963270963271
Sexe,Homme,15,52,5,0.09615384615384616,0.16547326786688488
Sexe,Homme,16,47,10,0.2127659574468085,0.18405434894796593
Sexe,Homme,17,37,9,0.24324324324324326,0.28295544784906485
Sexe,Homme,18,28,11,0.39285714285714285,0.36889620713150123
Sexe,Homme,19,17,8,0.47058823529411764,0.2878151260504202
Sexe,Homme,20,7,0,0.0,0.23529411764705882
Profil physique,Profil non physique,1,281,15,0.05338078291814947,0.05676557942899954
Profil physique,Profil non physique,2,266,16,0.06015037593984962,0.05517705295266636
Profil physique,Profil non physique,3,250,13,0.052,0.05566756553831837
Profil physique,Profil non physique,4,237,13,0.05485232067510549,0.0564507735583685
Profil physique,Profil non physique,5,224,14,0.0625,0.05816505927265422
Profil physique,Profil non physique,6,210,12,0.05714285714285714,0.06513347763347764
Profil physique,Profil non physique,7,198,15,0.07575757575757576,0.07526553592127362
Profil physique,Profil non physique,8,183,17,0.09289617486338798,0.08633839880136544
Profil physique,Profil non physique,9,166,15,0.09036144578313253,0.08757593977400574
Profil physique,Profil non physique,10,151,12,0.07947019867549669,0.09497985270923133
Profil physique,Profil non physique,11,139,16,0.11510791366906475,0.10821980438585653
Profil physique,Profil non physique,12,123,16,0.13008130081300814,0.12845871012330778
Profil physique,Profil non physique,13,107,15,0.14018691588785046,0.14806042005970646
Profil physique,Profil non physique,14,92,16,0.17391304347826086,0.16171753031501956
Profil physique,Profil non physique,15,76,13,0.17105263157894737,0.1731896165534609
Profil physique,Profil non physique,16,63,11,0.1746031746031746,0.18573142257352782
Profil physique,Profil non physique,17,52,11,0.21153846153846154,0.2262748543236348
Profil physique,Profil non physique,18,41,12,0.2926829268292683,0.3060048306053352
Profil physique,Profil non physique,19,29,12,0.41379310344827586,0.23549201009251472
Profil physique,Profil non physique,20,15,0,0.0,0.2068965517241379
Profil physique,Profil physique,1,59,2,0.03389830508474576,0.025721082366934284
Profil physique,Profil physique,2,57,1,0.017543859649122806,0.040956912054146664
Profil physique,Profil physique,3,56,4,0.07142857142857142,0.05529850266692372
Profil physique,Profil physique,4,52,4,0.07692307692307693,0.07028388278388278
Profil physique,Profil physique,5,48,3,0.0625,0.0761039886039886
Profil physique,Profil physique,6,45,4,0.08888888888888889,0.06672312556458898
Profil physique,Profil physique,7,41,2,0.04878048780487805,0.045889792231255645
Profil physique,Profil physique,8,39,0,0.0,0.03335417969564311
Profil physique,Profil physique,9,39,2,0.05128205128205128,0.053130053130053125
Profil physique,Profil physique,10,37,4,0.10810810810810811,0.09353409353409353
Profil physique,Profil physique,11,33,4,0.12121212121212122,0.08793432931363966
Profil physique,Profil physique,12,29,1,0.034482758620689655,0.07570781708712744
Profil physique,Profil physique,13,28,2,0.07142857142857142,0.04812428950359985
