variable,option,cause,cause_label,group_candidates,group_events,group_probability,ci95_lower,ci95_upper,other_candidates,other_events,other_probability,overall_probability,difference_vs_overall,lift_vs_overall,risk_ratio_vs_others,odds_ratio,p_fisher,p_fdr_bh,significant_fdr_005,minimum_3_events,interpretation,absolute_log2_lift
Sexe,Femme,FINALE_POTEAUX,Poteaux,171,4,0.023391812865497075,0.00913320257216747,0.05859438628540417,169,12,0.07100591715976332,0.047058823529411764,-0.02366701066391469,0.49707602339181284,0.32943469785575047,0.313373253493014,0.04297266633697669,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT,1.008461578748196
Âge,18–25 ans,VOLUNTARY,Abandon volontaire,80,6,0.075,0.03482477485108787,0.15412200097380097,260,7,0.026923076923076925,0.03823529411764706,0.036764705882352935,1.9615384615384612,2.7857142857142856,2.9305019305019306,0.08676252697042776,0.6246901941870798,False,True,SURREPRESENTATION_DESCRIPTIVE,0.9719856238304032
Profil physique,Profil physique,FINALE_ORIENTATION,Orientation,59,7,0.11864406779661017,0.05867508277913999,0.22523875773415056,281,14,0.0498220640569395,0.061764705882352944,0.05687936191425723,1.92090395480226,2.38135593220339,2.5673076923076925,0.06797424763858696,0.6117682287472826,False,True,SURREPRESENTATION_DESCRIPTIVE,0.9417853860547044
Profil physique,Profil physique,FINALE_POTEAUX,Poteaux,59,5,0.0847457627118644,0.036741491306199775,0.1835202461416055,281,11,0.03914590747330961,0.047058823529411764,0.03768693918245264,1.8008474576271185,2.164869029275809,2.272727272727273,0.16825446065773195,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE,0.8486759816632228
Âge,42 ans et plus,FINALE_ORIENTATION,Orientation,66,7,0.10606060606060606,0.05233280771918243,0.20312525738814619,274,14,0.051094890510948905,0.061764705882352944,0.04429590017825312,1.7171717171717171,2.0757575757575757,2.2033898305084745,0.14814999351228764,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE,0.7800343160580921
Âge,18–25 ans,FINALE_ORIENTATION,Orientation,80,3,0.0375,0.012834336300788757,0.10454891974394322,260,18,0.06923076923076923,0.061764705882352944,-0.024264705882352945,0.6071428571428571,0.5416666666666666,0.5238095238095238,0.42795621377112925,0.958789049081504,False,True,SOUS_REPRESENTATION_DESCRIPTIVE,0.7198920808072649
Sexe,Homme,AMBASSADEURS,Ambassadeurs,169,9,0.05325443786982249,0.028266825797166904,0.09810090049094891,171,2,0.011695906432748537,0.03235294117647059,0.020901496693351895,1.6460462614308766,4.553254437869823,4.753125,0.034787911013872665,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT,0.7190048826605324
Âge,34–41 ans,FINALE_POTEAUX,Poteaux,92,7,0.07608695652173914,0.03734308465448332,0.1488140746583829,248,9,0.036290322580645164,0.047058823529411764,0.02902813299232737,1.6168478260869565,2.0966183574879227,2.186928104575163,0.14920579548057125,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE,0.6931839021382931
Âge,42 ans et plus,MEDICAL,Blessure / médical,66,7,0.10606060606060606,0.05233280771918243,0.20312525738814619,274,16,0.058394160583941604,0.06764705882352941,0.038413547237076656,1.567852437417655,1.816287878787879,1.9131355932203389,0.17510659027881537,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE,0.6487897827798398
Âge,34–41 ans,MEDICAL,Blessure / médical,92,4,0.043478260869565216,0.01703544061158062,0.10651842326381375,248,19,0.07661290322580645,0.06764705882352941,-0.02416879795396419,0.6427221172022685,0.5675057208237986,0.5478468899521531,0.33936314239866566,0.958789049081504,False,True,SOUS_REPRESENTATION_DESCRIPTIVE,0.637732975976324
