variable,option,step,at_risk,eliminated,elimination_probability
Sexe,Femme,1,171,10,0.05847953216374269
Sexe,Femme,2,161,12,0.07453416149068323
Sexe,Femme,3,149,8,0.053691275167785234
Sexe,Femme,4,141,11,0.07801418439716312
Sexe,Femme,5,130,10,0.07692307692307693
Sexe,Femme,6,120,7,0.058333333333333334
Sexe,Femme,7,113,8,0.07079646017699115
Sexe,Femme,8,105,5,0.047619047619047616
Sexe,Femme,9,100,8,0.08
Sexe,Femme,10,92,9,0.09782608695652174
Sexe,Femme,11,83,8,0.0963855421686747
Sexe,Femme,12,75,12,0.16
Sexe,Femme,13,63,5,0.07936507936507936
Sexe,Femme,14,58,7,0.1206896551724138
Sexe,Femme,15,51,11,0.21568627450980393
Sexe,Femme,16,40,6,0.15
Sexe,Femme,17,34,6,0.17647058823529413
Sexe,Femme,18,28,9,0.32142857142857145
Sexe,Femme,19,19,6,0.3157894736842105
Sexe,Femme,20,13,2,0.15384615384615385
Sexe,Homme,1,169,2,0.011834319526627219
Sexe,Homme,2,167,5,0.029940119760479042
Sexe,Homme,3,162,9,0.05555555555555555
Sexe,Homme,4,153,6,0.0392156862745098
Sexe,Homme,5,147,10,0.06802721088435375
Sexe,Homme,6,137,7,0.051094890510948905
Sexe,Homme,7,130,9,0.06923076923076923
Sexe,Homme,8,121,12,0.09917355371900827
Sexe,Homme,9,109,9,0.08256880733944955
Sexe,Homme,10,100,11,0.11
Sexe,Homme,11,89,5,0.056179775280898875
Sexe,Homme,12,84,4,0.047619047619047616
Sexe,Homme,13,80,12,0.15
Sexe,Homme,14,68,10,0.14705882352941177
Sexe,Homme,15,58,9,0.15517241379310345
Sexe,Homme,16,49,8,0.16326530612244897
Sexe,Homme,17,41,11,0.2682926829268293
Sexe,Homme,18,30,8,0.26666666666666666
Sexe,Homme,19,22,9,0.4090909090909091
Sexe,Homme,20,12,4,0.3333333333333333
Profil physique,Profil non physique,1,281,10,0.03558718861209965
Profil physique,Profil non physique,2,271,16,0.05904059040590406
Profil physique,Profil non physique,3,255,15,0.058823529411764705
Profil physique,Profil non physique,4,240,12,0.05
Profil physique,Profil non physique,5,228,16,0.07017543859649122
Profil physique,Profil non physique,6,212,10,0.04716981132075472
Profil physique,Profil non physique,7,202,15,0.07425742574257425
Profil physique,Profil non physique,8,187,17,0.09090909090909091
Profil physique,Profil non physique,9,170,16,0.09411764705882353
Profil physique,Profil non physique,10,154,15,0.09740259740259741
Profil physique,Profil non physique,11,139,9,0.06474820143884892
Profil physique,Profil non physique,12,130,15,0.11538461538461539
Profil physique,Profil non physique,13,115,17,0.14782608695652175
Profil physique,Profil non physique,14,98,15,0.15306122448979592
Profil physique,Profil non physique,15,83,17,0.20481927710843373
Profil physique,Profil non physique,16,66,9,0.13636363636363635
Profil physique,Profil non physique,17,57,11,0.19298245614035087
Profil physique,Profil non physique,18,46,12,0.2608695652173913
Profil physique,Profil non physique,19,34,12,0.35294117647058826
Profil physique,Profil non physique,20,21,5,0.23809523809523808
Profil physique,Profil physique,1,59,2,0.03389830508474576
Profil physique,Profil physique,2,57,1,0.017543859649122806
Profil physique,Profil physique,3,56,2,0.03571428571428571
Profil physique,Profil physique,4,54,5,0.09259259259259259
Profil physique,Profil physique,5,49,4,0.08163265306122448
Profil physique,Profil physique,6,45,4,0.08888888888888889
Profil physique,Profil physique,7,41,2,0.04878048780487805
Profil physique,Profil physique,8,39,0,0.0
Profil physique,Profil physique,9,39,1,0.02564102564102564
Profil physique,Profil physique,10,38,5,0.13157894736842105
Profil physique,Profil physique,11,33,4,0.12121212121212122
Profil physique,Profil physique,12,29,1,0.034482758620689655
Profil physique,Profil physique,13,28,0,0.0
Profil physique,Profil physique,14,28,2,0.07142857142857142
Profil physique,Profil physique,15,26,3,0.11538461538461539
Profil physique,Profil physique,16,23,5,0.21739130434782608
Profil physique,Profil physique,17,18,6,0.3333333333333333
Profil physique,Profil physique,18,12,5,0.4166666666666667
Profil physique,Profil physique,19,7,3,0.42857142857142855
Profil physique,Profil physique,20,4,1,0.25
Âge,18–25 ans,1,80,2,0.025
Âge,18–25 ans,2,78,4,0.05128205128205128
Âge,18–25 ans,3,74,4,0.05405405405405406
Âge,18–25 ans,4,70,7,0.1
Âge,18–25 ans,5,63,10,0.15873015873015872
Âge,18–25 ans,6,53,2,0.03773584905660377
