cause,model,n_events,covariates,variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,significant_005,concordance,status
MEDICAL,MEDICAL_M1,23,gender_male + physical_score,gender_male,1.5620144339400912,0.7606122691017935,3.207796128135623,0.2244859294285653,False,0.5801186943620178,SUCCESS
MEDICAL,MEDICAL_M1,23,gender_male + physical_score,physical_score,0.7163930747459263,0.2573797224461556,1.994015039981593,0.5230960968423612,False,0.5801186943620178,SUCCESS
MEDICAL,MEDICAL_M2,23,gender_male + age_45_54,gender_male,1.5382654815868797,0.7699073998805951,3.073435444585541,0.22265235475908673,False,0.5771513353115727,SUCCESS
MEDICAL,MEDICAL_M2,23,gender_male + age_45_54,age_45_54,1.5217439196886415,0.5356173989996075,4.323430421480853,0.4306512480726373,False,0.5771513353115727,SUCCESS
MEDICAL,MEDICAL_M3,23,gender_male + age_55_plus,gender_male,1.5232466057812821,0.759288483974243,3.0558612055848156,0.23611892101144696,False,0.5652818991097923,SUCCESS
MEDICAL,MEDICAL_M3,23,gender_male + age_55_plus,age_55_plus,1.1146623507822704,0.1965126972776925,6.322604968857138,0.902435252833705,False,0.5652818991097923,SUCCESS
MEDICAL,MEDICAL_M4,23,physical_score + age_45_54,physical_score,0.7666621773642198,0.2845128969622251,2.0658848877380946,0.5993275364388069,False,0.5222551928783383,SUCCESS
MEDICAL,MEDICAL_M4,23,physical_score + age_45_54,age_45_54,1.4720258764161227,0.5399971000828709,4.01272558779689,0.4498528726815948,False,0.5222551928783383,SUCCESS
MEDICAL,MEDICAL_M5,23,physical_score + age_55_plus,physical_score,0.7481346775220147,0.2704597599723136,2.069459411515653,0.5761837025565162,False,0.5237388724035609,SUCCESS
MEDICAL,MEDICAL_M5,23,physical_score + age_55_plus,age_55_plus,1.263501526409006,0.2041406704876667,7.820274634271556,0.8014414043249074,False,0.5237388724035609,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M1,21,gender_male + physical_score,gender_male,0.9231555934814957,0.4646103364864264,1.8342602022610617,0.8194545740432282,False,0.5857142857142857,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M1,21,gender_male + physical_score,physical_score,1.8327542495826017,0.7766225564200164,4.325123075032684,0.1666960340374449,False,0.5857142857142857,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M2,21,gender_male + age_18_24,gender_male,1.012256379185207,0.513395152812695,1.9958563527283237,0.971944848904523,False,0.5142857142857142,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M2,21,gender_male + age_18_24,age_18_24,0.6475213345062264,0.23021545056895942,1.8212673285155152,0.41011589273512095,False,0.5142857142857142,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M3,21,gender_male + age_35_44,gender_male,0.9766877580098119,0.5073865729500958,1.880063500892161,0.943720173267519,False,0.5571428571428572,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M3,21,gender_male + age_35_44,age_35_44,0.6099868832141145,0.2913867145755384,1.2769422183001127,0.18972221420687785,False,0.5571428571428572,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M4,21,physical_score + age_18_24,physical_score,1.9835343638135738,0.8360901366934833,4.70572298339611,0.12022820517219682,False,0.5928571428571429,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M4,21,physical_score + age_18_24,age_18_24,0.538305394314868,0.2176970916830835,1.3310820797290548,0.17998252409626928,False,0.5928571428571429,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M5,21,physical_score + age_35_44,physical_score,1.8009374277006542,0.7770441985927204,4.173991163394594,0.17013549092402,False,0.6142857142857143,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M5,21,physical_score + age_35_44,age_35_44,0.6121583971537703,0.29249018270207855,1.2811982260189894,0.19278908311796106,False,0.6142857142857143,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M1,16,gender_male,gender_male,2.0829944122619053,1.0448420679161035,4.152652209120961,0.03710775613780829,True,0.6363636363636364,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M2,16,physical_score,physical_score,2.1454589736774334,0.9148164595053998,5.031604055551928,0.07921735170033155,False,0.5757575757575758,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M3,16,age_18_24,age_18_24,1.0,0.3181405237496808,3.143265083661016,1.0,False,0.5,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M4,16,age_35_44,age_35_44,2.4955920511136034,1.2196300927293235,5.106449670854093,0.012297841453037453,True,0.6515151515151515,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M5,16,age_45_54,age_45_54,0.4919268396461478,0.17364108944888654,1.393633363694601,0.18179473714691408,False,0.5454545454545454,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M6,16,age_55_plus,age_55_plus,1.0,1.0,1.0,,False,0.5,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M1,16,gender_male,gender_male,0.8126134874754762,0.3801443045037653,1.737078978176603,0.5924223741856904,False,0.5602836879432624,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M2,16,physical_score,physical_score,0.6839944801844995,0.25496690796803373,1.8349379244992836,0.45063893200570304,False,0.5390070921985816,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M3,16,age_18_24,age_18_24,0.9549706959578398,0.2881167737299703,3.1652757259905986,0.9399285492803215,False,0.5070921985815603,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M4,16,age_35_44,age_35_44,1.2594280285446895,0.4760887896231825,3.331645259573084,0.6421340996200539,False,0.5425531914893617,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M5,16,age_45_54,age_45_54,0.7077627472306903,0.18523974239258506,2.7042150884981235,0.6132847863889994,False,0.5212765957446809,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M6,16,age_55_plus,age_55_plus,2.5973847279219826,0.2329978404263292,28.954806673306805,0.43782730729234676,False,0.5567375886524822,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M1,15,gender_male,gender_male,1.097888076924301,0.5623883664961388,2.1432844298723865,0.7843772041715757,False,0.5,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M2,15,physical_score,physical_score,0.821984981349681,0.33447429946981444,2.020063456700392,0.6691560001651607,False,0.53125,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M3,15,age_18_24,age_18_24,2.808817485405029,1.4869715430642267,5.305720679804738,0.0014597839673927933,True,0.5625,SUCCESS
