covariate,coef,exp(coef),se(coef),z,p,exp(coef) lower 95%,exp(coef) upper 95%
gender_male,-0.25713486944770136,0.7732639170549668,0.1550720715413305,-1.6581636325092146,0.09728444304713227,0.5705978862310563,1.0479132500274695
physical_score,-0.0326150275003418,0.9679111070324918,0.21730314522446403,-0.15008999279164595,0.8806936151463542,0.63221777349899,1.4818500054686623
male_middle,0.18689316655397847,1.2054984906123445,0.21789686352443574,0.8577138905582254,0.3910504679687221,0.7864887674332242,1.8477398165664523
male_late,0.31734448909064583,1.3734756378112558,0.25014750744920056,1.2686294271994356,0.20457326369284856,0.8411917721127505,2.242574630661252
physical_middle,-0.5346518145182719,0.5858732471940974,0.32638078026482936,-1.6381228517330246,0.10139606889028913,0.309020893123616,1.1107581054089064
physical_late,0.1630499128700131,1.177095440433957,0.3465524493009964,0.47049130138565814,0.638004047507778,0.5967957171270186,2.321654857981359
age_18_24,0.40270370667115174,1.4958636115873807,0.21799810753394036,1.847280745813146,0.06470646199807353,0.975734524852761,2.293254863364498
age_35_44,0.11449019497371885,1.1213016466179482,0.19253129416919673,0.5946575878366284,0.5520723773796751,0.7688462937872227,1.6353299649982873
age_45_54,0.5844232473115955,1.7939560182520715,0.2576877489002088,2.2679512309214087,0.023332179310479546,1.082598900976698,2.972733662041743
age_55_plus,0.6636278356331421,1.941824190472216,0.39004898626434625,1.701396129724548,0.08886862757215698,0.904064899530024,4.170808078782017
age_18_24_middle,0.4639534814868281,1.5903489880489285,0.3186010436575625,1.4562208464875361,0.14533157849212247,0.8517237093722377,2.969519194965705
age_18_24_late,-0.4606610991830869,0.6308664423261212,0.4532839193349136,-1.016274964836603,0.309498466846676,0.25947854556330474,1.5338164748426932
age_35_44_middle,0.20590806739174078,1.2286402467006707,0.2679487807557948,0.7684605498518869,0.44221361945168713,0.7266852109105654,2.0773188075771496
age_35_44_late,-0.1971094870229674,0.8211007285167219,0.311154937686727,-0.6334769696678207,0.5264222156455259,0.4462116185223551,1.5109566366813776
age_45_54_middle,-0.5712645117878589,0.5648107770602292,0.438695452060713,-1.3021892730011686,0.1928516912553502,0.23904778781802546,1.3345081198836546
age_45_54_late,-0.6059779573681798,0.5455406501784562,0.45548916232846726,-1.3303894087631232,0.1833900023451876,0.22341588016405634,1.3321103261710476
age_55_plus_middle,-0.9968341803754275,0.3690459265927491,0.6892228420777713,-1.4463162267958403,0.148088526489969,0.09559008973384209,1.4247805009276313
age_55_plus_late,0.1443138717173921,1.1552466508763641,0.6361827170272326,0.2268434332698393,0.8205454890592406,0.3320129379012647,4.0197072824853075
