variable,phase,hazard_ratio,interaction_p_value
gender_male,0-25%,0.823903013699902,
gender_male,25-50%,1.0236693710715716,0.2875265860235502
gender_male,50-75%,0.820724298783259,0.9860795474549539
gender_male,75-100%,1.0987520659158383,0.2872196829656557
physical_score,0-25%,0.9267390486628548,
physical_score,25-50%,0.8062951490681982,0.6482328683343179
physical_score,50-75%,0.5252076262673047,0.09063483943205747
physical_score,75-100%,1.5433327591264885,0.1665903555573952
age_18_24,0-25%,1.3691496823824827,
age_18_24,25-50%,2.437818999991708,0.05307287270848527
age_18_24,50-75%,1.1404080435404296,0.6422141630219662
age_18_24,75-100%,1.1685870179120112,0.7596883494220075
age_35_44,0-25%,1.122613811532206,
age_35_44,25-50%,1.20318807242902,0.7895485081165728
age_35_44,50-75%,1.1134151842692972,0.9755528271102087
age_35_44,75-100%,0.9981232310278072,0.7261457368778059
age_45_54,0-25%,1.2466566685766864,
age_45_54,25-50%,2.8256462121841617,0.030582224657874437
age_45_54,50-75%,0.5137303366477849,0.07766445058884859
age_45_54,75-100%,1.1254646822193157,0.8375344221876753
age_55_plus,0-25%,1.7896402744075195,
age_55_plus,25-50%,0.7517378314812048,0.2216674196973774
age_55_plus,50-75%,0.7351134401522762,0.18447060822567896
age_55_plus,75-100%,4.272677330053006,0.24265430710466146
