covariate,coef,exp(coef),se(coef),z,p,exp(coef) lower 95%,exp(coef) upper 95%
gender_male,-0.1937024578205754,0.823903013699902,0.13849151684576863,-1.3986593708572963,0.16191515333512724,0.6280466429851723,1.080837201449395
physical_score,-0.07608325394816753,0.9267390486628548,0.19313238730086735,-0.39394352760545953,0.6936227330875578,0.6346917840924556,1.3531690276164425
age_18_24,0.31418987735099124,1.3691496823824827,0.1981640054555894,1.5855042727293098,0.1128518069084011,0.9284818589726479,2.0189633590065394
age_35_44,0.11565972661454536,1.122613811532206,0.16646839610168293,0.6947848920458007,0.48719011756230524,0.8100880493607331,1.5557096180314978
age_45_54,0.2204653028678987,1.2466566685766864,0.2501681070451058,0.8812686216158976,0.3781724454329658,0.7634900572351084,2.0355901620184924
age_55_plus,0.5820146356385439,1.7896402744075195,0.3646242730113579,1.596203760193481,0.11044330837502275,0.8757839881244492,3.6570802334950896
male_phase_2,0.2170960524880635,1.2424634381109723,0.20412142588181567,1.0635632763694292,0.2875265860235502,0.8327893160507835,1.8536685873482102
physical_phase_2,-0.13922215964758713,0.8700347203795512,0.30516553305291483,-0.45621849313974266,0.6482328683343179,0.47838682628513424,1.5823186866244319
male_phase_3,-0.0038655795762741418,0.9961418821587162,0.22155384490095503,-0.017447585159274654,0.9860795474549539,0.6452592298284106,1.5378294544575284
physical_phase_3,-0.5678783620190073,0.5667265526634496,0.335613925888445,-1.6920583986963784,0.09063483943205747,0.29356107497019807,1.0940789255741872
male_phase_4,0.2878775080780035,1.333593939633345,0.2705003797972778,1.0642406797866557,0.2872196829656557,0.7848258019813226,2.2660733010267546
physical_phase_4,0.5100274613218604,1.6653369266713058,0.3687186164425473,1.3832430438220942,0.1665903555573952,0.8084408625142612,3.4304884969691987
age_18_24_phase_2,0.5769139097673782,1.780535051324421,0.2982503770847169,1.934327511691655,0.05307287270848527,0.9923830692747834,3.1946384084440935
age_18_24_phase_3,-0.1828037460570954,0.8329316058095158,0.3934603432843479,-0.46460526245458456,0.6422141630219662,0.38520799329840577,1.8010401446134527
age_18_24_phase_4,-0.15839453536913162,0.853512974475173,0.5178152306425318,-0.30589006656406675,0.7596883494220075,0.30934635554756973,2.354915079920619
age_35_44_phase_2,0.06931503434249293,1.0717738015238223,0.25970710935367297,0.26689694600581265,0.7895485081165728,0.6442286646809045,1.7830611157325518
age_35_44_phase_3,-0.008227692191662837,0.9918060626295397,0.2684859001702142,-0.030644783157874063,0.9755528271102087,0.5859912701435196,1.6786585670939949
age_35_44_phase_4,-0.11753825892422239,0.8891064948377154,0.3355770649400447,-0.35025712780824925,0.7261457368778059,0.4605852938991293,1.7163169767546567
age_45_54_phase_2,0.8182717832475545,2.2665793104128777,0.3783974108789793,2.1624666546919307,0.030582224657874437,1.0796387409749415,4.75842666200782
age_45_54_phase_3,-0.8865220909369615,0.41208646261389126,0.5024492580872221,-1.7644012338914965,0.07766445058884859,0.15392273229171807,1.1032499887527467
age_45_54_phase_4,-0.1022693016319253,0.902786397079369,0.49875723427132934,-0.20504825715728806,0.8375344221876753,0.3396581807427672,2.3995396694678415
age_55_plus_phase_2,-0.8673822798052939,0.4200496838562018,0.7097437093454884,-1.2221063299105204,0.2216674196973774,0.10451189478341444,1.6882455080672365
age_55_plus_phase_3,-0.8897450869738568,0.4107604475964555,0.6704355042421665,-1.3271151085287303,0.18447060822567896,0.11038571691868498,1.5284961679773315
age_55_plus_phase_4,0.870226004493832,2.387450367067496,0.7448154376045597,1.1683780444892655,0.24265430710466146,0.5545571407594255,10.278326318916564
