candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,effective_departure_cause,_combined_text,_effective_cause,audit_keyword,expected_causes
KL01::guénaëlle biras,KL01,KL KL01,Guénaëlle Biras,15.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL02::nicolas roy,KL02,KL KL02,Nicolas Roy,15.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL08::frédéric favier,KL08,KL KL08,Frédéric Favier,16.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,FINALISTE,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL13::teheiura teahui,KL13,Koh-Lanta : Raja Ampat,Teheiura Teahui,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 41,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 41 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL15::brice [ n 6 ],KL15,Koh-Lanta : Malaisie,Brice [ N 6 ],19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL17::chantel ménard,KL17,Koh-Lanta : Johor,Chantel Ménard,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 40,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 40 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL18::pascal salviani,KL18,Koh-Lanta : Thaïlande,Pascal Salviani,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 40,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 40 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL22::cindy,KL22,Koh-Lanta : La Guerre des Chefs,Cindy,20.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste [ 32 ] [source secondaire souhaitée],JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 32 ] [source secondaire souhaitee] finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL25::géraldine nicolle,KL25,Koh-Lanta : Le Totem Maudit,Géraldine Nicolle,22.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-Up Day 39,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 39 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL26::tania,KL26,Koh-Lanta : Le Feu Sacré,Tania,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Finaliste [ 28 ],JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 28 ] finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL27::meïssa seck,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Meïssa Seck,22.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 38,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 38 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL29::maël,KL29,Koh-Lanta : La Revanche des 4 Terres,Maël,23.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 72 ] , [ 73 ] , [ 74 ]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,"le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 72 ] , [ 73 ] , [ 74 ] finaliste fin_de_jeu autre_sortie",JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL31::jesta hillmann,KL31,Koh-Lanta : L'Île au trésor,Jesta Hillmann,19.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up Day 42,JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. runner-up day 42 finaliste fin_de_jeu autre_sortie,JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
KL32::brice,KL32,Koh-Lanta : Les 4 Terres,Brice,23.0,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,"Finaliste [ 101 ] [source secondaire souhaitée] , [ 102 ] [source secondaire souhaitée] , [ 103 ] [source secondaire souhaitée]",JURY_FINAL_DECISION,HIGH,Le candidat atteint le jury final mais perd la décision finale des jurés. Cette sortie est distincte de l'orientation et des poteaux.,JURY_FINAL_DECISION,VALIDATED_JURY_FINAL_DECISION,,,,,,,,,,,,,,,,,,,,JURY_FINAL_DECISION,"le candidat atteint le jury final mais perd la decision finale des jures. cette sortie est distincte de l'orientation et des poteaux. finaliste [ 101 ] [source secondaire souhaitee] , [ 102 ] [source secondaire souhaitee] , [ 103 ] [source secondaire souhaitee] finaliste fin_de_jeu autre_sortie",JURY_FINAL_DECISION,POTEAUX,FINALE_POTEAUX
