season_id,season_name,candidate_season_key,candidate_name,survival_time,final_position_raw
KL02,KL KL02,KL02::bernard,Bernard,14.0,INDETERMINE
KL03,Koh-Lanta : Bocas del Toro,KL03::moussa niangane,Moussa Niangane,16.0,INDETERMINE
KL07,KL KL07,KL07::maryline,Maryline,14.0,INDETERMINE
KL08,KL KL08,KL08::bertrand,Bertrand,15.0,INDETERMINE
KL15,Koh-Lanta : Malaisie,KL15::vanessa,Vanessa,18.0,Éliminée
KL22,Koh-Lanta : La Guerre des Chefs,KL22::steeve,Steeve,19.0,Éliminé
KL26,Koh-Lanta : Le Feu Sacré,KL26::nicolas,Nicolas,18.0,Éliminé [ 28 ]
KL29,Koh-Lanta : La Revanche des 4 Terres,KL29::jérôme#row22,Jérôme,22.0,"Éliminé [ 69 ] , [ 70 ] , [ 71 ]"
KL32,Koh-Lanta : Les 4 Terres,KL32::loïc,Loïc,22.0,"Éliminé [ 97 ] [source secondaire souhaitée] , [ 98 ] [source secondaire souhaitée] , [ 99 ] [source secondaire souhaitée] , [ 100 ] [source secondaire souhaitée]"
KL33,Koh-Lanta : Les Armes secrètes,KL33::jonathan,Jonathan,19.0,"Éliminé [ 105 ] , [ 106 ] , [ 107 ] , [ 108 ] , [ 109 ]"
