season_id,season_name,candidate_season_key,candidate_name,survival_time,event,final_position_raw
KL01,KL KL01,KL01::guénaëlle biras,Guénaëlle Biras,15.0,1,FINALISTE
KL02,KL KL02,KL02::nicolas roy,Nicolas Roy,15.0,1,FINALISTE
KL08,KL KL08,KL08::frédéric favier,Frédéric Favier,16.0,1,FINALISTE
KL13,Koh-Lanta : Raja Ampat,KL13::teheiura teahui,Teheiura Teahui,19.0,1,Runner-up Day 41
KL15,Koh-Lanta : Malaisie,KL15::brice [ n 6 ],Brice [ N 6 ],19.0,1,Finaliste
KL17,Koh-Lanta : Johor,KL17::chantel ménard,Chantel Ménard,19.0,1,Runner-up Day 40
KL18,Koh-Lanta : Thaïlande,KL18::pascal salviani,Pascal Salviani,20.0,1,Runner-up Day 40
KL22,Koh-Lanta : La Guerre des Chefs,KL22::cindy,Cindy,20.0,1,Finaliste [ 32 ] [source secondaire souhaitée]
KL25,Koh-Lanta : Le Totem Maudit,KL25::géraldine nicolle,Géraldine Nicolle,22.0,1,Runner-Up Day 39
KL26,Koh-Lanta : Le Feu Sacré,KL26::tania,Tania,19.0,1,Finaliste [ 28 ]
KL27,Koh-Lanta : Les Chasseurs d'Immunité,KL27::meïssa seck,Meïssa Seck,22.0,1,Runner-up Day 38
KL29,Koh-Lanta : La Revanche des 4 Terres,KL29::maël,Maël,23.0,1,"Finaliste [ 72 ] , [ 73 ] , [ 74 ]"
KL31,Koh-Lanta : L'Île au trésor,KL31::jesta hillmann,Jesta Hillmann,19.0,1,Runner-up Day 42
KL32,Koh-Lanta : Les 4 Terres,KL32::brice,Brice,23.0,1,"Finaliste [ 101 ] [source secondaire souhaitée] , [ 102 ] [source secondaire souhaitée] , [ 103 ] [source secondaire souhaitée]"
KL33,Koh-Lanta : Les Armes secrètes,KL33::lucie,Lucie,20.0,1,"Finaliste [ 110 ] , [ 111 ] , [ 112 ] , [ 113 ] , [ 114 ]"
