candidate_season_key,season_id,season_name,candidate_name,survival_time,old_departure_cause,reviewed_departure_cause,source_url_review,source_excerpt_review,classification_rule,confidence,review_status,reviewer_decision
KL13::maxime boulet,KL13,Koh-Lanta : Raja Ampat,Maxime Boulet,9.0,VOTE_CONSEIL,AMBASSADEURS,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Raja_Ampat,Maxime est éliminé directement lors de la réunion des ambassadeurs.,Sortie directe décidée par les ambassadeurs.,HIGH,COMPLETE,APPLY_CORRECTION
KL13::ella gbezan,KL13,Koh-Lanta : Raja Ampat,Ella Gbezan,17.0,ELIMINATION_CHALLENGE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Raja_Ampat,Ella est éliminée lors de l'épreuve finale d'orientation.,Élimination pendant l'épreuve finale d'orientation.,HIGH,COMPLETE,APPLY_CORRECTION
KL13::laurent maistret,KL13,Koh-Lanta : Raja Ampat,Laurent Maistret,18.0,VOTE_CONSEIL,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Raja_Ampat,Laurent participe aux poteaux puis est écarté avant le vote du jury final.,Élimination liée à l'épreuve finale des poteaux.,HIGH,COMPLETE,APPLY_CORRECTION
KL17::alban pellegrin,KL17,Koh-Lanta : Johor,Alban Pellegrin,8.0,VOTE_CONSEIL,AMBASSADEURS,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Johor,Alban est éliminé directement à la réunion des ambassadeurs.,Sortie directe décidée par les ambassadeurs.,HIGH,COMPLETE,APPLY_CORRECTION
KL17::bruno peisey,KL17,Koh-Lanta : Johor,Bruno Peisey,17.0,ELIMINATION_CHALLENGE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Johor,Bruno ne trouve pas de poignard lors de l'épreuve d'orientation et est éliminé.,Élimination pendant l'épreuve finale d'orientation.,HIGH,COMPLETE,APPLY_CORRECTION
KL17::mélissa bastin,KL17,Koh-Lanta : Johor,Mélissa Bastin,18.0,VOTE_CONSEIL,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Johor,Mélissa participe aux poteaux mais n'est pas choisie par Chantal pour le jury final.,Élimination liée à l'épreuve finale des poteaux.,HIGH,COMPLETE,APPLY_CORRECTION
KL18::cassandre girard,KL18,Koh-Lanta : Thaïlande,Cassandre Girard,9.0,ELIMINATION_CHALLENGE,AMBASSADEURS,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Tha%C3%AFlande,Cassandre est éliminée au tirage au sort entre les ambassadeurs.,"Le tirage au sort appartient ici au mécanisme des ambassadeurs, pas à une épreuve éliminatoire.",HIGH,COMPLETE,APPLY_CORRECTION
KL18::cécilia siharaj,KL18,Koh-Lanta : Thaïlande,Cécilia Siharaj,18.0,ELIMINATION_CHALLENGE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Tha%C3%AFlande,Cécilia est éliminée lors de l'épreuve finale d'orientation.,Élimination pendant l'épreuve finale d'orientation.,HIGH,COMPLETE,APPLY_CORRECTION
KL18::gabriel gubbels,KL18,Koh-Lanta : Thaïlande,Gabriel Gubbels,19.0,VOTE_CONSEIL,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Tha%C3%AFlande,Gabriel participe aux poteaux puis est écarté avant le vote du jury final.,Élimination liée à l'épreuve finale des poteaux.,HIGH,COMPLETE,APPLY_CORRECTION
KL25::setha el hajjami,KL25,Koh-Lanta : Le Totem Maudit,Setha El Hajjami,10.0,VOTE_CONSEIL,AMBASSADEURS,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit,Setha est éliminée directement par la décision des ambassadeurs.,Sortie directe décidée par les ambassadeurs.,HIGH,COMPLETE,APPLY_CORRECTION
KL25::jean-charles chatelus,KL25,Koh-Lanta : Le Totem Maudit,Jean-Charles Chatelus,21.0,VOTE_CONSEIL,FINALE_POTEAUX,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit,Jean-Charles participe à la finale à quatre et est éliminé lors des poteaux.,Élimination liée à l'épreuve finale des poteaux.,HIGH,COMPLETE,APPLY_CORRECTION
KL27::amri madani,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Amri Madani,19.0,ELIMINATION_CHALLENGE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9,Amri est éliminé lors de l'épreuve finale d'orientation.,Élimination pendant l'épreuve finale d'orientation.,HIGH,COMPLETE,APPLY_CORRECTION
KL27::pauline bonneil,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Pauline Bonneil,20.0,ELIMINATION_CHALLENGE,FINALE_ORIENTATION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9,Pauline est éliminée lors de l'épreuve finale d'orientation.,Élimination pendant l'épreuve finale d'orientation.,HIGH,COMPLETE,APPLY_CORRECTION
