candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,effective_departure_cause
KL13::ella gbezan,KL13,Koh-Lanta : Raja Ampat,Ella Gbezan,17.0,EPREUVE_ELIMINATOIRE,INDETERMINE,EPREUVE,Lost Challenge 8th jury member Day 40,FINALE_ORIENTATION,HIGH,Élimination pendant l'épreuve finale d'orientation.,FINALE_ORIENTATION,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Raja_Ampat,Ella est éliminée lors de l'épreuve finale d'orientation.,,,,,,,,,,,,,,,,,,FINALE_ORIENTATION
KL17::bruno peisey,KL17,Koh-Lanta : Johor,Bruno Peisey,17.0,EPREUVE_ELIMINATOIRE,INDETERMINE,EPREUVE,Lost Challenge 10th jury member Day 38,FINALE_ORIENTATION,HIGH,Élimination pendant l'épreuve finale d'orientation.,FINALE_ORIENTATION,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Johor,Bruno ne trouve pas de poignard lors de l'épreuve d'orientation et est éliminé.,,,,,,,,,,,,,,,,,,FINALE_ORIENTATION
KL18::cassandre girard,KL18,Koh-Lanta : Thaïlande,Cassandre Girard,9.0,DUEL_EXIL_PERDU,MECANIQUE_RETOUR,EPREUVE,Lost Duel 1st jury member Day 19,AMBASSADEURS,HIGH,"Le tirage au sort appartient ici au mécanisme des ambassadeurs, pas à une épreuve éliminatoire.",AMBASSADEURS,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Tha%C3%AFlande,Cassandre est éliminée au tirage au sort entre les ambassadeurs.,,,,,,,,,,,,,,,,,,AMBASSADEURS
KL18::cécilia siharaj,KL18,Koh-Lanta : Thaïlande,Cécilia Siharaj,18.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge 10th jury member Day 38,FINALE_ORIENTATION,HIGH,Élimination pendant l'épreuve finale d'orientation.,FINALE_ORIENTATION,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Tha%C3%AFlande,Cécilia est éliminée lors de l'épreuve finale d'orientation.,,,,,,,,,,,,,,,,,,FINALE_ORIENTATION
KL27::nathalie suhard,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Nathalie Suhard,3.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Duel Day 7,ELIMINATION_CHALLENGE,HIGH,departure_type_normalized=EPREUVE_ELIMINATOIRE,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,ELIMINATION_CHALLENGE
KL27::amri madani,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Amri Madani,19.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge 9th Jury Member Day 37,FINALE_ORIENTATION,HIGH,Élimination pendant l'épreuve finale d'orientation.,FINALE_ORIENTATION,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9,Amri est éliminé lors de l'épreuve finale d'orientation.,,,,,,,,,,,,,,,,,,FINALE_ORIENTATION
KL27::pauline bonneil,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Pauline Bonneil,20.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge 10th Jury Member Day 37,FINALE_ORIENTATION,HIGH,Élimination pendant l'épreuve finale d'orientation.,FINALE_ORIENTATION,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9,Pauline est éliminée lors de l'épreuve finale d'orientation.,,,,,,,,,,,,,,,,,,FINALE_ORIENTATION
KL31::jérôme merlier,KL31,Koh-Lanta : L'Île au trésor,Jérôme Merlier,7.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Duel Day 20,AMBASSADEURS,HIGH,Le tirage au sort appartient ici au mécanisme des ambassadeurs.,AMBASSADEURS,VALIDATED_FINAL_AUDIT_CORRECTION,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_L%27%C3%AEle_au_tr%C3%A9sor,Jérôme est éliminé au tirage au sort entre les deux ambassadeurs.,,,,,,,,,,,,,,,,,,AMBASSADEURS
KL31::julie navarro-camilleri,KL31,Koh-Lanta : L'Île au trésor,Julie Navarro-Camilleri,12.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge 4th jury member Day 32,ELIMINATION_CHALLENGE,HIGH,departure_type_normalized=EPREUVE_ELIMINATOIRE,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,ELIMINATION_CHALLENGE
KL31::candice boisson,KL31,Koh-Lanta : L'Île au trésor,Candice Boisson,16.0,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge 8th jury member Day 40,ELIMINATION_CHALLENGE,HIGH,departure_type_normalized=EPREUVE_ELIMINATOIRE,,AUTO_ACCEPT_CANDIDATE,,,,,,,,,,,,,,,,,,,,ELIMINATION_CHALLENGE
