candidate_season_key,season_id,age_42_plus,start,stop,event_conseil,physical_score,gender_male,age_18_25,age_34_41,phase,physical_x_middle,physical_x_late
KL03::alexandra denikine,KL03,0,0,1.0,0,0,0,0,0,Début 1–6,0,0
KL03::candice cohen,KL03,0,0,2.0,0,0,0,1,0,Début 1–6,0,0
KL03::michel jeandel,KL03,0,0,3.0,0,0,1,0,1,Début 1–6,0,0
KL03::sophie guilloix,KL03,0,0,4.0,1,0,0,0,1,Début 1–6,0,0
KL03::julie bourdon,KL03,0,0,5.0,0,0,0,1,0,Début 1–6,0,0
KL03::linda delamarre,KL03,0,0,6.0,1,0,0,1,0,Début 1–6,0,0
KL03::philippe huquet,KL03,1,0,6.0,0,0,1,0,0,Début 1–6,0,0
KL03::philippe huquet,KL03,1,6,7.0,0,0,1,0,0,Milieu 7–12,0,0
KL03::alexandre bérard,KL03,0,0,6.0,0,0,1,1,0,Début 1–6,0,0
KL03::alexandre bérard,KL03,0,6,8.0,1,0,1,1,0,Milieu 7–12,0,0
KL03::richard lecourt,KL03,0,0,6.0,0,0,1,0,0,Début 1–6,0,0
KL03::richard lecourt,KL03,0,6,9.0,1,0,1,0,0,Milieu 7–12,0,0
KL03::sylvie rivoal,KL03,0,0,6.0,0,0,0,0,0,Début 1–6,0,0
KL03::sylvie rivoal,KL03,0,6,10.0,1,0,0,0,0,Milieu 7–12,0,0
KL03::sébastien loew,KL03,0,0,6.0,0,0,1,0,0,Début 1–6,0,0
KL03::sébastien loew,KL03,0,6,11.0,1,0,1,0,0,Milieu 7–12,0,0
KL03::valérie dot,KL03,0,0,6.0,0,0,0,0,0,Début 1–6,0,0
KL03::valérie dot,KL03,0,6,12.0,1,0,0,0,0,Milieu 7–12,0,0
KL03::hélène patry,KL03,0,0,6.0,0,0,0,0,0,Début 1–6,0,0
KL03::hélène patry,KL03,0,6,12.0,0,0,0,0,0,Milieu 7–12,0,0
KL03::hélène patry,KL03,0,12,13.0,1,0,0,0,0,Fin 13+,0,0
KL03::moundir zoughari,KL03,0,0,6.0,0,1,1,0,0,Début 1–6,0,0
KL03::moundir zoughari,KL03,0,6,12.0,0,1,1,0,0,Milieu 7–12,1,0
KL03::moundir zoughari,KL03,0,12,14.0,1,1,1,0,0,Fin 13+,0,1
KL03::antoine sanchez,KL03,1,0,6.0,0,0,1,0,0,Début 1–6,0,0
KL03::antoine sanchez,KL03,1,6,12.0,0,0,1,0,0,Milieu 7–12,0,0
KL03::antoine sanchez,KL03,1,12,15.0,0,0,1,0,0,Fin 13+,0,0
KL03::moussa niangane,KL03,0,0,6.0,0,1,1,1,0,Début 1–6,0,0
KL03::moussa niangane,KL03,0,6,12.0,0,1,1,1,0,Milieu 7–12,1,0
KL03::moussa niangane,KL03,0,12,16.0,0,1,1,1,0,Fin 13+,0,1
KL03::delphine bano,KL03,0,0,6.0,0,0,0,0,0,Début 1–6,0,0
KL03::delphine bano,KL03,0,6,12.0,0,0,0,0,0,Milieu 7–12,0,0
KL03::delphine bano,KL03,0,12,18.0,0,0,0,0,0,Fin 13+,0,0
KL03::isabelle seguin,KL03,0,0,6.0,0,0,0,0,1,Début 1–6,0,0
KL03::isabelle seguin,KL03,0,6,12.0,0,0,0,0,1,Milieu 7–12,0,0
KL03::isabelle seguin,KL03,0,12,18.0,0,0,0,0,1,Fin 13+,0,0
KL08::valérie,KL08,0,0,1.0,0,0,0,0,1,Début 1–6,0,0
KL08::céga,KL08,1,0,2.0,0,0,1,0,0,Début 1–6,0,0
KL08::irya,KL08,0,0,3.0,1,0,0,1,0,Début 1–6,0,0
KL08::morgane,KL08,0,0,4.0,1,0,0,1,0,Début 1–6,0,0
KL08::jessica,KL08,0,0,5.0,1,0,0,0,0,Début 1–6,0,0
KL08::alain,KL08,0,0,6.0,1,1,1,1,0,Début 1–6,0,0
KL08::jean-bernard,KL08,0,0,6.0,0,0,1,0,1,Début 1–6,0,0
KL08::jean-bernard,KL08,0,6,7.0,1,0,1,0,1,Milieu 7–12,0,0
KL08::christopher,KL08,0,0,6.0,0,1,1,0,1,Début 1–6,0,0
KL08::christopher,KL08,0,6,8.0,0,1,1,0,1,Milieu 7–12,1,0
KL08::christophe,KL08,0,0,6.0,0,1,1,0,1,Début 1–6,0,0
KL08::christophe,KL08,0,6,9.0,1,1,1,0,1,Milieu 7–12,1,0
KL08::charlène,KL08,0,0,6.0,0,0,0,1,0,Début 1–6,0,0
KL08::charlène,KL08,0,6,10.0,1,0,0,1,0,Milieu 7–12,0,0
KL08::hakim,KL08,0,0,6.0,0,0,1,0,1,Début 1–6,0,0
KL08::hakim,KL08,0,6,11.0,1,0,1,0,1,Milieu 7–12,0,0
KL08::régis,KL08,0,0,6.0,0,0,1,1,0,Début 1–6,0,0
KL08::régis,KL08,0,6,12.0,1,0,1,1,0,Milieu 7–12,0,0
KL08::carole,KL08,0,0,6.0,0,0,0,0,1,Début 1–6,0,0
KL08::carole,KL08,0,6,12.0,0,0,0,0,1,Milieu 7–12,0,0
KL08::carole,KL08,0,12,13.0,1,0,0,0,1,Fin 13+,0,0
KL08::nathalie,KL08,1,0,6.0,0,0,0,0,0,Début 1–6,0,0
KL08::nathalie,KL08,1,6,12.0,0,0,0,0,0,Milieu 7–12,0,0
KL08::nathalie,KL08,1,12,14.0,0,0,0,0,0,Fin 13+,0,0
KL08::bertrand,KL08,0,0,6.0,0,1,1,0,1,Début 1–6,0,0
KL08::bertrand,KL08,0,6,12.0,0,1,1,0,1,Milieu 7–12,1,0
KL08::bertrand,KL08,0,12,15.0,0,1,1,0,1,Fin 13+,0,1
KL08::frédéric favier,KL08,0,0,6.0,0,0,1,0,0,Début 1–6,0,0
KL08::frédéric favier,KL08,0,6,12.0,0,0,1,0,0,Milieu 7–12,0,0
