candidate_season_key,season_id,season_name,season_year,candidate_name,age,gender,physical_score_previous,survival_time,event,censored,final_position_raw,departure_type_normalized,departure_category,departure_model_category,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,final_departure_cause,age_band,event_vote_conseil,event_medical,event_finale_orientation,event_finale_poteaux,event_elimination_challenge,event_jury_final_decision,event_voluntary,event_ambassadeurs,event_destins_lies,physical_score,physical_profile,physical_score_source,physical_score_reviewer_status,event_vote_conseil_combined,analysis_departure_cause,season_cast_size,normalized_exit_rank_20,normalized_rank_block_3,reached_orientation,reached_poteaux,reached_jury_final,jury_final_win,final_phase_reached,prefinal_exit_event,prefinal_exit_order,prefinal_exit_count_season,prefinal_rank_15,prefinal_block_3,prefinal_block_5
KL03::alexandra denikine,KL03,Koh-Lanta : Bocas del Toro,2003,Alexandra Denikine,27.0,FEMALE,0.0,1.0,1,False,ABANDON_MEDICAL,CO_VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,False,1,1,MANUAL_FINAL,0,1,1,1,MEDICAL,26-33,0,1,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,MEDICAL,18,1,1–3,0,0,0,0,0,1,1.0,14.0,1.0,1–3,1–5
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,2003,Candice Cohen,23.0,FEMALE,0.0,2.0,1,False,ABANDON_VOLONTAIRE,CO_VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,False,2,2,MANUAL_FINAL,0,1,1,1,VOLUNTARY,18-25,0,0,0,0,0,0,1,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,VOLUNTARY,18,2,1–3,0,0,0,0,0,1,2.0,14.0,2.0,1–3,1–5
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,2003,Michel Jeandel,41.0,MALE,1.0,3.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,3,3,MANUAL_FINAL,1,1,1,1,MEDICAL,34-41,0,1,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,MEDICAL,18,3,1–3,0,0,0,0,0,1,3.0,14.0,3.0,1–3,1–5
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,2003,Sophie Guilloix,40.0,FEMALE,0.0,4.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,4,4,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,34-41,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,18,4,4–6,0,0,0,0,0,1,4.0,14.0,4.0,4–6,1–5
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,2003,Julie Bourdon,22.0,FEMALE,0.0,5.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,5,5,MANUAL_FINAL,0,1,1,1,MEDICAL,18-25,0,1,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,MEDICAL,18,5,4–6,0,0,0,0,0,1,5.0,14.0,5.0,4–6,1–5
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,2003,Linda Delamarre,25.0,FEMALE,0.0,6.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,6,6,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,18,6,4–6,0,0,0,0,0,1,6.0,14.0,6.0,4–6,6–10
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,2003,Philippe Huquet,43.0,MALE,0.0,7.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,7,7,MANUAL_FINAL,1,1,1,1,MEDICAL,42+,0,1,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,MEDICAL,18,7,7–9,0,0,0,0,0,1,7.0,14.0,7.0,7–9,6–10
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,2003,Alexandre Bérard,22.0,MALE,0.0,8.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,8,8,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,18,8,7–9,0,0,0,0,0,1,8.0,14.0,8.0,7–9,6–10
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,2003,Richard Lecourt,32.0,MALE,0.0,9.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,9,9,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,26-33,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,18,9,7–9,0,0,0,0,0,1,9.0,14.0,9.0,7–9,6–10
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,2003,Sylvie Rivoal,26.0,FEMALE,0.0,10.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,10,10,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,26-33,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,18,11,10–12,0,0,0,0,0,1,10.0,14.0,10.0,10–12,6–10
