season_id,season_name,total_candidates,physical_score_1,pourcentage
KL01,KL KL01,16,0,0.0
KL02,KL KL02,16,0,0.0
KL03,Koh-Lanta : Bocas del Toro,18,2,11.1
KL07,KL KL07,16,4,25.0
KL08,KL KL08,17,5,29.4
KL13,Koh-Lanta : Raja Ampat,20,4,20.0
KL15,Koh-Lanta : Malaisie,20,5,25.0
KL17,Koh-Lanta : Johor,20,1,5.0
KL18,Koh-Lanta : Thaïlande,21,3,14.3
KL22,Koh-Lanta : La Guerre des Chefs,21,3,14.3
KL25,Koh-Lanta : Le Totem Maudit,24,8,33.3
KL26,Koh-Lanta : Le Feu Sacré,20,5,25.0
KL27,Koh-Lanta : Les Chasseurs d'Immunité,22,7,31.8
KL29,Koh-Lanta : La Revanche des 4 Terres,24,6,25.0
KL31,Koh-Lanta : L'Île au trésor,20,4,20.0
KL32,Koh-Lanta : Les 4 Terres,24,6,25.0
KL33,Koh-Lanta : Les Armes secrètes,21,5,23.8
