,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-1.8476186074401055,1.042003659107068,-1.7731402296834533,0.07620547322460883,-3.8899082510489107,0.19467103616869963
"C(sex_group, Treatment(reference='Femme'))[T.Homme]",-0.4726917563530148,0.5431947829011142,-0.8702067310522492,0.3841874381498832,-1.5373339674292523,0.5919504547232226
"C(age_group, Treatment(reference='26–33 ans'))[T.18–25 ans]",-1.433813852150111,0.8652280283185586,-1.6571514158371798,0.09748886626004265,-3.1296296260690877,0.26200192176886583
"C(age_group, Treatment(reference='26–33 ans'))[T.34–41 ans]",-0.16740452464946443,0.6144741133903914,-0.27243543869700493,0.7852872266837793,-1.3717516563268128,1.036942607027884
"C(age_group, Treatment(reference='26–33 ans'))[T.42 ans et plus]",-0.8706631536745109,0.7875699487325769,-1.105505809453058,0.26894047851647196,-2.4142718884964185,0.6729455811473968
C(season_id)[T.KL02],-0.19497216506833293,1.467963882079,-0.13281809412926707,0.8943372440954893,-3.0721285045487754,2.68218417441211
C(season_id)[T.KL03],0.21279198998255505,1.298215436185227,0.16391115376646492,0.8698010864241572,-2.3316635091144464,2.757247489079557
C(season_id)[T.KL07],0.34307939013863276,1.355328318240819,0.25313378723167307,0.8001648304663445,-2.313315300840613,2.999474081117879
C(season_id)[T.KL08],-0.6659147221040282,1.4821221540165928,-0.44929813666126006,0.6532166017778351,-3.570820764665477,2.238991320457421
C(season_id)[T.KL13],-0.5953037056641872,1.542524682272623,-0.38592815564358945,0.699549877752959,-3.6185965281826187,2.427989116854244
C(season_id)[T.KL15],-0.6502509268136585,1.5804789666265344,-0.41142649826058214,0.6807598270416091,-3.747932779724748,2.447430926097431
C(season_id)[T.KL17],-0.43354564897916403,1.4695323289204998,-0.2950228725472418,0.7679764071732037,-3.313776087780612,2.4466847898222843
C(season_id)[T.KL18],-0.862689837054039,1.501416360688575,-0.5745840125642395,0.5655726670634499,-3.8054118298028454,2.0800321556947674
C(season_id)[T.KL22],-0.7645470628699165,1.572620716124385,-0.4861611290191381,0.6268529287526092,-3.8468270278152996,2.3177329020754662
C(season_id)[T.KL25],-0.4810292208387077,1.4578028618146281,-0.32996863529266046,0.7414236614566412,-3.3382703265548,2.3762118848773848
C(season_id)[T.KL26],-0.9830460978580515,1.4800053778566802,-0.6642179228305798,0.5065508439064548,-3.883803335382739,1.9177111396666355
C(season_id)[T.KL27],-1.0284383345508883,1.5751560961870243,-0.6529120110955516,0.5138130051373734,-4.115687553106165,2.0588108840043886
C(season_id)[T.KL29],-1.006678318621987,1.4067621493062696,-0.7155995198750692,0.47423867017322263,-3.7638814660764335,1.7505248288324595
C(season_id)[T.KL31],-0.7637100059421307,1.5504013912378005,-0.49258857110054854,0.6223033251203369,-3.8024408943490133,2.2750208824647524
C(season_id)[T.KL32],-1.1094204835398804,1.5320797909624841,-0.7241270918683156,0.4689877135407928,-4.112241695268004,1.893400728188243
C(season_id)[T.KL33],-0.9300482107872347,1.5666447030692503,-0.5936561167730983,0.5527421395631289,-4.000615405373412,2.140518983798943
physical_score,1.0443397325257702,0.5966782293041067,1.7502561367854188,0.08007412604198996,-0.12512810726941082,2.213807572320951
