covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,ci_lower,ci_upper,mechanism,events,n
gender_male,-0.2829395704731717,0.7535653240798056,0.14302291960777574,-0.5632593418681797,-0.0026197990781637315,0.5693503290031735,0.9973836296006378,0.0,-1.9782813219664486,0.04789697901892304,4.383921525292633,0.7535653240798056,0.5693503290031735,0.9973836296006379,Conseil,205,340
physical_score,-0.28497565989342744,0.7520325586492406,0.17938559997430784,-0.6365649751881801,0.06661365540132519,0.5291068010336658,1.0688824414346143,0.0,-1.5886206024019907,0.11214607398326869,3.156548979536839,0.7520325586492406,0.5291068010336658,1.0688824414346143,Conseil,205,340
age_18_25,0.4884433968388029,1.6297773279036674,0.1905263138082861,0.11501868366738571,0.8618681100102201,1.1218943984779075,2.3675794639428567,0.0,2.5636532144861146,0.01035769747518459,6.593152863422979,1.6297773279036674,1.1218943984779075,2.367579463942857,Conseil,205,340
age_34_41,0.2673227537657238,1.3064620438353265,0.17199798578433523,-0.06978710378500547,0.6044326113164531,0.932592344152871,1.8302134718174266,0.0,1.5542202575611226,0.12013188701414126,3.057308953575435,1.3064620438353265,0.9325923441528711,1.8302134718174268,Conseil,205,340
age_42_plus,0.3354522584912694,1.3985727586193129,0.21452699404912895,-0.08501292355666185,0.7559174405392006,0.9185004140326093,2.129564376094654,0.0,1.563683209090448,0.11789198288367102,3.084462482144211,1.3985727586193129,0.9185004140326092,2.129564376094654,Conseil,205,340
gender_male,0.41158740396131166,1.5092116131172708,0.38478318908711795,-0.34257378850590503,1.1657485964285283,0.7099407319868866,3.2083237241416747,0.0,1.069660566351107,0.28477212228785576,1.8121201740241157,1.5092116131172708,0.7099407319868866,3.208323724141675,Blessure / médical,23,340
physical_score,-0.2720391897362707,0.7618244048073024,0.4709520500042571,-1.1950882461899213,0.6510098667173798,0.3026772428901144,1.9174762470355382,0.0,-0.5776367036385375,0.5635094213402722,0.8274883638026168,0.7618244048073024,0.3026772428901144,1.9174762470355382,Blessure / médical,23,340
age_18_25,0.5017606318034151,1.6516266186778088,0.4290662854179901,-0.33919383459622876,1.3427150982030591,0.7123443587251298,3.829426672806273,0.0,1.1694245128456253,0.24223263843263673,2.045534827986861,1.6516266186778088,0.7123443587251298,3.8294266728062736,Blessure / médical,23,340
age_34_41,-0.07510580432174636,0.9276453322508816,0.45056738449927763,-0.9582016505487412,0.8079900419052484,0.383582080707239,2.243394323478909,0.0,-0.16669161352016765,0.8676127046530857,0.20487691600603103,0.9276453322508816,0.383582080707239,2.243394323478909,Blessure / médical,23,340
age_42_plus,0.7026957699035404,2.0191886451390384,0.40700971549899917,-0.0950286138323918,1.5004201536394728,0.9093469141957745,4.483572463941584,0.0,1.7264840202697038,0.08426037170166131,3.5690019096333914,2.0191886451390384,0.9093469141957745,4.483572463941585,Blessure / médical,23,340
gender_male,-0.17321800468642523,0.8409542628891775,0.3693580622841177,-0.8971465041627981,0.5507104947899476,0.40773146138195043,1.7344849226854062,0.0,-0.4689704175272135,0.6390907813075775,0.6459072177998523,0.8409542628891775,0.4077314613819504,1.734484922685406,Épreuve éliminatoire,16,340
physical_score,-0.2592496482994298,0.7716303627881931,0.5167624764718565,-1.2720854907459955,0.753586194147136,0.2802465603121641,2.1246056191141576,0.0,-0.5016804820455049,0.6158922960681533,0.6992500126586148,0.7716303627881931,0.2802465603121641,2.1246056191141576,Épreuve éliminatoire,16,340
age_18_25,-0.08843172910292968,0.9153656014335825,0.4625225618446772,-0.9949592923556969,0.8180958341498374,0.3697384954208708,2.2661805429107265,0.0,-0.1911944116849948,0.8483732816864289,0.2372289089381133,0.9153656014335825,0.3697384954208708,2.2661805429107265,Épreuve éliminatoire,16,340
age_34_41,0.16027657743358883,1.173835482504838,0.4969385071786328,-0.8137049991676306,1.1342581540348082,0.44321291697807863,3.1088663872481783,0.0,0.32252798911390207,0.7470527374264476,0.42071800269212034,1.173835482504838,0.4432129169780786,3.1088663872481783,Épreuve éliminatoire,16,340
age_42_plus,-0.08656499930843051,0.9170759375456633,0.5478547095656265,-1.16034049881771,0.9872105002008489,0.3133794573792909,2.6837377352636747,0.0,-0.15800721942696203,0.8744511099022335,0.1935503688002456,0.9170759375456633,0.31337945737929085,2.6837377352636747,Épreuve éliminatoire,16,340
