season_id,N_total,season_name,Conseil,Blessure / médical,Épreuve éliminatoire,Orientation,Poteaux,Défaite au jury final,Abandon volontaire,Ambassadeurs,Vainqueur / co-vainqueur
KL03,18,Koh-Lanta : Bocas del Toro,9,4,0,1,1,0,1,0,2
KL08,17,KL KL08,10,2,0,1,1,1,1,0,1
KL17,20,Koh-Lanta : Johor,11,3,0,1,1,1,1,1,1
KL31,20,Koh-Lanta : L'Île au trésor,13,0,2,1,1,1,0,1,1
KL22,21,Koh-Lanta : La Guerre des Chefs,12,2,1,2,1,1,0,1,1
KL29,24,Koh-Lanta : La Revanche des 4 Terres,14,2,1,2,1,1,1,1,1
KL26,20,Koh-Lanta : Le Feu Sacré,11,1,1,1,1,1,2,1,1
KL25,24,Koh-Lanta : Le Totem Maudit,14,1,2,1,1,1,1,1,2
KL32,24,Koh-Lanta : Les 4 Terres,15,2,2,2,1,1,0,0,1
KL33,21,Koh-Lanta : Les Armes secrètes,12,1,2,2,1,1,0,1,1
KL27,22,Koh-Lanta : Les Chasseurs d'Immunité,13,1,2,2,1,1,0,1,1
KL15,20,Koh-Lanta : Malaisie,12,2,0,2,1,1,0,1,1
KL02,16,KL KL02,11,1,1,0,1,1,0,0,1
KL07,16,KL KL07,10,0,0,1,1,0,2,0,2
KL13,20,Koh-Lanta : Raja Ampat,12,1,0,1,1,1,2,1,1
KL18,21,Koh-Lanta : Thaïlande,14,0,0,1,1,1,2,1,1
KL01,16,KL KL01,12,0,2,0,0,1,0,0,1
