season_id,N_total,season_name,Conseil,Blessure / médical,Épreuve éliminatoire,Orientation,Poteaux,Défaite au jury final,Abandon volontaire,Ambassadeurs,Vainqueur / co-vainqueur
KL03,18,Koh-Lanta : Bocas del Toro,50.0,22.22222222222222,0.0,5.555555555555555,5.555555555555555,0.0,5.555555555555555,0.0,11.11111111111111
KL08,17,KL KL08,58.82352941176471,11.76470588235294,0.0,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,0.0,5.88235294117647
KL17,20,Koh-Lanta : Johor,55.00000000000001,15.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
KL31,20,Koh-Lanta : L'Île au trésor,65.0,0.0,10.0,5.0,5.0,5.0,0.0,5.0,5.0
KL22,21,Koh-Lanta : La Guerre des Chefs,57.14285714285714,9.523809523809524,4.761904761904762,9.523809523809524,4.761904761904762,4.761904761904762,0.0,4.761904761904762,4.761904761904762
KL29,24,Koh-Lanta : La Revanche des 4 Terres,58.333333333333336,8.333333333333332,4.166666666666666,8.333333333333332,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666
KL26,20,Koh-Lanta : Le Feu Sacré,55.00000000000001,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0
KL25,24,Koh-Lanta : Le Totem Maudit,58.333333333333336,4.166666666666666,8.333333333333332,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,8.333333333333332
KL32,24,Koh-Lanta : Les 4 Terres,62.5,8.333333333333332,8.333333333333332,8.333333333333332,4.166666666666666,4.166666666666666,0.0,0.0,4.166666666666666
KL33,21,Koh-Lanta : Les Armes secrètes,57.14285714285714,4.761904761904762,9.523809523809524,9.523809523809524,4.761904761904762,4.761904761904762,0.0,4.761904761904762,4.761904761904762
KL27,22,Koh-Lanta : Les Chasseurs d'Immunité,59.09090909090909,4.545454545454546,9.090909090909092,9.090909090909092,4.545454545454546,4.545454545454546,0.0,4.545454545454546,4.545454545454546
KL15,20,Koh-Lanta : Malaisie,60.0,10.0,0.0,10.0,5.0,5.0,0.0,5.0,5.0
KL02,16,KL KL02,68.75,6.25,6.25,0.0,6.25,6.25,0.0,0.0,6.25
KL07,16,KL KL07,62.5,0.0,0.0,6.25,6.25,0.0,12.5,0.0,12.5
KL13,20,Koh-Lanta : Raja Ampat,60.0,5.0,0.0,5.0,5.0,5.0,10.0,5.0,5.0
KL18,21,Koh-Lanta : Thaïlande,66.66666666666666,0.0,0.0,4.761904761904762,4.761904761904762,4.761904761904762,9.523809523809524,4.761904761904762,4.761904761904762
KL01,16,KL KL01,75.0,0.0,12.5,0.0,0.0,6.25,0.0,0.0,6.25
