Étape,Variable,Modalité,N exposés,Sorties,Probabilité conditionnelle brute,Type de données,Interprétation
Orientation,Sexe,Femme,32,10,0.3125,Données brutes conditionnelles,"Parmi les candidats de la modalité Femme ayant réellement atteint l’étape Orientation, 10 sur 32 ont été éliminés."
Orientation,Sexe,Homme,40,11,0.275,Données brutes conditionnelles,"Parmi les candidats de la modalité Homme ayant réellement atteint l’étape Orientation, 11 sur 40 ont été éliminés."
Orientation,Profil physique,Profil non physique,51,18,0.35294117647058826,Données brutes conditionnelles,"Parmi les candidats de la modalité Profil non physique ayant réellement atteint l’étape Orientation, 18 sur 51 ont été éliminés."
Orientation,Profil physique,Profil physique,21,3,0.14285714285714285,Données brutes conditionnelles,"Parmi les candidats de la modalité Profil physique ayant réellement atteint l’étape Orientation, 3 sur 21 ont été éliminés."
Orientation,Âge,18–25 ans,11,3,0.2727272727272727,Données brutes conditionnelles,"Parmi les candidats de la modalité 18–25 ans ayant réellement atteint l’étape Orientation, 3 sur 11 ont été éliminés."
Orientation,Âge,26–33 ans,26,7,0.2692307692307692,Données brutes conditionnelles,"Parmi les candidats de la modalité 26–33 ans ayant réellement atteint l’étape Orientation, 7 sur 26 ont été éliminés."
Orientation,Âge,34–41 ans,19,4,0.21052631578947367,Données brutes conditionnelles,"Parmi les candidats de la modalité 34–41 ans ayant réellement atteint l’étape Orientation, 4 sur 19 ont été éliminés."
Orientation,Âge,42 ans et plus,16,7,0.4375,Données brutes conditionnelles,"Parmi les candidats de la modalité 42 ans et plus ayant réellement atteint l’étape Orientation, 7 sur 16 ont été éliminés."
Poteaux,Sexe,Femme,22,4,0.18181818181818182,Données brutes conditionnelles,"Parmi les candidats de la modalité Femme ayant réellement atteint l’étape Poteaux, 4 sur 22 ont été éliminés."
Poteaux,Sexe,Homme,29,12,0.41379310344827586,Données brutes conditionnelles,"Parmi les candidats de la modalité Homme ayant réellement atteint l’étape Poteaux, 12 sur 29 ont été éliminés."
Poteaux,Profil physique,Profil non physique,33,10,0.30303030303030304,Données brutes conditionnelles,"Parmi les candidats de la modalité Profil non physique ayant réellement atteint l’étape Poteaux, 10 sur 33 ont été éliminés."
Poteaux,Profil physique,Profil physique,18,6,0.3333333333333333,Données brutes conditionnelles,"Parmi les candidats de la modalité Profil physique ayant réellement atteint l’étape Poteaux, 6 sur 18 ont été éliminés."
Poteaux,Âge,18–25 ans,8,2,0.25,Données brutes conditionnelles,"Parmi les candidats de la modalité 18–25 ans ayant réellement atteint l’étape Poteaux, 2 sur 8 ont été éliminés."
Poteaux,Âge,26–33 ans,19,4,0.21052631578947367,Données brutes conditionnelles,"Parmi les candidats de la modalité 26–33 ans ayant réellement atteint l’étape Poteaux, 4 sur 19 ont été éliminés."
Poteaux,Âge,34–41 ans,15,7,0.4666666666666667,Données brutes conditionnelles,"Parmi les candidats de la modalité 34–41 ans ayant réellement atteint l’étape Poteaux, 7 sur 15 ont été éliminés."
Poteaux,Âge,42 ans et plus,9,3,0.3333333333333333,Données brutes conditionnelles,"Parmi les candidats de la modalité 42 ans et plus ayant réellement atteint l’étape Poteaux, 3 sur 9 ont été éliminés."
Défaite au jury final,Sexe,Femme,18,7,0.3888888888888889,Données brutes conditionnelles,"Parmi les candidats de la modalité Femme ayant réellement atteint l’étape Défaite au jury final, 7 sur 18 ont été éliminés."
Défaite au jury final,Sexe,Homme,17,8,0.47058823529411764,Données brutes conditionnelles,"Parmi les candidats de la modalité Homme ayant réellement atteint l’étape Défaite au jury final, 8 sur 17 ont été éliminés."
Défaite au jury final,Profil physique,Profil non physique,23,10,0.43478260869565216,Données brutes conditionnelles,"Parmi les candidats de la modalité Profil non physique ayant réellement atteint l’étape Défaite au jury final, 10 sur 23 ont été éliminés."
Défaite au jury final,Profil physique,Profil physique,12,5,0.4166666666666667,Données brutes conditionnelles,"Parmi les candidats de la modalité Profil physique ayant réellement atteint l’étape Défaite au jury final, 5 sur 12 ont été éliminés."
Défaite au jury final,Âge,18–25 ans,6,4,0.6666666666666666,Données brutes conditionnelles,"Parmi les candidats de la modalité 18–25 ans ayant réellement atteint l’étape Défaite au jury final, 4 sur 6 ont été éliminés."
Défaite au jury final,Âge,26–33 ans,15,6,0.4,Données brutes conditionnelles,"Parmi les candidats de la modalité 26–33 ans ayant réellement atteint l’étape Défaite au jury final, 6 sur 15 ont été éliminés."
Défaite au jury final,Âge,34–41 ans,8,1,0.125,Données brutes conditionnelles,"Parmi les candidats de la modalité 34–41 ans ayant réellement atteint l’étape Défaite au jury final, 1 sur 8 ont été éliminés."
Défaite au jury final,Âge,42 ans et plus,6,4,0.6666666666666666,Données brutes conditionnelles,"Parmi les candidats de la modalité 42 ans et plus ayant réellement atteint l’étape Défaite au jury final, 4 sur 6 ont été éliminés."
