Indicateur,Chargement axe 1,Chargement axe 2
Bloc 1–5,-0.37910599496013214,-0.2653466626687207
Bloc 6–10,-0.1821886055603498,-0.05621065607694109
Bloc 11–15,0.3895777259659965,-0.06444345471329306
Bloc Phase finale atteinte,0.21195782311370348,0.6051080749832367
Victoire,0.4050831975342996,0.15141221245784903
Réussite orientation,0.316831879944431,0.10828548557688043
Réussite poteaux,-0.03903325744073507,-0.4236652346581338
Victoire jury,0.34935874193352173,-0.14599093463401164
Sortie médicale,-0.3284791679486741,0.41966779666609716
Épreuve éliminatoire,0.36116548373222446,-0.38019037521858473
