Mécanisme,Variable,Modalité,N total,Événements,Taux brut,Type de données,Précaution
Conseil,Sexe,Femme,171,114,0.6666666666666666,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Conseil,Sexe,Homme,169,91,0.5384615384615384,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Conseil,Profil physique,Profil non physique,272,169,0.6213235294117647,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Conseil,Profil physique,Profil physique,68,36,0.5294117647058824,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Conseil,Âge,18–25 ans,80,50,0.625,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Conseil,Âge,26–33 ans,102,59,0.5784313725490197,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Conseil,Âge,34–41 ans,92,59,0.6413043478260869,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Conseil,Âge,42 ans et plus,66,37,0.5606060606060606,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Sexe,Femme,171,8,0.04678362573099415,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Sexe,Homme,169,15,0.08875739644970414,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Profil physique,Profil non physique,272,19,0.06985294117647059,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Profil physique,Profil physique,68,4,0.058823529411764705,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Âge,18–25 ans,80,6,0.075,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Âge,26–33 ans,102,6,0.058823529411764705,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Âge,34–41 ans,92,4,0.043478260869565216,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Blessure / médical,Âge,42 ans et plus,66,7,0.10606060606060606,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Sexe,Femme,171,9,0.05263157894736842,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Sexe,Homme,169,7,0.04142011834319527,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Profil physique,Profil non physique,272,13,0.04779411764705882,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Profil physique,Profil physique,68,3,0.04411764705882353,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Âge,18–25 ans,80,3,0.0375,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Âge,26–33 ans,102,6,0.058823529411764705,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Âge,34–41 ans,92,5,0.05434782608695652,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Épreuve éliminatoire,Âge,42 ans et plus,66,2,0.030303030303030304,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Orientation,Sexe,Femme,171,10,0.05847953216374269,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Orientation,Sexe,Homme,169,11,0.0650887573964497,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Orientation,Profil physique,Profil non physique,272,18,0.0661764705882353,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Orientation,Profil physique,Profil physique,68,3,0.04411764705882353,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Orientation,Âge,18–25 ans,80,3,0.0375,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
Orientation,Âge,26–33 ans,102,7,0.06862745098039216,Données brutes,Le taux ne contrôle pas les autres variables et ne représente pas nécessairement le groupe exactement exposé au mécanisme.
