analysis,season_id,sex_group,reason
Victoire,KL01,Femme,Pas de variation du profil physique
Victoire,KL01,Homme,Pas de variation du profil physique
Victoire,KL02,Femme,Pas de variation du profil physique
Victoire,KL02,Homme,Pas de variation du profil physique
Victoire,KL03,Femme,Pas de variation du profil physique
Victoire,KL03,Homme,Pas de variation du résultat
Victoire,KL08,Homme,Pas de variation du résultat
Victoire,KL13,Femme,Pas de variation du profil physique
Victoire,KL15,Femme,Pas de variation du résultat
Victoire,KL17,Femme,Pas de variation du résultat
Victoire,KL17,Homme,Pas de variation du profil physique
Victoire,KL18,Femme,Pas de variation du profil physique
Victoire,KL18,Homme,Pas de variation du résultat
Victoire,KL22,Homme,Pas de variation du résultat
Victoire,KL25,Femme,Pas de variation du résultat
Victoire,KL26,Femme,Pas de variation du résultat
Victoire,KL27,Homme,Pas de variation du résultat
Victoire,KL29,Homme,Pas de variation du résultat
Victoire,KL31,Femme,Pas de variation du profil physique
Victoire,KL32,Homme,Pas de variation du résultat
Victoire,KL33,Homme,Pas de variation du résultat
Phase finale atteinte,KL01,Femme,Pas de variation du profil physique
Phase finale atteinte,KL01,Homme,Pas de variation du profil physique
Phase finale atteinte,KL02,Femme,Pas de variation du profil physique
Phase finale atteinte,KL02,Homme,Pas de variation du profil physique
Phase finale atteinte,KL03,Femme,Pas de variation du profil physique
Phase finale atteinte,KL13,Femme,Pas de variation du profil physique
Phase finale atteinte,KL17,Homme,Pas de variation du profil physique
Phase finale atteinte,KL18,Femme,Pas de variation du profil physique
Phase finale atteinte,KL31,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL01,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL01,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL02,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL02,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL03,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL07,Femme,Pas de variation du résultat
Élimination à l’orientation,KL07,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL08,Homme,Pas de variation du résultat
Élimination à l’orientation,KL13,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL13,Homme,Pas de variation du résultat
Élimination à l’orientation,KL15,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL17,Femme,Pas de variation du résultat
Élimination à l’orientation,KL17,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL18,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL18,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL22,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL22,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL25,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL25,Homme,Pas de variation du résultat
Élimination à l’orientation,KL26,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL26,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL27,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL27,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL29,Homme,Pas de variation du profil physique
Élimination à l’orientation,KL31,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL32,Femme,Pas de variation du profil physique
Élimination à l’orientation,KL33,Homme,Pas de variation du profil physique
Élimination aux poteaux,KL01,Femme,Pas de variation du profil physique
Élimination aux poteaux,KL01,Homme,Pas de variation du profil physique
Élimination aux poteaux,KL02,Femme,Pas de variation du profil physique
Élimination aux poteaux,KL02,Homme,Pas de variation du profil physique
Élimination aux poteaux,KL03,Femme,Pas de variation du profil physique
Élimination aux poteaux,KL03,Homme,Pas de variation du profil physique
Élimination aux poteaux,KL07,Homme,Pas de variation du profil physique
Élimination aux poteaux,KL08,Femme,Pas de variation du profil physique
Élimination aux poteaux,KL15,Femme,Pas de variation du profil physique
Élimination aux poteaux,KL15,Homme,Pas de variation du profil physique
