season_id,season_name,total_candidates,physical_candidates,physical_share,physical_share_percent,within_season_comparison_possible
KL01,KL KL01,16,0,0.0,0.0,False
KL02,KL KL02,16,0,0.0,0.0,False
KL03,Koh-Lanta : Bocas del Toro,18,2,0.1111111111111111,11.1,True
KL07,KL KL07,16,6,0.375,37.5,True
KL08,KL KL08,17,5,0.29411764705882354,29.4,True
KL13,Koh-Lanta : Raja Ampat,20,4,0.2,20.0,True
KL15,Koh-Lanta : Malaisie,20,7,0.35,35.0,True
KL17,Koh-Lanta : Johor,20,1,0.05,5.0,True
KL18,Koh-Lanta : Thaïlande,21,3,0.14285714285714285,14.3,True
KL22,Koh-Lanta : La Guerre des Chefs,21,3,0.14285714285714285,14.3,True
KL25,Koh-Lanta : Le Totem Maudit,24,8,0.3333333333333333,33.3,True
KL26,Koh-Lanta : Le Feu Sacré,20,8,0.4,40.0,True
KL27,Koh-Lanta : Les Chasseurs d'Immunité,22,7,0.3181818181818182,31.8,True
KL29,Koh-Lanta : La Revanche des 4 Terres,24,6,0.25,25.0,True
KL31,Koh-Lanta : L'Île au trésor,20,4,0.2,20.0,True
KL32,Koh-Lanta : Les 4 Terres,24,6,0.25,25.0,True
KL33,Koh-Lanta : Les Armes secrètes,21,5,0.23809523809523808,23.8,True
