season_id,season_name,total_candidates,physical_candidates,physical_share,physical_finalists,physical_final_phase_rate
KL01,KL KL01,16,0,0.0,0,
KL02,KL KL02,16,0,0.0,0,
KL03,Koh-Lanta : Bocas del Toro,18,2,0.1111111111111111,1,0.5
KL07,KL KL07,16,6,0.375,3,0.5
KL08,KL KL08,17,5,0.29411764705882354,2,0.4
KL13,Koh-Lanta : Raja Ampat,20,4,0.2,2,0.5
KL15,Koh-Lanta : Malaisie,20,7,0.35,3,0.42857142857142855
KL17,Koh-Lanta : Johor,20,1,0.05,1,1.0
KL18,Koh-Lanta : Thaïlande,21,3,0.14285714285714285,0,0.0
KL22,Koh-Lanta : La Guerre des Chefs,21,3,0.14285714285714285,0,0.0
KL25,Koh-Lanta : Le Totem Maudit,24,8,0.3333333333333333,1,0.125
KL26,Koh-Lanta : Le Feu Sacré,20,8,0.4,2,0.25
KL27,Koh-Lanta : Les Chasseurs d'Immunité,22,7,0.3181818181818182,2,0.2857142857142857
KL29,Koh-Lanta : La Revanche des 4 Terres,24,6,0.25,1,0.16666666666666666
KL31,Koh-Lanta : L'Île au trésor,20,4,0.2,2,0.5
KL32,Koh-Lanta : Les 4 Terres,24,6,0.25,2,0.3333333333333333
KL33,Koh-Lanta : Les Armes secrètes,21,5,0.23809523809523808,2,0.4
