season_id,season_name,candidate_name,physical_score,final_departure_cause
KL01,KL KL01,Gilles Nicolet,0,CENSORED_WINNER
KL02,KL KL02,Amel Fatnassi,0,CENSORED_WINNER
KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,0,CENSORED_WINNER
KL03,Koh-Lanta : Bocas del Toro,Isabelle Seguin,0,CENSORED_WINNER
KL07,KL KL07,Jade Handi,0,CENSORED_WINNER
KL07,KL KL07,Kévin Cuoco,1,CENSORED_WINNER
KL08,KL KL08,Christelle Gauzet,1,CENSORED_WINNER
KL13,Koh-Lanta : Raja Ampat,Gérard Urdampilleta,0,CENSORED_WINNER
KL15,Koh-Lanta : Malaisie,Ugo [ N 7 ],1,CENSORED_WINNER
KL17,Koh-Lanta : Johor,Marc Rambaud,0,CENSORED_WINNER
KL18,Koh-Lanta : Thaïlande,Wendy Gervois,0,CENSORED_WINNER
KL22,Koh-Lanta : La Guerre des Chefs,Maud,0,CENSORED_WINNER
KL25,Koh-Lanta : Le Totem Maudit,Bastien San Pedro,0,CENSORED_WINNER
KL25,Koh-Lanta : Le Totem Maudit,François Descamp,1,CENSORED_WINNER
KL26,Koh-Lanta : Le Feu Sacré,Frédéric,1,CENSORED_WINNER
KL27,Koh-Lanta : Les Chasseurs d'Immunité,Léa Sahin,0,CENSORED_WINNER
KL29,Koh-Lanta : La Revanche des 4 Terres,Gaëlle,1,CENSORED_WINNER
KL31,Koh-Lanta : L'Île au trésor,Benoît Assadi,1,CENSORED_WINNER
KL32,Koh-Lanta : Les 4 Terres,Alexandra,0,CENSORED_WINNER
KL33,Koh-Lanta : Les Armes secrètes,Maxine,1,CENSORED_WINNER
