season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Frédérique Brugiroux,,45,,1st Voted Out Day 3,1,0.0,,1st Voted Out Day 3,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,1,,False,,False,False,1,STANDARD,1,False,1,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Vivien Escouflaire,,20,,2nd Voted Out Day 6,2,0.058824,,2nd Voted Out Day 6,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,2,,False,,False,False,2,STANDARD,1,False,2,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Alain Merdel,,47,,Medically evacuated Day 10,3,0.117647,,Medically evacuated Day 10,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,3,,False,,False,False,3,STANDARD,1,False,3,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Virginie Mercadal Pioli,,38,,4th Voted Out Day 12,4,0.176471,,4th Voted Out Day 12,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,4,,False,,False,False,4,STANDARD,1,False,4,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Jennifer Lieutaud,,23,,Left Competition Day 15,5,0.235294,,Left Competition Day 15,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,True,True,False,5,,False,,False,False,5,STANDARD,1,False,5,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Jean-Pierre Pigato,,48,,6th Voted Out Day 17,6,0.294118,,6th Voted Out Day 17,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,6,,False,,False,False,6,STANDARD,1,False,6,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Audrey Perez,,25,,7th Voted Out Day 20,7,0.352941,,7th Voted Out Day 20,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,7,,False,,False,False,7,STANDARD,1,False,7,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Boris Deltell,,30,,8th Voted Out Day 22,8,0.411765,,8th Voted Out Day 22,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,8,,False,,False,False,8,STANDARD,1,False,8,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Valentin D'Hoore,,20,,Medically evacuated Day 24,9,0.470588,,Medically evacuated Day 24,ABANDON_MEDICAL,INDETERMINE,AUTRE_SORTIE,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,9,,False,,False,False,9,STANDARD,1,False,9,2026-07-21T02:14:07.115162
KL12,Koh-Lanta : Viêtnam,2010,https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,Abdellah Akriche,,26,,10th Voted Out 1st jury member Day 26,10,0.529412,,10th Voted Out 1st jury member Day 26,CONSEIL,INDETERMINE,DECISION_AVENTURIERS,Source: https://en.wikipedia.org/wiki/Koh-Lanta:_Vi%C3%AAtnam,False,True,False,10,,False,,False,False,10,STANDARD,1,False,10,2026-07-21T02:14:07.115162
